window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.520009650868214e-11,0,,162,100
1,6,806,8.47930816458979e-12,0,,160,100
2,8,808,1.0331180157542306e-11,0,,159,100
3,16,816,3.374710110123272e-12,0,,159,100
4,21,821,0.0005863683243173924,0,,157,100
5,24,824,0.0001543414536603705,0,,156,100
6,26,826,6.13674666526293e-05,0,,156,100
7,35,835,1.189956664471944e-08,0,,153,100
8,40,840,1.6722921732382606e-07,0,,150,100
9,45,845,2.14241415479766e-11,0,,148,100
10,49,849,1.1641311624704535e-14,0,,147,100
11,54,854,9.334310036751256e-14,0,,147,100
12,61,861,8.522240643720367e-26,0,,145,100
13,65,865,3.1124170627417103e-25,0,,144,100
14,70,870,3.3836301512747016e-17,0,,144,100
15,81,881,1.0497766956870778e-22,0,,140,100
16,87,887,6.408496344653005e-32,0,,139,100
17,93,893,8.041908197694273e-35,0,,138,100
18,96,896,3.7643963349373285e-39,0,,137,100
19,102,902,2.4667881939661767e-30,0,,136,100
20,106,906,6.398168099390883e-27,0,,136,100
21,114,914,1.0064341374175048e-44,0,,134,100
22,119,919,5.747239579801709e-40,0,,133,100
23,122,922,2.936435776874594e-38,0,,132,100
24,127,927,1.2788514365049946e-40,0,,129,100
25,131,931,3.5889576116622614e-83,0,,129,100
26,140,940,1.2327613773451263e-17,0,,126,100
27,146,946,1.7696773588070906e-26,0,,126,100
28,151,951,1.2253448440586795e-102,0,,124,100
29,155,955,1.6631285806048462e-11,0,,123,100
30,159,959,5.526348701170151e-15,0,,122,100
31,165,965,9.4074459614516e-09,0,,121,100
32,167,967,1.207486132674531e-28,0,,120,100
33,173,973,1.462431574177214e-07,0,,117,100
34,182,982,2.383336704537206e-11,0,,115,100
35,186,986,4.474301710262829e-47,0,,114,100
36,190,990,1.4263964880009515e-21,0,,113,100
37,194,994,1.2302175314926992e-23,0,,112,100
38,198,998,2.5430854343220236e-16,0,,111,100
39,201,1001,3.0071395079733e-16,0,,111,100
40,208,1008,3.5034272280944125e-24,0,,110,100
41,216,1016,5.466656703693206e-28,0,,106,100
42,220,1020,3.454616195099197e-22,0,,105,100
43,226,1026,1.296566034465785e-15,0,,104,100
44,229,1029,2.283569843730327e-15,0,,103,100
45,233,1033,3.5723395488970077e-26,0,,102,100
46,238,1038,6.124014769653199e-19,0,,102,100
47,249,1049,3.648568658501074e-06,0,,100,100
