window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.006582912721633179,1,,179,100
1,5,805,0.00027823962083634116,0,,177,100
2,8,808,0.015548516389064624,1,,177,100
3,13,813,0.17210264714526025,1,,178,100
4,17,817,0.2777831511514253,1,,176,100
5,30,830,2.4097876985045104e-05,0,,178,100
6,39,839,7.478773988523778e-09,0,,178,100
7,48,848,0.6201073855008417,1,,179,100
8,53,853,0.18892389550782634,1,,180,100
9,57,857,0.743329154829204,1,,178,100
10,64,864,0.6452648224697447,1,,178,100
11,73,873,0.19811522487812955,1,,176,100
12,80,880,0.169159557196277,1,,175,100
13,83,883,0.1506102362086087,1,,175,100
14,88,888,0.002811579456520683,1,,174,100
15,91,891,6.366485997036084e-05,0,,174,100
16,97,897,1.9214652084071882e-05,0,,174,100
17,105,905,0.00018103712852011103,0,,174,100
18,114,914,2.0011159907174537e-05,0,,173,100
19,119,919,1.833890622367707e-06,0,,173,100
20,128,928,0.00023784370965802693,0,,172,100
21,134,934,3.9566263186496724e-12,0,,171,100
22,137,937,1.3837941085725054e-29,0,,170,100
23,148,948,2.53234042638864e-05,0,,170,100
24,153,953,0.00045369204993121433,0,,169,100
25,163,963,3.330300327749521e-08,0,,169,100
26,170,970,5.353167977344558e-11,0,,171,100
27,173,973,8.974883632104357e-14,0,,170,100
28,180,980,6.789562581000776e-31,0,,172,100
29,185,985,1.805534216225651e-24,0,,172,100
30,190,990,2.2442200744995956e-20,0,,173,100
31,193,993,1.8458224414477828e-32,0,,171,100
32,196,996,5.377583777964195e-23,0,,171,100
33,198,998,2.382722886990952e-33,0,,170,100
34,207,1007,3.00033166384643e-13,0,,170,100
35,215,1015,2.5415063080653972e-11,0,,169,100
36,219,1019,9.31064208554366e-41,0,,169,100
37,223,1023,4.103216201347479e-16,0,,169,100
38,232,1032,1.2238840961931644e-22,0,,169,100
39,243,1043,5.911063493642985e-14,0,,171,100
40,246,1046,1.91757488005346e-09,0,,170,100
41,262,1062,2.0797693102988116e-08,0,,172,100
42,266,1066,6.107223405744849e-09,0,,172,100
43,269,1069,1.4029757550976587e-06,0,,172,100
44,273,1073,6.847988442641419e-08,0,,172,100
45,281,1081,4.327723140102212e-12,0,,169,100
46,284,1084,1.1890748474673344e-14,0,,171,100
47,298,1098,6.4086792095977e-09,0,,171,100
48,303,1103,3.6673148036347424e-10,0,,170,100
49,313,1113,6.720301131535892e-10,0,,171,100
50,323,1123,6.607334515970968e-30,0,,173,100
51,329,1129,1.1569817145380158e-25,0,,172,100
52,333,1133,7.246930545593429e-20,0,,171,100
53,340,1140,1.0908043825081125e-15,0,,172,100
54,343,1143,5.004945691740963e-19,0,,173,100
55,351,1151,8.456443226630169e-13,0,,170,100
56,354,1154,0.0005981611028449648,0,,169,100
57,359,1159,0.8092739014895384,1,,168,100
58,368,1168,0.7511223681789376,1,,168,100
59,377,1177,0.03952331087057441,1,,166,100
60,381,1181,0.04250380872374571,1,,165,100
61,385,1185,0.05004503863004187,1,,164,100
62,389,1189,0.007716105365948761,1,,163,100
63,399,1199,0.060203916715102536,1,,162,100
64,408,1208,0.00174701318221177,1,,161,100
65,411,1211,0.0015174402794701652,1,,160,100
66,415,1215,0.0006003920752603843,0,,158,100
67,424,1224,0.9635702575847428,1,,157,100
68,427,1227,0.748845873477362,1,,156,100
69,431,1231,0.14306383739776526,1,,155,100
70,438,1238,0.15085781394109074,1,,154,100
71,446,1246,0.05956811513279339,1,,152,100
72,449,1249,0.009962398893633628,1,,151,100
73,454,1254,0.16431044554919977,1,,150,100
74,459,1259,0.013848553281451709,1,,150,100
75,470,1270,0.17541899618030596,1,,148,100
76,474,1274,0.9393543585804706,1,,147,100
77,478,1278,0.7288938519616273,1,,147,100
78,486,1286,0.05811229224441704,1,,144,100
79,489,1289,0.00048651163009750555,0,,143,100
80,493,1293,9.320234657318915e-06,0,,142,100
81,500,1300,8.989888513325784e-05,0,,141,100
82,503,1303,0.02122779478833464,1,,140,100
83,509,1309,0.1490031679203478,1,,139,100
84,513,1313,0.08189062882022108,1,,138,100
85,516,1316,0.052499916146986604,1,,137,100
86,520,1320,0.12027189079998503,1,,137,100
87,530,1330,0.8279109728594873,1,,135,100
88,533,1333,0.8892003623658365,1,,134,100
89,537,1337,0.8138137624818741,1,,134,100
90,543,1343,0.8721861751169053,1,,132,100
91,547,1347,0.8925494075668023,1,,130,100
92,559,1359,0.9035954367656043,1,,127,100
93,562,1362,0.9329908379394919,1,,127,100
94,569,1369,0.8157242686103441,1,,125,100
95,574,1374,0.015815435879631443,1,,125,100
96,585,1385,3.146437286022449e-55,0,,123,100
97,588,1388,5.0854074133597436e-58,0,,122,100
98,591,1391,0.9990784694526631,1,,121,100
99,594,1394,0.997673405836605,1,,121,100
100,600,1400,0.9988565863989841,1,,119,100
101,604,1404,0.9627577524441988,1,,118,100
102,607,1407,0.9972994517182081,1,,116,100
103,622,1422,0.9983905312113248,1,,113,100
104,625,1425,0.9976408037389665,1,,113,100
105,636,1436,0.9949125750105555,1,,110,100
106,639,1439,0.9943929357989932,1,,109,100
107,643,1443,0.996723029554093,1,,108,100
108,651,1451,0.9881109968714085,1,,107,100
109,655,1455,0.852964690995209,1,,106,100
110,662,1462,0.9835590442284973,1,,105,100
111,669,1469,0.9997214311272862,1,,104,100
112,672,1472,0.9911514148754031,1,,103,100
113,677,1477,0.9943298953540602,1,,101,100
114,686,1486,0.9738150786527006,1,,100,100
