window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.7817868025766675e-189,0,,262,100
1,6,806,2.7818061436600796e-183,0,,262,100
2,12,812,3.3100163018863695e-139,0,,263,100
3,18,818,1.3117858827579272e-277,0,,263,100
4,22,822,7.028694541113658e-185,0,,265,100
5,28,828,3.5956302945012347e-211,0,,265,100
6,40,840,2.2596743168489042e-228,0,,268,100
7,51,851,2.1593952753406342e-302,0,,267,100
8,57,857,2.937854432995857e-129,0,,267,100
9,61,861,2.8612679727771493e-131,0,,267,100
10,64,864,6.271107589861378e-82,0,,268,100
11,72,872,0.997099835925153,1,,269,100
12,79,879,0.9957939632890178,1,,269,100
13,90,890,0.9822548636069075,1,,270,100
14,93,893,0.9960909084042485,1,,271,100
15,100,900,0.997329763040262,1,,271,100
16,103,903,0.8693637258179815,1,,272,100
17,110,910,1.5389206549862146e-06,0,,271,100
18,116,916,1.5609366886273668e-07,0,,272,100
19,124,924,5.67410480798496e-17,0,,271,100
20,127,927,1.035001990079302e-15,0,,271,100
21,132,932,1.0067768774805895e-21,0,,270,100
22,135,935,5.480476617721163e-22,0,,270,100
23,141,941,4.3687538781328205e-40,0,,271,100
24,149,949,1.0543162118084693e-46,0,,270,100
25,154,954,5.695872651874842e-60,0,,270,100
26,162,962,3.209803177314408e-57,0,,272,100
27,175,975,4.176777832897569e-63,0,,272,100
28,183,983,2.0194356243793955e-75,0,,271,100
29,191,991,1.3363899412279041e-33,0,,268,100
30,196,996,2.0845021511927043e-37,0,,266,100
31,199,999,7.411965229440303e-37,0,,266,100
32,207,1007,6.602250687956684e-47,0,,263,100
33,210,1010,1.6929618382267984e-50,0,,262,100
34,213,1013,3.856860409364417e-43,0,,261,100
35,221,1021,8.798692334966872e-42,0,,260,100
36,232,1032,2.8928724597029726e-33,0,,256,100
37,237,1037,7.219742820828028e-27,0,,254,100
38,242,1042,3.399719691223297e-30,0,,252,100
39,248,1048,1.28847482042374e-19,0,,251,100
40,254,1054,2.3495371999717953e-21,0,,249,100
41,257,1057,6.802117921408134e-19,0,,248,100
42,271,1071,5.086061739200519e-20,0,,243,100
43,274,1074,1.7737892193161454e-39,0,,242,100
44,284,1084,1.6437091941964728e-47,0,,239,100
45,290,1090,5.21742864929851e-55,0,,237,100
46,295,1095,3.6260396189969023e-51,0,,236,100
47,301,1101,2.1159092835941204e-64,0,,234,100
48,311,1111,5.349284671248426e-105,0,,230,100
49,321,1121,7.624159556976595e-99,0,,229,100
50,326,1126,6.378741663437737e-106,0,,227,100
51,335,1135,2.0476973986337485e-134,0,,223,100
52,345,1145,6.424099239377474e-93,0,,219,100
53,349,1149,3.56634870703345e-104,0,,218,100
54,359,1159,1.9731494326574508e-97,0,,215,100
55,364,1164,2.7206276188558425e-241,0,,213,100
56,367,1167,3.031657508980948e-228,0,,212,100
57,373,1173,2.6519649895310692e-33,0,,210,100
58,377,1177,9.589702295916208e-34,0,,209,100
59,385,1185,2.687677791740517e-46,0,,207,100
60,394,1194,1.5348022900217322e-45,0,,205,100
61,401,1201,2.926553054473071e-31,0,,202,100
62,406,1206,3.561277638016436e-26,0,,201,100
63,409,1209,5.968684734766928e-29,0,,200,100
64,413,1213,1.8176279317324232e-27,0,,200,100
65,422,1222,4.939110624483917e-32,0,,195,100
66,428,1228,5.13226635383078e-40,0,,192,100
67,431,1231,2.997176599409588e-44,0,,191,100
68,438,1238,2.2627431577892025e-53,0,,188,100
69,443,1243,8.048384110132e-67,0,,187,100
70,450,1250,2.792064138122419e-58,0,,186,100
71,458,1258,6.15977913983459e-61,0,,184,100
72,467,1267,4.9799486802902305e-54,0,,180,100
73,474,1274,1.5256239254917644e-67,0,,179,100
74,481,1281,4.0448802854562226e-80,0,,176,100
75,487,1287,1.2112951362674013e-46,0,,174,100
76,493,1293,4.476703805673482e-55,0,,172,100
77,500,1300,4.9280641447689e-51,0,,168,100
78,512,1312,5.133700878173259e-30,0,,164,100
79,517,1317,2.4180038306349883e-34,0,,162,100
80,527,1327,1.514698468431752e-30,0,,158,100
81,532,1332,2.350535896326455e-27,0,,156,100
82,540,1340,1.176531436180209e-38,0,,153,100
83,544,1344,4.339534286114139e-34,0,,152,100
84,550,1350,6.634175842332925e-40,0,,148,100
85,558,1358,8.84539074750662e-75,0,,145,100
86,567,1367,7.146779824224229e-103,0,,142,100
87,579,1379,4.987160832888891e-100,0,,139,100
88,586,1386,1.3111517666202366e-124,0,,136,100
89,592,1392,8.120590075259249e-104,0,,135,100
90,599,1399,1.0471890758564605e-114,0,,134,100
91,606,1406,1.2733953531315425e-153,0,,132,100
92,615,1415,6.760752917763703e-137,0,,128,100
93,618,1418,3.163067800985233e-137,0,,127,100
94,625,1425,4.318019220630234e-173,0,,124,100
95,634,1434,4.8973410635775377e-110,0,,121,100
96,638,1438,1.8101849549964995e-95,0,,120,100
97,646,1446,1.6870817461715296e-82,0,,117,100
98,654,1454,4.4475083859612645e-77,0,,114,100
99,658,1458,6.349074081119382e-83,0,,113,100
100,667,1467,1.1469872915179016e-106,0,,110,100
101,678,1478,9.97814946471968e-76,0,,105,100
102,682,1482,1.4130802539319185e-69,0,,105,100
103,686,1486,1.85227161052262e-77,0,,103,100
