window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.001908043197376412,1,,186,100
1,6,806,0.04597116710274472,1,,183,100
2,10,810,0.30310507502791467,1,,185,100
3,21,821,0.044210005342218923,1,,186,100
4,25,825,0.3479734960744332,1,,187,100
5,30,830,0.0014537918213807946,1,,186,100
6,44,844,0.6499512353173619,1,,182,100
7,48,848,0.5159676424290298,1,,184,100
8,65,865,9.714755965733198e-06,0,,181,100
9,68,868,0.3843679889175418,1,,179,100
10,88,888,0.02515907426273143,1,,183,100
11,98,898,0.5821892532464253,1,,182,100
12,104,904,0.00027877380935654365,0,,183,100
13,109,909,0.13566191068172462,1,,183,100
14,113,913,0.012344081320296183,1,,181,100
15,119,919,0.5285750385204355,1,,181,100
16,123,923,2.6922788669002988e-30,0,,181,100
17,134,934,0.41054916122668234,1,,183,100
18,138,938,2.571630900195893e-27,0,,182,100
19,143,943,3.960708087675797e-16,0,,181,100
20,163,963,0.03915197743943601,1,,178,100
21,167,967,2.9147236825042462e-18,0,,179,100
22,180,980,4.843144403492645e-56,0,,180,100
23,183,983,0.00036367596712276196,0,,182,100
24,191,991,0.15752394904286338,1,,183,100
25,194,994,3.6971681122532484e-08,0,,184,100
26,203,1003,0.008926575844665935,1,,183,100
27,205,1005,0.014021380169703135,1,,182,100
28,213,1013,3.8198082389407076e-07,0,,182,100
29,215,1015,0.025335409391031172,1,,181,100
30,218,1018,0.012594321910889677,1,,181,100
31,223,1023,1.2534955397281884e-05,0,,180,100
32,240,1040,3.3977378652055826e-10,0,,179,100
33,251,1051,6.1470945872899176e-12,0,,177,100
34,257,1057,0.10812390833819034,1,,175,100
35,262,1062,0.019802924734602295,1,,176,100
36,266,1066,1.63674052196609e-14,0,,176,100
37,276,1076,6.104647092234843e-08,0,,176,100
38,282,1082,0.10283770148576664,1,,177,100
39,285,1085,7.975395802528643e-05,0,,176,100
40,292,1092,1.6889739603210239e-22,0,,176,100
41,303,1103,3.8290169023154354e-11,0,,177,100
42,312,1112,9.20239122687398e-15,0,,175,100
43,316,1116,1.144186599109829e-16,0,,176,100
44,326,1126,0.12731643026845343,1,,176,100
45,332,1132,0.00018419218530733286,0,,176,100
46,337,1137,4.4825736064788844e-08,0,,176,100
47,340,1140,1.1538664004406235e-11,0,,177,100
48,349,1149,0.0806011246443301,1,,177,100
49,353,1153,0.0004743883451445624,0,,176,100
50,369,1169,1.9246819422425543e-13,0,,175,100
51,376,1176,1.3897970631195982e-13,0,,175,100
52,384,1184,6.591715542218366e-10,0,,176,100
53,390,1190,1.2160087021460401e-11,0,,176,100
54,395,1195,1.2017782304683598e-15,0,,176,100
55,399,1199,4.7234203557158415e-09,0,,175,100
56,405,1205,8.124275893930359e-05,0,,176,100
57,408,1208,1.2396347432480217e-10,0,,175,100
58,412,1212,5.902024651425056e-24,0,,175,100
59,419,1219,6.172028976329987e-37,0,,175,100
60,426,1226,0.004738160473727282,1,,175,100
61,430,1230,3.695696792861008e-08,0,,174,100
62,440,1240,8.343285058504068e-06,0,,173,100
63,446,1246,5.7965006058492554e-06,0,,173,100
64,455,1255,2.928381240930678e-15,0,,172,100
65,460,1260,5.218002112673721e-19,0,,173,100
66,469,1269,8.695175742450832e-12,0,,172,100
67,473,1273,1.7604632136721524e-06,0,,172,100
68,484,1284,1.3585164820743922e-16,0,,173,100
69,488,1288,1.0003059136072907e-14,0,,172,100
70,491,1291,3.678052526601794e-36,0,,172,100
71,495,1295,8.643292578302881e-23,0,,171,100
72,501,1301,1.796190445200844e-13,0,,171,100
73,514,1314,3.0244977080206097e-06,0,,172,100
74,522,1322,6.9685557223701885e-28,0,,172,100
75,527,1327,1.1240323629289688e-18,0,,172,100
76,532,1332,0.00039161329959860815,0,,171,100
