window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.006695087461204645,1,,177,100
1,5,805,2.720889578384194e-05,0,,178,100
2,11,811,5.411990059937468e-07,0,,178,100
3,15,815,0.5705942752886871,1,,178,100
4,21,821,0.7548819216294365,1,,177,100
5,27,827,0.4045162502012277,1,,178,100
6,31,831,0.00036721164727567543,0,,178,100
7,35,835,0.0004127343694846513,0,,178,100
8,43,843,0.2542278878578274,1,,180,100
9,51,851,0.36571855512317886,1,,181,100
10,57,857,0.004288681484230773,1,,180,100
11,60,860,0.612732946101799,1,,179,100
12,65,865,0.663317873282463,1,,179,100
13,76,876,0.4249347372785839,1,,180,100
14,78,878,0.9777927355031495,1,,179,100
15,82,882,0.617923084927124,1,,180,100
16,90,890,0.2910365888956985,1,,181,100
17,100,900,0.8892981990274257,1,,182,100
18,103,903,0.4249804210784914,1,,182,100
19,112,912,0.0025162902257692137,1,,181,100
20,116,916,0.003912676652917111,1,,183,100
21,126,926,0.36786005766139535,1,,184,100
22,129,929,0.6587593396159359,1,,182,100
23,133,933,0.6601626115194267,1,,183,100
24,145,945,0.129345525549406,1,,184,100
25,150,950,2.2887412853304498e-07,0,,184,100
26,154,954,1.8341022473464177e-05,0,,183,100
27,158,958,0.17817702195735644,1,,183,100
28,162,962,0.00041092228017630396,0,,183,100
29,170,970,0.00025318400918454255,0,,183,100
30,178,978,0.7344436428185362,1,,181,100
31,182,982,0.6414875322023804,1,,180,100
32,185,985,0.9049975342617212,1,,180,100
33,189,989,0.8865393657815236,1,,180,100
34,197,997,0.7517276866621357,1,,180,100
35,200,1000,0.37719339561418536,1,,180,100
36,202,1002,0.13674095750057566,1,,180,100
37,208,1008,0.16619856477775408,1,,181,100
38,214,1014,0.561239137906245,1,,181,100
39,219,1019,0.6220510119476409,1,,180,100
40,227,1027,0.6407592982389108,1,,181,100
41,235,1035,0.3752580081497589,1,,182,100
42,240,1040,0.21590539211245505,1,,182,100
43,248,1048,0.47307093244030174,1,,182,100
44,251,1051,0.83219833639948,1,,182,100
45,255,1055,0.21161104545980003,1,,182,100
46,262,1062,0.5566515505109081,1,,182,100
47,265,1065,0.26766104798520907,1,,182,100
48,275,1075,0.46575943345908205,1,,183,100
49,279,1079,0.41694315851903135,1,,182,100
50,282,1082,0.4851584174671226,1,,183,100
51,293,1093,0.7401371745257879,1,,180,100
52,297,1097,0.04076163666483324,1,,181,100
53,302,1102,0.04250185670933987,1,,182,100
54,310,1110,0.1763107644138523,1,,180,100
55,313,1113,0.4275972259392821,1,,180,100
56,317,1117,2.0727734086841603e-07,0,,180,100
57,321,1121,0.2895305658997281,1,,179,100
58,324,1124,0.628598823526887,1,,179,100
59,326,1126,0.11072873418028001,1,,178,100
60,332,1132,0.010204765935483983,1,,178,100
61,345,1145,0.7044058471195681,1,,178,100
62,348,1148,0.2339830071916787,1,,178,100
63,353,1153,0.20399276419990184,1,,177,100
64,358,1158,0.9501241792847035,1,,176,100
65,361,1161,0.5489439631196146,1,,176,100
66,366,1166,0.5500147993058443,1,,175,100
67,371,1171,0.3198278191325539,1,,176,100
68,374,1174,0.3680254663592088,1,,177,100
69,383,1183,0.42594804189215213,1,,176,100
70,385,1185,0.011083062443370534,1,,176,100
71,393,1193,0.06679425018801798,1,,176,100
72,396,1196,0.9269563598422209,1,,176,100
73,401,1201,0.1550676205662439,1,,176,100
74,408,1208,0.47628853247688585,1,,174,100
75,411,1211,0.635269442444661,1,,174,100
76,413,1213,0.09413190786394743,1,,174,100
77,419,1219,0.026599158421776587,1,,176,100
78,427,1227,0.6049900819015612,1,,174,100
79,433,1233,0.671437892677708,1,,174,100
80,437,1237,0.7849819047523507,1,,174,100
81,443,1243,0.7769719130747752,1,,174,100
82,447,1247,0.8597058106878255,1,,174,100
83,452,1252,0.7705625440469047,1,,174,100
84,457,1257,0.1265779016207427,1,,173,100
85,463,1263,0.11686443421178401,1,,175,100
86,469,1269,0.8356323590438438,1,,174,100
87,474,1274,0.4677977577559576,1,,173,100
88,479,1279,0.02645885732788372,1,,173,100
89,486,1286,0.11405586291866918,1,,174,100
90,492,1292,0.6028018097000771,1,,174,100
91,498,1298,0.45703407453922246,1,,174,100
92,501,1301,0.28668466390938546,1,,173,100
93,504,1304,0.3403444437971739,1,,174,100
94,515,1315,0.30684906250571375,1,,174,100
95,523,1323,0.5453761587427992,1,,176,100
96,527,1327,0.04966563873148833,1,,175,100
97,534,1334,0.5033892471793322,1,,176,100
98,539,1339,0.06492920909434156,1,,177,100
99,542,1342,0.0036861241537944874,1,,176,100
100,549,1349,0.004971223063120505,1,,177,100
101,552,1352,0.0019751542945346525,1,,176,100
102,559,1359,0.01900281687776951,1,,173,100
103,564,1364,0.01621726164245458,1,,172,100
104,567,1367,0.007290088406472929,1,,172,100
105,569,1369,0.004275744293823128,1,,173,100
106,576,1376,0.6091144272474546,1,,171,100
107,583,1383,0.5300625209677949,1,,171,100
108,586,1386,0.8394462490100838,1,,171,100
109,590,1390,0.0029038556284393478,1,,170,100
110,594,1394,0.005240954514732005,1,,172,100
111,606,1406,0.7338133449446386,1,,172,100
112,610,1410,0.8042123248534503,1,,172,100
113,614,1414,0.0828415550361753,1,,173,100
114,628,1428,0.14199248769700196,1,,172,100
115,632,1432,0.013876657503066799,1,,172,100
116,636,1436,0.0008450366635106315,0,,171,100
117,648,1448,0.28738851974746626,1,,170,100
118,656,1456,0.00019679710341197627,0,,170,100
119,660,1460,9.182790339273208e-06,0,,170,100
120,666,1466,0.04286256111688696,1,,168,100
121,671,1471,0.38155457704256657,1,,166,100
122,678,1478,0.5607135775486486,1,,165,100
123,682,1482,0.08663226358593612,1,,164,100
124,688,1488,0.7666928211653028,1,,162,100
125,692,1492,0.06348348057314916,1,,163,100
126,702,1502,0.2866015633253279,1,,160,100
127,708,1508,0.37841030549346305,1,,158,100
128,713,1513,0.003562136875310027,1,,158,100
129,725,1525,0.3121429874596845,1,,155,100
130,729,1529,0.746162738791375,1,,153,100
131,733,1533,0.18480775282172235,1,,152,100
132,739,1539,0.12717579252372585,1,,151,100
133,743,1543,0.32507312530845484,1,,150,100
134,748,1548,0.017776216814226104,1,,149,100
135,754,1554,0.29097459722597163,1,,148,100
136,757,1557,0.1883293981480808,1,,147,100
137,761,1561,0.2773420289078184,1,,146,100
138,764,1564,0.27306597869281585,1,,146,100
139,773,1573,0.4090057584279639,1,,143,100
140,777,1577,0.485142072361237,1,,142,100
141,783,1583,0.008430625161642918,1,,141,100
142,788,1588,0.042261454150459364,1,,140,100
143,795,1595,0.07125412702170143,1,,139,100
144,801,1601,0.1619433630888497,1,,137,100
145,805,1605,0.759516962611246,1,,136,100
146,810,1610,0.009485405452253038,1,,135,100
147,819,1619,0.0025231008157547037,1,,134,100
148,824,1624,0.4615471651125574,1,,133,100
149,827,1627,0.01390091409442671,1,,132,100
150,831,1631,0.00025395436975486044,0,,131,100
151,837,1637,0.7022935210064212,1,,129,100
152,841,1641,0.06451228137746325,1,,128,100
153,844,1644,0.24362573724927475,1,,127,100
154,848,1648,0.8572934837752892,1,,126,100
155,854,1654,0.9308748640882107,1,,125,100
156,861,1661,0.7223146795240706,1,,124,100
157,866,1666,0.6827052199301274,1,,123,100
158,871,1671,0.030817811298110166,1,,122,100
159,875,1675,0.29848322925193793,1,,121,100
160,881,1681,1.4635660499817966e-05,0,,119,100
161,884,1684,0.559355806960153,1,,118,100
162,887,1687,0.5952069816096321,1,,117,100
163,891,1691,0.17797208591830824,1,,116,100
164,894,1694,0.417336593129513,1,,115,100
165,898,1698,0.37902419693953276,1,,114,100
166,906,1706,0.7627315202629795,1,,112,100
167,914,1714,0.10644779002680088,1,,110,100
168,917,1717,0.671702281245611,1,,109,100
169,920,1720,0.2909303114169375,1,,109,100
170,930,1730,0.7704969729204644,1,,107,100
171,935,1735,0.8070159521310923,1,,106,100
172,938,1738,0.8568030679910791,1,,105,100
173,942,1742,0.8262502163937313,1,,105,100
174,953,1753,0.8291157692788781,1,,103,100
175,958,1758,0.15207763468532423,1,,102,100
176,964,1764,0.35686099034198593,1,,101,100
177,969,1769,0.020227077838659374,1,,100,100
178,973,1773,0.0006840494277329097,0,,100,100
