window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.05408109918900564,1,,150,100
1,15,815,0.10176885181667679,1,,152,100
2,19,819,0.018338731728967016,1,,149,100
3,23,823,0.0003700528919885703,0,,150,100
4,26,826,0.0005644136732283038,0,,150,100
5,33,833,1.3720401926965196e-07,0,,150,100
6,37,837,2.1599177306105524e-06,0,,150,100
7,44,844,1.4840381594819327e-07,0,,152,100
8,51,851,1.6949910153845652e-11,0,,150,100
9,56,856,3.843013941243809e-07,0,,151,100
10,59,859,1.9486621973056163e-06,0,,150,100
11,67,867,2.3137465135108067e-07,0,,150,100
12,81,881,4.5762341107587495e-09,0,,151,100
13,85,885,1.3400816316179912e-08,0,,152,100
14,95,895,0.00021215985429438405,0,,150,100
15,104,904,2.5461255895135483e-08,0,,151,100
16,109,909,3.7929977062323934e-05,0,,150,100
17,113,913,1.7442957234312283e-05,0,,151,100
18,123,923,4.905057179871987e-05,0,,151,100
19,134,934,7.754667790807905e-16,0,,151,100
20,138,938,6.567386962028125e-09,0,,152,100
21,147,947,8.344325335199607e-06,0,,151,100
22,149,949,7.433946124308464e-12,0,,152,100
23,165,965,0.0002242419358911358,0,,153,100
24,168,968,1.4960763311440144e-19,0,,153,100
25,175,975,4.1556322823780745e-15,0,,153,100
26,180,980,3.1542247668056987e-10,0,,153,100
27,185,985,9.620790813396392e-11,0,,155,100
28,192,992,2.910921377252907e-17,0,,155,100
29,196,996,2.5637388311440803e-37,0,,154,100
30,202,1002,9.154155681279062e-46,0,,155,100
31,218,1018,9.730916289267488e-20,0,,155,100
32,226,1026,4.955451437084408e-14,0,,156,100
33,231,1031,2.8063143830769984e-25,0,,155,100
34,236,1036,6.391320141708655e-20,0,,155,100
35,239,1039,1.6665128194761655e-28,0,,154,100
36,250,1050,2.130522627118237e-34,0,,155,100
37,254,1054,1.1831171662431018e-46,0,,156,100
38,258,1058,3.352711208169825e-67,0,,156,100
39,268,1068,6.549349434543795e-58,0,,156,100
40,284,1084,5.210119324958557e-07,0,,155,100
41,286,1086,1.1009974506664976e-50,0,,157,100
42,302,1102,4.510997621466041e-07,0,,157,100
43,305,1105,5.927582987314141e-06,0,,157,100
44,312,1112,6.402807616666398e-24,0,,158,100
45,317,1117,3.371933683040705e-31,0,,159,100
46,322,1122,1.2380591885883371e-07,0,,159,100
47,332,1132,3.521767709244144e-05,0,,159,100
48,336,1136,0.11916388752897146,1,,157,100
49,342,1142,0.5028732471195689,1,,157,100
50,358,1158,0.06240211468823413,1,,159,100
51,366,1166,5.5187320100937136e-05,0,,160,100
52,371,1171,0.8136144384157891,1,,160,100
53,376,1176,0.5553591165984934,1,,162,100
54,379,1179,0.9019738691828036,1,,161,100
55,390,1190,0.8191389226519825,1,,163,100
56,394,1194,0.8036556388473705,1,,164,100
57,398,1198,0.03696834249136365,1,,162,100
58,408,1208,0.007840838970277477,1,,164,100
59,419,1219,0.6159748169409645,1,,163,100
60,422,1222,0.6734867738406286,1,,163,100
61,432,1232,0.8390905107242086,1,,162,100
62,446,1246,0.6677743123129202,1,,164,100
63,453,1253,0.9588256112985389,1,,165,100
64,459,1259,0.3295145855106919,1,,164,100
65,469,1269,0.02918306222234088,1,,165,100
66,478,1278,0.02217308129378575,1,,165,100
67,483,1283,0.009787025799076544,1,,166,100
68,487,1287,0.0011053686592326305,1,,165,100
69,505,1305,6.77548710813765e-09,0,,165,100
70,507,1307,8.595251225888848e-12,0,,165,100
71,515,1315,2.74162852734864e-14,0,,165,100
72,519,1319,6.796927592190709e-18,0,,166,100
73,524,1324,5.27270949220828e-21,0,,167,100
74,527,1327,1.0418795228769767e-18,0,,164,100
75,531,1331,4.867012993926963e-12,0,,164,100
76,546,1346,4.2338622280528575e-24,0,,165,100
77,550,1350,1.610871646018615e-29,0,,163,100
78,560,1360,2.295063863298967e-28,0,,163,100
79,566,1366,8.640953263358316e-34,0,,163,100
80,569,1369,3.844889133536127e-37,0,,163,100
81,573,1373,3.5623899550207573e-40,0,,164,100
82,586,1386,8.445031743477254e-21,0,,167,100
83,590,1390,6.753766526908001e-21,0,,167,100
84,593,1393,1.618146093465754e-22,0,,167,100
85,598,1398,3.365900693414588e-36,0,,167,100
86,601,1401,9.884576532914436e-24,0,,168,100
87,609,1409,5.485232942598235e-26,0,,167,100
88,612,1412,2.4268204696927475e-25,0,,168,100
89,620,1420,1.7042887324147337e-28,0,,167,100
90,635,1435,4.784739516995864e-49,0,,166,100
91,643,1443,1.7752967555747654e-50,0,,167,100
92,648,1448,3.1481823018955925e-57,0,,166,100
93,653,1453,4.66235690910128e-53,0,,165,100
94,662,1462,1.0928520869043526e-58,0,,164,100
95,670,1470,2.400725356587156e-66,0,,163,100
96,679,1479,9.578638664831003e-60,0,,162,100
97,685,1485,4.7536813782623305e-54,0,,161,100
98,693,1493,7.495102209498976e-61,0,,160,100
99,706,1506,8.259393754262608e-67,0,,156,100
100,711,1511,2.1567251435076594e-55,0,,156,100
101,720,1520,2.2495513726252588e-54,0,,154,100
102,723,1523,7.382201940437301e-84,0,,155,100
103,732,1532,0.7531708697808598,1,,152,100
104,735,1535,0.821469264180852,1,,151,100
105,739,1539,0.6897911581152805,1,,151,100
106,749,1549,1.017670941582082e-215,0,,151,100
107,757,1557,0.7375182220567058,1,,148,100
108,761,1561,2.381720484224882e-40,0,,150,100
109,774,1574,0.46600091820226,1,,146,100
110,778,1578,0.9734164397712928,1,,144,100
111,782,1582,0.9949044733226725,1,,142,100
112,786,1586,0.9945954121601098,1,,140,100
113,790,1590,0.9957446254777268,1,,140,100
114,798,1598,0.9991411874685863,1,,138,100
115,801,1601,0.998313192060454,1,,138,100
