window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.9438093802469145e-15,0,,218,100
1,4,804,0.015001063638451759,1,,215,100
2,7,807,0.00024228556563724442,0,,215,100
3,11,811,0.0007551441560015253,0,,216,100
4,21,821,0.0010198585833922642,1,,218,100
5,25,825,0.008167724745878667,1,,217,100
6,33,833,0.0008187799775796051,0,,218,100
7,37,837,0.00040212799331142135,0,,219,100
8,44,844,0.00023811508862185097,0,,221,100
9,48,848,0.0008177425867807039,0,,223,100
10,52,852,0.0004140202633127442,0,,223,100
11,60,860,2.1843569355638956e-07,0,,221,100
12,64,864,1.2775947984456977e-07,0,,219,100
13,68,868,9.390390099419146e-11,0,,219,100
14,72,872,4.909453895219993e-12,0,,219,100
15,78,878,1.4320276684169871e-16,0,,219,100
16,82,882,4.669609105316563e-13,0,,219,100
17,90,890,1.4457509889903224e-10,0,,219,100
18,96,896,1.3767596074377486e-11,0,,219,100
19,100,900,8.665805405878565e-16,0,,219,100
20,106,906,1.0404087720132143e-09,0,,217,100
21,110,910,1.0759874261802134e-14,0,,217,100
22,119,919,2.6915346614312407e-11,0,,218,100
23,123,923,1.0738881688503736e-11,0,,218,100
24,128,928,7.256440974801177e-12,0,,216,100
25,132,932,4.6310644178071766e-08,0,,217,100
26,137,937,2.2500876495540244e-09,0,,217,100
27,140,940,9.447164573369134e-11,0,,217,100
28,144,944,1.896075652143731e-09,0,,217,100
29,150,950,1.0343091453037041e-07,0,,216,100
30,154,954,1.6964481090139194e-12,0,,216,100
31,158,958,6.86433926751592e-08,0,,216,100
32,165,965,9.883667023875002e-13,0,,217,100
33,168,968,4.120621343375701e-09,0,,217,100
34,172,972,2.326670406270679e-09,0,,218,100
35,178,978,3.2827199398187396e-14,0,,222,100
36,183,983,9.504746057221213e-15,0,,223,100
37,187,987,3.298605343666926e-14,0,,223,100
38,192,992,3.638813553296849e-11,0,,223,100
39,195,995,1.801047190437458e-12,0,,223,100
40,199,999,8.306370352942291e-12,0,,222,100
41,208,1008,3.479474253889955e-14,0,,220,100
42,212,1012,1.3598602147158091e-16,0,,218,100
43,216,1016,5.962864074157214e-14,0,,218,100
44,220,1020,1.5209055408235163e-17,0,,218,100
45,226,1026,8.66060724460134e-14,0,,218,100
46,230,1030,5.940123288572178e-22,0,,218,100
47,236,1036,5.670933161120447e-29,0,,217,100
48,239,1039,7.797037425807551e-20,0,,216,100
49,246,1046,3.4312235114102317e-16,0,,216,100
50,250,1050,4.949395562203711e-14,0,,216,100
51,256,1056,3.4135306519458095e-20,0,,216,100
52,260,1060,8.402136660041248e-11,0,,215,100
53,268,1068,7.168922488027182e-20,0,,213,100
54,272,1072,1.2632900521985185e-22,0,,212,100
55,276,1076,4.035541296766749e-18,0,,212,100
56,280,1080,3.7969448152576605e-16,0,,213,100
57,284,1084,9.117999864163374e-16,0,,212,100
58,288,1088,1.9206843614691808e-11,0,,211,100
59,295,1095,2.112222202397761e-14,0,,211,100
60,300,1100,1.2570465481003486e-12,0,,211,100
61,303,1103,6.247232740005642e-15,0,,213,100
62,307,1107,2.4908862074112224e-12,0,,216,100
63,313,1113,1.3871158684366367e-13,0,,216,100
64,317,1117,1.850009626297066e-10,0,,216,100
65,321,1121,4.553280343327289e-11,0,,217,100
66,329,1129,8.576379944247296e-11,0,,217,100
67,333,1133,1.4044716853951585e-10,0,,217,100
68,339,1139,1.7141011237395134e-10,0,,216,100
69,344,1144,1.613700108953285e-18,0,,216,100
70,348,1148,1.0519483095613852e-09,0,,217,100
71,359,1159,1.00345133812322e-82,0,,215,100
72,363,1163,5.0787726034796276e-11,0,,212,100
73,367,1167,2.5465657764860515e-10,0,,213,100
74,371,1171,1.4597659391994466e-06,0,,212,100
75,378,1178,3.882617612025425e-09,0,,213,100
76,382,1182,5.664271312499812e-09,0,,213,100
77,388,1188,1.3437654471247223e-07,0,,214,100
78,393,1193,5.716132325265728e-10,0,,213,100
79,397,1197,5.690955751130212e-11,0,,212,100
80,401,1201,4.435562531514636e-11,0,,214,100
81,410,1210,3.450542700546003e-09,0,,212,100
82,413,1213,3.0146597291577667e-06,0,,212,100
83,420,1220,9.294262474415803e-13,0,,212,100
