window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.0222337511122126e-38,0,,137,100
1,11,811,5.124028078729677e-55,0,,136,100
2,14,814,3.9884895520886217e-16,0,,135,100
3,19,819,2.2179058887581075e-14,0,,133,100
4,25,825,4.665998741770801e-16,0,,131,100
5,33,833,4.006788908000665e-61,0,,129,100
6,40,840,1.198817283490372e-88,0,,128,100
7,51,851,4.0905753918317705e-79,0,,126,100
8,56,856,1.1280558861821681e-83,0,,125,100
9,65,865,0.9694112364674896,1,,124,100
10,69,869,0.0760052186086102,1,,123,100
11,73,873,0.8775112204000393,1,,122,100
12,81,881,0.0960802799564003,1,,121,100
13,86,886,0.8818507298693224,1,,120,100
14,89,889,0.019034134798277303,1,,119,100
15,97,897,0.1056040163469499,1,,118,100
16,101,901,0.8801585161872592,1,,117,100
17,104,904,0.8642732595060792,1,,117,100
18,111,911,0.968408684614614,1,,116,100
19,120,920,0.9866484994238959,1,,113,100
20,129,929,0.9621416216665429,1,,112,100
21,134,934,0.97980588467321,1,,111,100
22,138,938,0.9704108966958983,1,,110,100
23,144,944,0.9265632777117575,1,,109,100
24,154,954,0.9604392930465485,1,,108,100
25,161,961,0.9748869214201209,1,,107,100
26,165,965,0.8707910802299696,1,,106,100
27,170,970,0.8923685809650035,1,,105,100
28,181,981,0.9580246011921197,1,,104,100
29,188,988,0.9430819693502885,1,,103,100
30,195,995,0.9678097686763611,1,,102,100
31,198,998,0.9411337001797114,1,,101,100
32,202,1002,0.9657504869561782,1,,101,100
