window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9950521588672309,1,,153,100
1,12,812,0.8598065073354,1,,152,100
2,15,815,0.05319126056291002,1,,152,100
3,22,822,0.1419957671091186,1,,154,100
4,31,831,0.08348467281112221,1,,152,100
5,36,836,0.027347119772338405,1,,152,100
6,39,839,0.03624219660069467,1,,151,100
7,47,847,2.11047380410712e-07,0,,151,100
8,50,850,0.0003926193193028994,0,,151,100
9,54,854,0.010990027737563239,1,,151,100
10,61,861,0.021920709577344284,1,,153,100
11,71,871,0.0007191640606839437,0,,152,100
12,73,873,0.23651189014342902,1,,152,100
13,78,878,0.015273987036300622,1,,151,100
14,81,881,0.1816607609412548,1,,151,100
15,86,886,0.43106629050786965,1,,151,100
16,95,895,0.02949160082644665,1,,152,100
17,99,899,0.3622117932168077,1,,152,100
18,110,910,0.6674443607366838,1,,153,100
19,124,924,0.047745763544720335,1,,155,100
20,130,930,7.87608271951114e-05,0,,154,100
21,135,935,0.02645601055114786,1,,154,100
22,148,948,0.34680202838459456,1,,155,100
23,151,951,0.42138561361692517,1,,155,100
24,156,956,0.7010623298997927,1,,154,100
25,159,959,0.37609351893211385,1,,153,100
26,163,963,0.8925152377527986,1,,154,100
27,172,972,0.7816764868190937,1,,155,100
28,180,980,0.8329815200049364,1,,155,100
29,193,993,0.992205491660777,1,,156,100
30,203,1003,0.9957078553438535,1,,157,100
31,211,1011,0.995227370436073,1,,158,100
32,222,1022,0.9974520286803229,1,,157,100
33,226,1026,0.9971288717052171,1,,157,100
34,233,1033,0.9971058531083007,1,,156,100
35,236,1036,0.9961759227905593,1,,155,100
36,241,1041,0.9967971543524378,1,,153,100
37,247,1047,0.5377618989182165,1,,151,100
38,255,1055,0.9988168298690547,1,,149,100
39,262,1062,0.9986042166384332,1,,147,100
40,271,1071,0.9484938074464112,1,,146,100
41,283,1083,0.9965389686905509,1,,145,100
42,295,1095,0.9985649555994807,1,,141,100
43,302,1102,0.9986424431461564,1,,139,100
44,307,1107,0.9987044730624131,1,,139,100
45,314,1114,0.9977804471725591,1,,137,100
46,317,1117,0.8991141548797974,1,,136,100
47,321,1121,0.9905290994356161,1,,135,100
48,331,1131,0.9875544696166952,1,,133,100
49,335,1135,0.9989324626389341,1,,132,100
50,338,1138,0.9977325272737995,1,,132,100
51,345,1145,0.9972356412326153,1,,130,100
52,353,1153,0.9994119730751974,1,,129,100
53,356,1156,0.9988035859005922,1,,129,100
54,361,1161,0.9986907265239631,1,,127,100
55,365,1165,0.9996238168255696,1,,126,100
56,374,1174,0.9918668280582076,1,,125,100
57,377,1177,0.9790682136877594,1,,126,100
58,387,1187,0.9993899574600763,1,,123,100
59,390,1190,0.9872227171133144,1,,122,100
60,393,1193,0.9995696969221203,1,,121,100
61,397,1197,0.9993518616257484,1,,119,100
62,405,1205,0.9998686606678614,1,,118,100
63,408,1208,0.6675611985895458,1,,117,100
64,412,1212,0.9948949718669481,1,,116,100
65,422,1222,0.9982402959051295,1,,115,100
66,435,1235,0.999715069657947,1,,111,100
67,439,1239,0.995995424403658,1,,110,100
68,445,1245,0.9943527133374873,1,,109,100
69,455,1255,0.9953459507136742,1,,108,100
70,462,1262,0.9999361340546529,1,,107,100
71,466,1266,0.9965248430431334,1,,106,100
72,471,1271,0.993550746429153,1,,105,100
73,482,1282,0.9989175652834054,1,,104,100
74,489,1289,0.9990452328473044,1,,103,100
75,495,1295,0.9838480371484809,1,,102,100
76,498,1298,0.9662905550865456,1,,101,100
77,507,1307,0.9680586041736621,1,,100,100
