window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.5011846079629037e-11,0,,179,100
1,5,805,3.852875441405724e-09,0,,177,100
2,8,808,1.587750475103518e-06,0,,177,100
3,13,813,2.1376955979931023e-08,0,,178,100
4,17,817,3.58211387870468e-07,0,,176,100
5,30,830,4.32036954369302e-08,0,,178,100
6,39,839,4.259063115915397e-10,0,,178,100
7,48,848,1.781258348692227e-20,0,,179,100
8,53,853,1.0843344900810618e-14,0,,180,100
9,57,857,3.6645873771730403e-09,0,,178,100
10,64,864,4.214301915135173e-07,0,,178,100
11,73,873,3.4989634746901574e-20,0,,176,100
12,80,880,2.1447562414263497e-24,0,,175,100
13,83,883,7.457295759251716e-17,0,,175,100
14,88,888,1.25416497431146e-22,0,,174,100
15,91,891,2.699474987031452e-14,0,,174,100
16,97,897,1.3365425129725075e-15,0,,174,100
17,105,905,4.279568824122038e-15,0,,174,100
18,114,914,2.261790477207272e-19,0,,173,100
19,119,919,1.7984074447670064e-18,0,,173,100
20,128,928,1.2952871234865826e-19,0,,172,100
21,134,934,2.4369714338632084e-23,0,,171,100
22,137,937,5.0776325929502115e-20,0,,170,100
23,148,948,1.6145899401950278e-13,0,,170,100
24,153,953,3.308683821658723e-18,0,,169,100
25,163,963,1.8960569617005299e-19,0,,169,100
26,170,970,6.191659054410204e-23,0,,171,100
27,173,973,2.4320718608612234e-19,0,,170,100
28,180,980,1.7859412925921877e-28,0,,172,100
29,185,985,2.640951669498111e-27,0,,172,100
30,190,990,2.2978462814874902e-30,0,,173,100
31,193,993,4.550562940258289e-32,0,,171,100
32,196,996,1.0342056447965126e-28,0,,171,100
33,198,998,8.357473103682724e-31,0,,170,100
34,207,1007,1.2521739159989055e-14,0,,170,100
35,215,1015,1.6254189716073454e-16,0,,169,100
36,219,1019,1.261543301925729e-17,0,,169,100
37,223,1023,5.956479665858315e-19,0,,169,100
38,232,1032,7.05432172947347e-18,0,,169,100
39,243,1043,3.286316791235476e-13,0,,171,100
40,246,1046,1.4035707933269162e-11,0,,170,100
41,262,1062,1.2556195047037336e-12,0,,172,100
42,266,1066,1.037173090278509e-16,0,,172,100
43,269,1069,4.949384423098636e-08,0,,172,100
44,273,1073,3.8767419658580916e-17,0,,172,100
45,281,1081,1.206119904221729e-22,0,,169,100
46,284,1084,8.684818272573948e-14,0,,171,100
47,298,1098,6.571026816027995e-16,0,,171,100
48,303,1103,1.8610322238817502e-16,0,,170,100
49,313,1113,1.146424993182506e-22,0,,171,100
50,323,1123,2.869176260743402e-35,0,,173,100
51,329,1129,9.285435571191424e-28,0,,172,100
52,333,1133,4.894549411730012e-27,0,,171,100
53,340,1140,1.8245594987976307e-19,0,,172,100
54,343,1143,1.2530492746217408e-30,0,,173,100
55,351,1151,3.475763301687353e-23,0,,170,100
56,354,1154,2.9499261991251393e-19,0,,169,100
57,359,1159,9.299316949726579e-23,0,,168,100
58,368,1168,2.2977904243955293e-22,0,,168,100
59,377,1177,1.3051042084538045e-17,0,,166,100
60,381,1181,5.223431231178748e-13,0,,165,100
61,385,1185,1.2647443341631633e-10,0,,164,100
62,389,1189,1.971411664158383e-12,0,,163,100
63,399,1199,5.343751170929699e-10,0,,162,100
64,408,1208,3.092303618561645e-12,0,,161,100
65,411,1211,3.936015373335491e-21,0,,160,100
66,415,1215,4.3089071824316876e-08,0,,158,100
67,424,1224,8.144826086082898e-10,0,,157,100
68,427,1227,3.3078078197744883e-13,0,,156,100
69,431,1231,3.919751432159901e-21,0,,155,100
70,438,1238,8.576158658826162e-18,0,,154,100
71,446,1246,3.8085022819294984e-24,0,,152,100
72,449,1249,3.0543966040946826e-15,0,,151,100
73,454,1254,2.579063080270516e-19,0,,150,100
74,459,1259,2.74975616012716e-17,0,,150,100
75,470,1270,0.0004715924111407614,0,,148,100
76,474,1274,6.296864620144606e-05,0,,147,100
77,478,1278,2.3059136597373828e-05,0,,147,100
78,486,1286,1.3945840622074403e-11,0,,144,100
79,489,1289,8.477670478300866e-05,0,,143,100
80,493,1293,0.0016599214972463027,1,,142,100
81,500,1300,0.0009888539109964443,0,,141,100
82,503,1303,0.05278928760862778,1,,140,100
83,509,1309,0.08000732354760502,1,,139,100
84,513,1313,5.7067177144537734e-05,0,,138,100
85,516,1316,0.05056833606296443,1,,137,100
86,520,1320,0.00063891732067249,0,,137,100
87,530,1330,0.002120316139542105,1,,135,100
88,533,1333,0.005797501694528061,1,,134,100
89,537,1337,0.0013195516674800955,1,,134,100
90,543,1343,0.0007244178237387711,0,,132,100
91,547,1347,0.015063368380967872,1,,130,100
92,559,1359,0.904914207696721,1,,127,100
93,562,1362,0.9340310091338884,1,,127,100
94,569,1369,0.8162199089844361,1,,125,100
95,574,1374,0.015949412846217162,1,,125,100
96,585,1385,6.167523220960238e-54,0,,123,100
97,588,1388,2.820842171238769e-59,0,,122,100
98,591,1391,2.2678678569807796e-07,0,,121,100
99,594,1394,1.5693754390661366e-09,0,,121,100
100,600,1400,1.6278302333075574e-71,0,,119,100
101,604,1404,1.4447939010375724e-07,0,,118,100
102,607,1407,0.02150238547541205,1,,116,100
103,622,1422,5.102429455074335e-09,0,,113,100
104,625,1425,1.3053363299598723e-98,0,,113,100
105,636,1436,3.025247112226267e-111,0,,110,100
106,639,1439,1.3329250085658202e-180,0,,109,100
107,643,1443,4.42518923916373e-200,0,,108,100
108,651,1451,2.1145706066110012e-210,0,,107,100
109,655,1455,9.247527806311693e-235,0,,106,100
110,662,1462,7.305059959108385e-246,0,,105,100
111,669,1469,2.64396848422036e-194,0,,104,100
112,672,1472,5.158276924994292e-07,0,,103,100
113,677,1477,8.813002177319673e-11,0,,101,100
114,686,1486,0.0,0,,100,100
