window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.37534650741929654,1,,165,100
1,5,805,0.005360985935132618,1,,164,100
2,15,815,1.4457420019013237e-15,0,,164,100
3,18,818,6.99538059981014e-10,0,,163,100
4,22,822,8.158706357223906e-15,0,,162,100
5,29,829,1.1612196968068266e-07,0,,161,100
6,32,832,0.4125945962934405,1,,161,100
7,36,836,0.11040541621987965,1,,161,100
8,43,843,0.6999269156603374,1,,162,100
9,51,851,1.619968087752528e-17,0,,160,100
10,54,854,2.627795305360826e-18,0,,160,100
11,60,860,9.970405343697613e-17,0,,160,100
12,63,863,5.457291706910853e-21,0,,160,100
13,68,868,0.001324231533506518,1,,161,100
14,70,870,0.002049784798796587,1,,160,100
15,75,875,0.0028148811039588094,1,,160,100
16,83,883,9.837112881609413e-05,0,,161,100
17,90,890,7.613935567607045e-19,0,,160,100
18,100,900,1.289476347344173e-12,0,,162,100
19,109,909,4.646918754574731e-16,0,,162,100
20,116,916,3.744143912110303e-19,0,,163,100
21,125,925,6.581573741916009e-31,0,,164,100
22,138,938,0.24297880655965307,1,,160,100
23,146,946,1.923026040484745e-24,0,,162,100
24,150,950,1.0578601466646958e-19,0,,162,100
25,154,954,1.9800558972879613e-21,0,,162,100
26,161,961,4.080465760814041e-22,0,,164,100
27,170,970,1.094771011490831e-18,0,,164,100
28,178,978,0.00201605046823577,1,,164,100
29,182,982,0.0268407681302879,1,,165,100
30,190,990,0.03624905298259811,1,,167,100
31,199,999,6.875785072033767e-27,0,,166,100
32,203,1003,5.496235986105391e-17,0,,165,100
33,210,1010,7.185106627423265e-24,0,,167,100
34,214,1014,2.876332559262874e-22,0,,167,100
35,224,1024,3.3399165957441816e-19,0,,167,100
36,227,1027,0.18282592554840724,1,,167,100
37,235,1035,0.4192659810377736,1,,170,100
38,238,1038,0.44659020016691353,1,,171,100
39,248,1048,0.0872616999822436,1,,169,100
40,252,1052,0.4645791698084948,1,,169,100
41,256,1056,2.209176926573797e-28,0,,169,100
42,267,1067,2.8650329534608486e-28,0,,168,100
43,270,1070,8.842021830272681e-21,0,,167,100
44,277,1077,0.5541465831618532,1,,167,100
45,281,1081,0.7124382291484588,1,,167,100
46,291,1091,0.29864471268802567,1,,169,100
47,296,1096,0.39169570301485296,1,,169,100
48,309,1109,1.094631874090183e-15,0,,169,100
49,313,1113,2.328034571037213e-15,0,,169,100
50,317,1117,6.569178318057451e-17,0,,169,100
51,324,1124,4.781143444250174e-21,0,,169,100
52,331,1131,4.743912938334505e-31,0,,170,100
53,334,1134,2.0240437711164788e-19,0,,168,100
54,345,1145,0.00044692047116258037,0,,166,100
55,353,1153,0.0010205879519758316,1,,167,100
56,356,1156,0.0022478784343851234,1,,165,100
57,364,1164,0.6393484452072856,1,,164,100
58,367,1167,0.24263621954964212,1,,162,100
59,371,1171,0.0015949794718811642,1,,164,100
60,383,1183,0.08805380381991812,1,,162,100
61,390,1190,0.07316577823147964,1,,162,100
62,397,1197,5.8847529423066095e-22,0,,164,100
63,405,1205,4.644746391452541e-05,0,,163,100
64,411,1211,2.937392010447408e-05,0,,163,100
65,414,1214,0.0002649066889170566,0,,163,100
66,421,1221,0.038280462562947246,1,,162,100
67,424,1224,0.002679233116158011,1,,162,100
68,426,1226,0.0374734725300957,1,,162,100
69,435,1235,3.3121568968535015e-17,0,,162,100
70,438,1238,0.0652889073063544,1,,162,100
71,442,1242,0.00012070440776495761,0,,162,100
72,449,1249,1.0135740772970389e-08,0,,162,100
73,457,1257,6.362389224480037e-27,0,,162,100
74,463,1263,3.203588663225446e-15,0,,161,100
75,469,1269,1.573708301806744e-14,0,,163,100
76,477,1277,5.618982715139467e-07,0,,162,100
77,480,1280,1.2934317640822228e-06,0,,162,100
78,482,1282,7.224142186201683e-07,0,,161,100
79,489,1289,1.3074876699599405e-08,0,,161,100
80,493,1293,3.78992603800705e-11,0,,161,100
81,499,1299,2.825993151761107e-12,0,,161,100
82,502,1302,5.801431268364426e-11,0,,161,100
83,520,1320,0.00016891837418272243,0,,162,100
84,528,1328,0.16707738519349044,1,,162,100
85,531,1331,0.003705648149755807,1,,160,100
86,535,1335,2.8352253923216245e-09,0,,158,100
87,541,1341,9.666885037065053e-30,0,,157,100
88,544,1344,2.673438802883772e-16,0,,158,100
89,560,1360,7.277695722652741e-32,0,,160,100
