window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6613626407713781,1,,218,100
1,4,804,1.5962885631415933e-13,0,,215,100
2,7,807,1.0214076792049833e-13,0,,215,100
3,11,811,2.6254794558725024e-10,0,,216,100
4,21,821,5.908723592997202e-30,0,,218,100
5,25,825,8.16607226287553e-09,0,,217,100
6,33,833,4.5346308504798103e-07,0,,218,100
7,37,837,1.3232198679594674e-07,0,,219,100
8,44,844,0.8820984467192967,1,,221,100
9,48,848,0.9319904919697628,1,,223,100
10,52,852,0.6632519356769666,1,,223,100
11,60,860,3.995487591848149e-61,0,,221,100
12,64,864,0.6894559883972438,1,,219,100
13,68,868,0.026396052096613543,1,,219,100
14,72,872,0.00041422391009076037,0,,219,100
15,78,878,9.069327680296643e-07,0,,219,100
16,82,882,2.739650438154541e-07,0,,219,100
17,90,890,1.2479862996426834e-06,0,,219,100
18,96,896,2.8618707654270342e-11,0,,219,100
19,100,900,1.398785506409757e-23,0,,219,100
20,106,906,0.8294735190685074,1,,217,100
21,110,910,0.8321456452260072,1,,217,100
22,119,919,8.160892824543362e-08,0,,218,100
23,123,923,0.0005867414939481033,0,,218,100
24,128,928,2.1062686914551854e-06,0,,216,100
25,132,932,0.769577868816937,1,,217,100
26,137,937,4.0667205035106417e-19,0,,217,100
27,140,940,1.2290728858752771e-18,0,,217,100
28,144,944,1.2308568240817298e-06,0,,217,100
29,150,950,0.9421321698465268,1,,216,100
30,154,954,7.661428316293782e-08,0,,216,100
31,158,958,0.0032320320970173327,1,,216,100
32,165,965,4.504309540877877e-10,0,,217,100
33,168,968,0.00023159996419027745,0,,217,100
34,172,972,6.178007575368393e-05,0,,218,100
35,178,978,2.9460684876214514e-26,0,,222,100
36,183,983,9.493859662124532e-06,0,,223,100
37,187,987,1.5602304903115465e-06,0,,223,100
38,192,992,0.6035970012700755,1,,223,100
39,195,995,0.14075476388399655,1,,223,100
40,199,999,0.00015211315082525525,0,,222,100
41,208,1008,6.351891108438008e-07,0,,220,100
42,212,1012,3.996685391035961e-19,0,,218,100
43,216,1016,0.8689915186188737,1,,218,100
44,220,1020,0.11565383715005657,1,,218,100
45,226,1026,0.008403070988911342,1,,218,100
46,230,1030,0.1538911871826843,1,,218,100
47,236,1036,0.0008470719178948278,0,,217,100
48,239,1039,3.597130233753042e-06,0,,216,100
49,246,1046,0.705006913825495,1,,216,100
50,250,1050,0.639031680337373,1,,216,100
51,256,1056,0.868728558403244,1,,216,100
52,260,1060,0.0018614050610027979,1,,215,100
53,268,1068,0.18672698811224414,1,,213,100
54,272,1072,0.09289403046029769,1,,212,100
55,276,1076,0.05977806317871535,1,,212,100
56,280,1080,0.04613933515307616,1,,213,100
57,284,1084,0.006037378238844061,1,,212,100
58,288,1088,0.01316182579527205,1,,211,100
59,295,1095,0.0034571731852883216,1,,211,100
60,300,1100,0.0020853749450679858,1,,211,100
61,303,1103,3.587060302245419e-30,0,,213,100
62,307,1107,0.5774312074786179,1,,216,100
63,313,1113,1.6293212342531934e-17,0,,216,100
