window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.5024878622505136e-125,0,,204,100
1,10,810,7.608308092431339e-114,0,,204,100
2,20,820,2.7642716122363596e-127,0,,204,100
3,30,830,1.4449552761334096e-126,0,,203,100
4,40,840,3.377538113144012e-197,0,,201,100
5,50,850,3.7100111614338198e-236,0,,201,100
6,60,860,3.6241024301086656e-111,0,,201,100
7,70,870,1.7020091236952235e-127,0,,203,100
8,80,880,5.824766475070743e-112,0,,202,100
9,90,890,8.703201874291907e-116,0,,202,100
10,100,900,4.575689049833153e-121,0,,202,100
11,110,910,6.418377451721332e-96,0,,201,100
12,120,920,2.9070309800626872e-102,0,,202,100
13,130,930,4.1545376509982185e-116,0,,203,100
14,140,940,9.183080303050191e-119,0,,201,100
15,150,950,4.8629694953474176e-136,0,,201,100
16,160,960,8.511275487615649e-124,0,,200,100
17,170,970,4.259036389771171e-124,0,,200,100
18,180,980,5.625668068160468e-81,0,,200,100
19,190,990,4.472255820122326e-87,0,,201,100
20,200,1000,9.629680451879055e-94,0,,202,100
21,210,1010,2.7612585713678767e-97,0,,201,100
22,220,1020,7.266269792502714e-94,0,,201,100
23,230,1030,2.8064468084539373e-84,0,,201,100
24,240,1040,4.3148800487560895e-110,0,,203,100
25,250,1050,1.0005354744751675e-94,0,,202,100
26,260,1060,3.249075978950526e-157,0,,201,100
27,270,1070,1.530939448301092e-123,0,,199,100
28,280,1080,6.112872944641486e-98,0,,199,100
29,290,1090,1.803266890415994e-90,0,,200,100
30,300,1100,3.5677463242291698e-102,0,,199,100
31,310,1110,3.2867538942070064e-112,0,,199,100
32,320,1120,3.9115792764320276e-120,0,,199,100
33,330,1130,9.274010750461946e-124,0,,202,100
34,340,1140,7.793621714899505e-138,0,,198,100
35,350,1150,9.654342688624625e-139,0,,201,100
36,360,1160,9.611368914363243e-243,0,,200,100
37,370,1170,1.732450641695744e-196,0,,200,100
38,380,1180,5.3636992943724795e-177,0,,198,100
39,390,1190,4.8542977474884487e-104,0,,199,100
40,400,1200,1.4779496309037647e-98,0,,199,100
41,410,1210,6.763418402869737e-103,0,,199,100
42,420,1220,6.3316080103043084e-114,0,,199,100
43,430,1230,6.01504294929131e-143,0,,199,100
44,440,1240,6.5599582831395326e-133,0,,200,100
45,450,1250,1.3682948180116368e-96,0,,200,100
46,460,1260,6.3789595543634275e-130,0,,200,100
47,470,1270,3.470157825781107e-125,0,,201,100
48,480,1280,6.415457224937047e-115,0,,201,100
49,490,1290,4.207809474569617e-85,0,,200,100
50,500,1300,5.080584872577001e-124,0,,199,100
51,510,1310,3.0262912312417196e-118,0,,199,100
52,520,1320,1.3121432141637818e-121,0,,201,100
53,530,1330,7.65734293589044e-103,0,,200,100
54,540,1340,5.292962359818672e-104,0,,202,100
55,550,1350,2.9005262807233823e-81,0,,201,100
56,560,1360,3.2162321120224347e-74,0,,199,100
57,570,1370,9.88510133034911e-80,0,,199,100
58,580,1380,2.469781337558687e-94,0,,200,100
59,590,1390,2.5773990092203685e-69,0,,201,100
60,600,1400,3.5105461066237185e-91,0,,200,100
61,610,1410,6.367310787590749e-91,0,,200,100
62,620,1420,1.7215162470066088e-104,0,,200,100
63,630,1430,2.424943362009388e-117,0,,197,100
64,640,1440,1.2270170638434212e-133,0,,195,100
