window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.7889910634785034e-161,0,,208,100
1,10,810,1.68498554251156e-173,0,,203,100
2,20,820,7.522360363122183e-205,0,,202,100
3,30,830,2.5412343293384176e-101,0,,201,100
4,40,840,2.2339944574790082e-131,0,,201,100
5,50,850,2.2168680528007746e-145,0,,198,100
6,60,860,1.1591233338551838e-127,0,,202,100
7,70,870,2.728151781653713e-122,0,,203,100
8,80,880,1.681670977657939e-123,0,,202,100
9,90,890,1.7366750469585876e-161,0,,202,100
10,100,900,4.388917739027122e-186,0,,202,100
11,110,910,1.6546866414450648e-167,0,,200,100
12,120,920,7.10135511982333e-129,0,,197,100
13,130,930,1.2786795988229624e-150,0,,199,100
14,140,940,3.056703194833242e-163,0,,198,100
15,150,950,6.285915915786434e-186,0,,197,100
16,160,960,2.304366967181782e-214,0,,196,100
17,170,970,9.557350079661681e-241,0,,195,100
18,180,980,3.76782372911143e-243,0,,194,100
19,190,990,1.2675512592916095e-171,0,,195,100
20,200,1000,1.0017336400992935e-201,0,,193,100
21,210,1010,8.678072128249809e-186,0,,192,100
22,220,1020,3.0612858057881776e-216,0,,192,100
23,230,1030,2.9537303880548676e-214,0,,191,100
24,240,1040,5.061705341829421e-212,0,,192,100
25,250,1050,8.71633377294907e-144,0,,191,100
26,260,1060,3.330359955296139e-131,0,,192,100
27,270,1070,5.976519835152872e-162,0,,192,100
28,280,1080,1.983935125125249e-145,0,,193,100
29,290,1090,3.82118280030997e-127,0,,192,100
30,300,1100,1.6772063377328272e-107,0,,196,100
31,310,1110,2.8540382643948536e-114,0,,196,100
32,320,1120,1.7537502647121663e-108,0,,196,100
33,330,1130,8.218320146333961e-87,0,,195,100
34,340,1140,8.974015650271432e-89,0,,194,100
35,350,1150,3.045560549119641e-101,0,,196,100
36,360,1160,4.982773346447937e-112,0,,195,100
37,370,1170,3.7443896857506845e-97,0,,193,100
38,380,1180,1.9446598418165648e-85,0,,193,100
39,390,1190,1.9752826416247467e-86,0,,196,100
40,400,1200,4.7621870792096436e-92,0,,195,100
41,410,1210,1.1505857455273996e-80,0,,195,100
42,420,1220,1.922023047362275e-95,0,,196,100
43,430,1230,2.4338272465010804e-89,0,,195,100
44,440,1240,1.2193539510472325e-117,0,,194,100
45,450,1250,2.2209272922800962e-103,0,,195,100
46,460,1260,1.2970090681475882e-110,0,,196,100
47,470,1270,1.3670360814995332e-116,0,,195,100
48,480,1280,6.756065253862692e-116,0,,195,100
49,490,1290,1.9960785601515066e-138,0,,193,100
50,500,1300,3.0857293860828636e-157,0,,194,100
51,510,1310,2.179747000839631e-161,0,,193,100
52,520,1320,4.2518837297731195e-170,0,,192,100
53,530,1330,2.485102989739637e-178,0,,194,100
54,540,1340,1.4258199692612874e-196,0,,195,100
55,550,1350,1.6439493416129633e-195,0,,194,100
56,560,1360,4.7842755123039927e-172,0,,195,100
57,570,1370,4.4010258986555335e-174,0,,197,100
58,580,1380,1.217202856743211e-165,0,,199,100
59,590,1390,2.170913200150552e-174,0,,202,100
60,600,1400,1.5775961151310826e-181,0,,202,100
61,610,1410,2.0386917904020394e-187,0,,203,100
62,620,1420,1.6586585679925237e-204,0,,202,100
63,630,1430,1.1930224444225565e-216,0,,201,100
64,640,1440,3.0983048002621137e-174,0,,198,100
65,650,1450,4.795431109009405e-214,0,,200,100
66,660,1460,9.125502123665887e-150,0,,201,100
67,670,1470,5.933130348246207e-173,0,,201,100
68,680,1480,3.3042315258622125e-163,0,,201,100
69,690,1490,2.1543769307417387e-126,0,,198,100
70,700,1500,7.468023492282139e-150,0,,197,100
71,710,1510,4.2732929538921946e-106,0,,195,100
72,720,1520,8.045735162961798e-86,0,,196,100
73,730,1530,1.3081442618399166e-92,0,,195,100
74,740,1540,1.0901849402692346e-101,0,,193,100
75,750,1550,4.671474464935636e-83,0,,192,100
76,760,1560,4.4261734894593e-78,0,,190,100
77,770,1570,1.4877794666055133e-87,0,,189,100
78,780,1580,2.5418292925606017e-91,0,,190,100
79,790,1590,3.565502263904859e-76,0,,188,100
80,800,1600,1.9586212713321913e-82,0,,188,100
81,810,1610,6.894848157926056e-92,0,,188,100
82,820,1620,1.492492512531745e-95,0,,188,100
83,830,1630,1.2477313605075005e-102,0,,186,100
84,840,1640,1.6562796636070532e-113,0,,188,100
85,850,1650,4.9975507110835416e-116,0,,188,100
86,860,1660,1.707954051761533e-111,0,,186,100
87,870,1670,1.4678155007177353e-112,0,,188,100
88,880,1680,2.7348246829843353e-103,0,,188,100
89,890,1690,5.903052857848161e-105,0,,189,100
90,900,1700,1.3040183435701233e-102,0,,188,100
91,910,1710,2.4093571073604946e-108,0,,188,100
92,920,1720,3.956616464304844e-104,0,,188,100
93,930,1730,8.372123510553461e-144,0,,187,100
94,940,1740,8.956366979001025e-97,0,,186,100
95,950,1750,2.5083853392567494e-105,0,,185,100
96,960,1760,3.918704051665814e-92,0,,187,100
97,970,1770,7.062103392734325e-102,0,,188,100
98,980,1780,3.354168967379881e-126,0,,186,100
99,990,1790,1.948037989387656e-133,0,,185,100
100,1000,1800,8.148962058228556e-116,0,,183,100
101,1010,1810,1.94099850934887e-113,0,,184,100
102,1020,1820,1.838142420390707e-129,0,,185,100
103,1030,1830,1.5058317873909383e-122,0,,186,100
104,1040,1840,1.2566655625045053e-122,0,,187,100
105,1050,1850,2.1629152553292167e-131,0,,186,100
106,1060,1860,1.7248228336967617e-142,0,,186,100
107,1070,1870,1.1848897988989258e-155,0,,184,100
108,1080,1880,4.4483701135182606e-178,0,,183,100
109,1090,1890,2.7269186972584016e-153,0,,183,100
110,1100,1900,5.371374963319083e-127,0,,185,100
111,1110,1910,1.3644538797966101e-158,0,,184,100
112,1120,1920,6.665487261665759e-125,0,,180,100
113,1130,1930,3.8437487251938715e-115,0,,180,100
114,1140,1940,1.713340653058416e-135,0,,181,100
115,1150,1950,6.904844165684449e-124,0,,181,100
116,1160,1960,1.3929064284108234e-142,0,,183,100
117,1170,1970,1.4974673259970157e-172,0,,183,100
118,1180,1980,4.5152503399123385e-194,0,,183,100
119,1190,1990,1.1709811274114208e-162,0,,183,100
120,1200,2000,1.762045122233239e-179,0,,182,100
121,1210,2010,8.734595335253866e-196,0,,183,100
122,1220,2020,7.1319137954612e-186,0,,183,100
123,1230,2030,5.058570137462584e-173,0,,182,100
124,1240,2040,1.4079300814182988e-187,0,,181,100
125,1250,2050,4.276010656817475e-166,0,,180,100
126,1260,2060,6.1938033653669994e-167,0,,180,100
127,1270,2070,4.717986065093224e-195,0,,179,100
128,1280,2080,3.5341410257114923e-110,0,,181,100
129,1290,2090,1.5850607251476625e-107,0,,182,100
130,1300,2100,5.04067010324027e-134,0,,180,100
131,1310,2110,6.007749105054863e-126,0,,183,100
132,1320,2120,3.3569243262197285e-141,0,,184,100
133,1330,2130,5.257904057270584e-158,0,,183,100
134,1340,2140,7.818682267235147e-178,0,,184,100
135,1350,2150,5.875556099376484e-193,0,,183,100
136,1360,2160,3.3081645009345858e-214,0,,183,100
137,1370,2170,8.829305265391352e-218,0,,180,100
138,1380,2180,9.709949232538537e-236,0,,178,100
139,1390,2190,1.0040008609221261e-167,0,,179,100
140,1400,2200,2.763315488773579e-158,0,,179,100
141,1410,2210,2.673119126986029e-166,0,,180,100
142,1420,2220,2.001633102876543e-152,0,,180,100
143,1430,2230,1.1074309434229709e-163,0,,181,100
144,1440,2240,2.6630298886139496e-148,0,,182,100
145,1450,2250,1.591035380320072e-131,0,,179,100
146,1460,2260,6.915170775395132e-125,0,,177,100
147,1470,2270,8.622281288354215e-145,0,,177,100
148,1480,2280,1.744154535644345e-184,0,,177,100
149,1490,2290,8.775196284959628e-184,0,,177,100
150,1500,2300,1.188503562446697e-155,0,,176,100
151,1510,2310,2.621849599695626e-153,0,,176,100
152,1520,2320,1.9946822357700252e-164,0,,176,100
153,1530,2330,4.3572063362591136e-176,0,,176,100
154,1540,2340,1.0464587966774446e-163,0,,177,100
155,1550,2350,4.975959509963222e-204,0,,176,100
156,1560,2360,2.142155514215944e-212,0,,175,100
157,1570,2370,5.99321909311924e-199,0,,174,100
158,1580,2380,6.313901828396023e-241,0,,175,100
159,1590,2390,1.3149266540539192e-213,0,,176,100
160,1600,2400,1.995020846672859e-189,0,,177,100
161,1610,2410,2.9530722676576915e-218,0,,177,100
162,1620,2420,6.037488369969393e-250,0,,176,100
163,1630,2430,5.522174893278201e-173,0,,176,100
164,1640,2440,2.8977334419938414e-134,0,,177,100
165,1650,2450,6.41988945225252e-162,0,,175,100
166,1660,2460,1.8554828212009143e-178,0,,176,100
167,1670,2470,3.477549052038108e-177,0,,177,100
168,1680,2480,1.7544425194517282e-190,0,,177,100
169,1690,2490,1.6463082630183105e-202,0,,177,100
170,1700,2500,3.692997738248933e-158,0,,177,100
171,1710,2510,7.138368581732236e-154,0,,178,100
172,1720,2520,2.6443784873627856e-166,0,,176,100
173,1730,2530,3.4355582322640324e-166,0,,179,100
174,1740,2540,3.483500161464793e-130,0,,177,100
175,1750,2550,6.399592490194284e-158,0,,176,100
176,1760,2560,7.433364307804288e-173,0,,175,100
177,1770,2570,8.915041342114239e-164,0,,176,100
178,1780,2580,2.0671649980664157e-163,0,,174,100
179,1790,2590,1.775478832454239e-160,0,,176,100
180,1800,2600,2.8800810877393845e-139,0,,177,100
181,1810,2610,2.5602204216283045e-145,0,,177,100
182,1820,2620,1.3532466764529903e-152,0,,178,100
