window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.133813885202739e-156,0,,208,100
1,10,810,3.2986487903359373e-169,0,,203,100
2,20,820,5.40974257769089e-195,0,,202,100
3,30,830,9.33354665703222e-103,0,,201,100
4,40,840,1.9087420537422007e-133,0,,201,100
5,50,850,8.092109235598378e-151,0,,198,100
6,60,860,1.9209682142587122e-125,0,,202,100
7,70,870,4.153961426803351e-123,0,,203,100
8,80,880,3.6318726784162664e-162,0,,202,100
9,90,890,6.706926448820141e-176,0,,202,100
10,100,900,2.5142539492649236e-173,0,,202,100
11,110,910,8.260898369338758e-176,0,,200,100
12,120,920,2.1387263342893724e-134,0,,197,100
13,130,930,5.3220734929141714e-157,0,,199,100
14,140,940,3.729904148549302e-150,0,,198,100
15,150,950,1.3756527907659035e-199,0,,197,100
16,160,960,4.415185910284769e-200,0,,196,100
17,170,970,4.478278630613972e-256,0,,195,100
18,180,980,3.0670542420110233e-249,0,,194,100
19,190,990,2.7663547983266318e-179,0,,195,100
20,200,1000,4.0138809713971925e-209,0,,193,100
21,210,1010,4.471533575032476e-178,0,,192,100
22,220,1020,3.761469940250886e-214,0,,192,100
23,230,1030,3.702218549160319e-214,0,,191,100
24,240,1040,9.453977653647632e-211,0,,192,100
25,250,1050,1.3239920073455335e-145,0,,191,100
26,260,1060,1.6280452671403033e-129,0,,192,100
27,270,1070,2.013969087489806e-155,0,,192,100
28,280,1080,6.0416087535277794e-148,0,,193,100
29,290,1090,5.9231398975845546e-124,0,,192,100
30,300,1100,5.71406650403032e-106,0,,196,100
31,310,1110,6.833310346336528e-117,0,,196,100
32,320,1120,1.0504427625458245e-107,0,,196,100
33,330,1130,4.282530921814273e-92,0,,195,100
34,340,1140,2.7780695224271315e-90,0,,194,100
35,350,1150,1.2366677693144753e-99,0,,196,100
36,360,1160,2.0033563734502824e-106,0,,195,100
37,370,1170,1.0465653845333604e-94,0,,193,100
38,380,1180,8.059654926298935e-80,0,,193,100
39,390,1190,1.0881924061997319e-89,0,,196,100
