window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.0375810964809473e-214,0,,191,100
1,10,810,1.212465655971087e-221,0,,191,100
2,20,820,1.0149131896253286e-163,0,,187,100
3,30,830,1.9996526041824096e-176,0,,186,100
4,40,840,6.81858976380394e-131,0,,181,100
5,50,850,5.899367176240992e-113,0,,182,100
6,60,860,1.053954330443919e-119,0,,183,100
7,70,870,7.200622286914864e-119,0,,187,100
8,80,880,3.916854092195017e-150,0,,187,100
9,90,890,1.5547687987338402e-137,0,,187,100
10,100,900,2.6319820765206125e-115,0,,187,100
11,110,910,1.914707092789817e-97,0,,190,100
12,120,920,3.0903992577129554e-103,0,,191,100
13,130,930,1.5892508077525144e-88,0,,192,100
14,140,940,1.4008077464616305e-88,0,,194,100
15,150,950,2.2238267567012498e-98,0,,192,100
16,160,960,2.9596946693424532e-89,0,,192,100
17,170,970,8.981955324892964e-82,0,,192,100
18,180,980,2.0382732561955465e-79,0,,193,100
19,190,990,2.034985080612075e-89,0,,192,100
20,200,1000,6.880234960120473e-110,0,,190,100
21,210,1010,1.0417651545666264e-116,0,,192,100
22,220,1020,7.692204729133931e-99,0,,191,100
23,230,1030,1.1089827377002976e-104,0,,195,100
24,240,1040,1.0657524778916365e-106,0,,195,100
25,250,1050,7.810125415922031e-105,0,,194,100
26,260,1060,2.2363373060177264e-103,0,,195,100
27,270,1070,2.8263907290908626e-106,0,,195,100
28,280,1080,1.232959539218496e-109,0,,196,100
29,290,1090,8.967356012728409e-114,0,,197,100
30,300,1100,8.906280972281986e-124,0,,199,100
31,310,1110,2.520646822946881e-120,0,,199,100
32,320,1120,5.7866271651569125e-127,0,,199,100
33,330,1130,1.4246533055286706e-123,0,,197,100
34,340,1140,7.478127625326334e-127,0,,196,100
35,350,1150,7.211320349404097e-128,0,,197,100
36,360,1160,7.883360738563794e-140,0,,197,100
37,370,1170,1.4323992804476302e-140,0,,198,100
38,380,1180,1.0508261619688576e-154,0,,203,100
39,390,1190,4.1877079756358746e-156,0,,201,100
