window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9944715194230634,1,,153,100
1,10,810,0.5869969734613193,1,,153,100
2,20,820,0.024191650046480398,1,,153,100
3,30,830,0.00011075575768172353,0,,152,100
4,40,840,4.370352872154053e-06,0,,153,100
5,50,850,0.00026243490688446344,0,,151,100
6,60,860,0.00023398316520181284,0,,151,100
7,70,870,0.0003476745689834017,0,,152,100
8,80,880,0.013800394675835645,1,,151,100
9,90,890,0.049965833472495134,1,,152,100
10,100,900,0.026896989647143765,1,,153,100
11,110,910,0.3557341556835248,1,,153,100
12,120,920,0.01803756387644344,1,,154,100
13,130,930,0.014588848801513845,1,,154,100
14,140,940,0.03834359255527087,1,,155,100
15,150,950,0.26407554416422213,1,,155,100
16,160,960,0.1963460976089955,1,,154,100
17,170,970,0.12045071570997512,1,,155,100
18,180,980,0.8246091290122474,1,,155,100
19,190,990,0.6578013219809455,1,,157,100
20,200,1000,0.9268226372985896,1,,157,100
21,210,1010,0.9553625616259842,1,,157,100
22,220,1020,0.8681527935110451,1,,160,100
23,230,1030,0.994111486652794,1,,157,100
24,240,1040,0.9967806493417636,1,,153,100
25,250,1050,0.6106543341785932,1,,151,100
26,260,1060,0.9989474576886063,1,,148,100
27,270,1070,0.9985390339168518,1,,145,100
28,280,1080,0.9987871865660617,1,,145,100
29,290,1090,0.9367095064356494,1,,144,100
30,300,1100,0.99873261382554,1,,140,100
31,310,1110,0.998710378711305,1,,138,100
32,320,1120,0.9989562045375744,1,,135,100
33,330,1130,0.9904071513990768,1,,133,100
34,340,1140,0.9977247088460758,1,,132,100
35,350,1150,0.9865244178450773,1,,130,100
36,360,1160,0.9991669545624887,1,,127,100
37,370,1170,0.999557460600322,1,,126,100
38,380,1180,0.9950839116245401,1,,125,100
39,390,1190,0.9854825148085371,1,,122,100
40,400,1200,0.9993541700902615,1,,119,100
41,410,1210,0.6406718308048565,1,,117,100
42,420,1220,0.9928899684817248,1,,116,100
43,430,1230,0.9971977522902989,1,,115,100
44,440,1240,0.9993705740935594,1,,111,100
45,450,1250,0.9982763428238,1,,109,100
46,460,1260,0.9935927475553172,1,,108,100
47,470,1270,0.9990816830836664,1,,105,100
48,480,1280,0.9970856540169126,1,,105,100
49,490,1290,0.9370303861064495,1,,103,100
50,500,1300,0.992110847064783,1,,101,100
