window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.595396315577347e-70,0,,204,100
1,10,810,6.752403611920947e-51,0,,204,100
2,20,820,1.185420247470936e-63,0,,204,100
3,30,830,1.5862152213987058e-42,0,,203,100
4,40,840,2.3990853211325838e-79,0,,201,100
5,50,850,7.737214232358502e-54,0,,201,100
6,60,860,3.1012605719744374e-56,0,,201,100
7,70,870,1.4631045108576138e-77,0,,203,100
8,80,880,1.1143605735767917e-67,0,,202,100
9,90,890,1.4329125967271637e-68,0,,202,100
10,100,900,1.241161913445992e-52,0,,202,100
11,110,910,2.5317196835895154e-88,0,,201,100
12,120,920,8.941195451582918e-102,0,,202,100
13,130,930,1.1639180799345168e-188,0,,203,100
14,140,940,3.311266473214531e-163,0,,201,100
15,150,950,2.7512664428235334e-161,0,,201,100
16,160,960,5.544184657946749e-150,0,,200,100
17,170,970,1.7849000379399852e-156,0,,200,100
18,180,980,7.730044270158021e-131,0,,200,100
19,190,990,9.104189631783827e-112,0,,201,100
20,200,1000,2.989458952331441e-98,0,,202,100
21,210,1010,1.9494350567301228e-82,0,,201,100
22,220,1020,4.36059791592242e-124,0,,201,100
23,230,1030,1.3842199450255317e-124,0,,201,100
24,240,1040,1.2520288047616715e-109,0,,203,100
25,250,1050,1.545032081198823e-107,0,,202,100
26,260,1060,2.9489889172240747e-245,0,,201,100
27,270,1070,1.1577309010539306e-193,0,,199,100
28,280,1080,2.366593653836294e-157,0,,199,100
29,290,1090,1.7232059477650183e-201,0,,200,100
30,300,1100,4.373788187094722e-165,0,,199,100
31,310,1110,5.532796154676576e-171,0,,199,100
32,320,1120,2.8737405327023633e-169,0,,199,100
33,330,1130,1.6362258479958006e-167,0,,202,100
34,340,1140,3.673150440239305e-262,0,,198,100
35,350,1150,8.303637539699354e-247,0,,201,100
36,360,1160,4.834175247008146e-178,0,,200,100
37,370,1170,2.0289866167287493e-162,0,,200,100
38,380,1180,1.3943097699317747e-172,0,,198,100
39,390,1190,1.7020130457866736e-168,0,,199,100
40,400,1200,2.071274218753014e-227,0,,199,100
41,410,1210,7.179564828501717e-200,0,,199,100
42,420,1220,3.319902020629049e-163,0,,199,100
