window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.131454297812649e-95,0,,204,100
1,10,810,2.2617297489498164e-59,0,,204,100
2,20,820,3.62248378787503e-62,0,,204,100
3,30,830,9.124034022405655e-63,0,,203,100
4,40,840,3.49954779265355e-64,0,,201,100
5,50,850,1.506612034159439e-61,0,,201,100
6,60,860,1.3337498306326896e-76,0,,201,100
7,70,870,7.885473832489409e-60,0,,203,100
8,80,880,3.3306201994730494e-41,0,,202,100
9,90,890,6.170910877008541e-48,0,,202,100
10,100,900,3.0211615322076916e-53,0,,202,100
11,110,910,5.057222607141578e-82,0,,201,100
12,120,920,3.5210073582229943e-99,0,,202,100
13,130,930,4.440371117098261e-93,0,,203,100
14,140,940,2.6697948501672347e-168,0,,201,100
15,150,950,6.794050538876237e-162,0,,201,100
16,160,960,1.1659461720473925e-94,0,,200,100
17,170,970,1.1006432078277565e-118,0,,200,100
18,180,980,4.585063868443443e-63,0,,200,100
19,190,990,4.238272012666622e-64,0,,201,100
20,200,1000,2.140622720073903e-49,0,,202,100
21,210,1010,1.2805674827223012e-32,0,,201,100
22,220,1020,1.7872022820333673e-39,0,,201,100
23,230,1030,5.160748022060137e-40,0,,201,100
24,240,1040,2.1742990247008855e-53,0,,203,100
25,250,1050,4.1980769183808555e-69,0,,202,100
26,260,1060,1.8991063141033521e-88,0,,201,100
27,270,1070,4.689993926416617e-106,0,,199,100
28,280,1080,2.273512133240282e-81,0,,199,100
29,290,1090,1.8958011086572526e-124,0,,200,100
30,300,1100,3.359302130517845e-115,0,,199,100
31,310,1110,1.2068101386989866e-74,0,,199,100
32,320,1120,8.294677177599067e-88,0,,199,100
33,330,1130,1.7352591592162134e-74,0,,202,100
34,340,1140,1.0587691862573756e-84,0,,198,100
35,350,1150,5.591555372586809e-101,0,,201,100
36,360,1160,1.1157566652043827e-99,0,,200,100
37,370,1170,2.5074446032790026e-92,0,,200,100
38,380,1180,4.98763611350082e-69,0,,198,100
39,390,1190,5.271400915426649e-51,0,,199,100
40,400,1200,1.7767667085494203e-94,0,,199,100
41,410,1210,2.029189466418849e-95,0,,199,100
42,420,1220,2.8224240510137216e-86,0,,199,100
43,430,1230,2.2844614728367155e-83,0,,199,100
44,440,1240,5.524562497194978e-66,0,,200,100
45,450,1250,1.0977913174377959e-67,0,,200,100
46,460,1260,8.446980605028279e-69,0,,200,100
47,470,1270,4.301684639044661e-86,0,,201,100
48,480,1280,1.1084529205055733e-92,0,,201,100
49,490,1290,3.041170382929845e-109,0,,200,100
50,500,1300,1.4562345174185415e-67,0,,199,100
