window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.20189184850301e-08,0,,204,100
1,10,810,4.929614658286603e-62,0,,204,100
2,20,820,1.5253157626466553e-58,0,,204,100
3,30,830,0.013932395814424788,1,,203,100
4,40,840,3.966810163987802e-67,0,,201,100
5,50,850,2.9524639857995925e-15,0,,201,100
6,60,860,1.9948106992619354e-55,0,,201,100
7,70,870,2.0285999713742404e-10,0,,203,100
8,80,880,3.5074403968321636e-31,0,,202,100
9,90,890,1.9285317827645516e-24,0,,202,100
10,100,900,3.2815146799612937e-82,0,,202,100
11,110,910,2.2475984688536947e-77,0,,201,100
12,120,920,7.0617638287303695e-12,0,,202,100
13,130,930,5.733821063023128e-15,0,,203,100
14,140,940,2.9512301272251427e-17,0,,201,100
15,150,950,1.5223751960683151e-28,0,,201,100
16,160,960,3.0198105655967736e-51,0,,200,100
17,170,970,2.7111033188282324e-06,0,,200,100
18,180,980,1.3886538620278944e-48,0,,200,100
19,190,990,3.7090562161406677e-10,0,,201,100
20,200,1000,1.9367393569964408e-25,0,,202,100
21,210,1010,2.6535009484073677e-61,0,,201,100
22,220,1020,1.4725039559254428e-07,0,,201,100
23,230,1030,4.5040128173059463e-63,0,,201,100
24,240,1040,1.960064576611724e-07,0,,203,100
25,250,1050,5.1748059473696074e-71,0,,202,100
26,260,1060,5.30871274508672e-111,0,,201,100
27,270,1070,4.253388146216284e-70,0,,199,100
28,280,1080,2.3150564609188558e-50,0,,199,100
29,290,1090,1.7138592379791654e-74,0,,200,100
30,300,1100,8.634685737675954e-48,0,,199,100
31,310,1110,1.5196922320450253e-37,0,,199,100
32,320,1120,1.958943565664548e-38,0,,199,100
33,330,1130,1.4986208401920657e-39,0,,202,100
34,340,1140,4.520693318576646e-44,0,,198,100
35,350,1150,6.954944214055198e-54,0,,201,100
36,360,1160,4.1067309623265723e-23,0,,200,100
37,370,1170,3.890676661310832e-12,0,,200,100
38,380,1180,2.3855354507969555e-07,0,,198,100
39,390,1190,1.3623764681617107e-41,0,,199,100
40,400,1200,4.147811766272656e-90,0,,199,100
41,410,1210,4.128770338605376e-11,0,,199,100
42,420,1220,5.708291381542098e-28,0,,199,100
43,430,1230,4.1214395497262353e-42,0,,199,100
44,440,1240,4.4546172065957155e-23,0,,200,100
45,450,1250,1.4618617358157283e-18,0,,200,100
46,460,1260,1.251401196289828e-05,0,,200,100
47,470,1270,5.0996425038484486e-17,0,,201,100
48,480,1280,4.0769432804249196e-94,0,,201,100
49,490,1290,3.9421356439067536e-06,0,,200,100
50,500,1300,5.7986186694466125e-12,0,,199,100
51,510,1310,2.7761317550088334e-06,0,,199,100
52,520,1320,2.0407643319258293e-121,0,,201,100
53,530,1330,3.3384796327898704e-07,0,,200,100
54,540,1340,1.2231072282941363e-42,0,,202,100
55,550,1350,4.698119833825065e-92,0,,201,100
56,560,1360,1.8306052392416778e-16,0,,199,100
57,570,1370,0.001169724722980761,1,,199,100
58,580,1380,7.81148675864817e-111,0,,200,100
59,590,1390,3.707849860619479e-19,0,,201,100
60,600,1400,2.0430488228155785e-118,0,,200,100
61,610,1410,6.013045059945809e-92,0,,200,100
62,620,1420,1.5848511339777834e-23,0,,200,100
63,630,1430,1.9297152430477007e-151,0,,197,100
64,640,1440,1.3953798137623378e-100,0,,195,100
65,650,1450,4.454003069692148e-256,0,,197,100
66,660,1460,1.4449544281947576e-112,0,,197,100
67,670,1470,5.933983015220155e-19,0,,197,100
68,680,1480,1.3812782822099589e-140,0,,197,100
69,690,1490,6.193618263872386e-143,0,,199,100
70,700,1500,8.857314685382542e-49,0,,198,100
71,710,1510,1.6092161470042396e-09,0,,194,100
72,720,1520,6.595984809773495e-88,0,,195,100
73,730,1530,1.3624927161774951e-74,0,,194,100
74,740,1540,3.1575675708289506e-177,0,,194,100
75,750,1550,1.7715088964192545e-72,0,,195,100
76,760,1560,7.24807373952211e-274,0,,197,100
77,770,1570,1.726435532000913e-89,0,,192,100
78,780,1580,2.0742814635708947e-06,0,,193,100
79,790,1590,2.8569356658138285e-17,0,,190,100
80,800,1600,5.315792174672196e-148,0,,189,100
81,810,1610,1.5985753862308908e-102,0,,189,100
82,820,1620,1.5643965726860558e-128,0,,189,100
83,830,1630,2.3727024562472088e-20,0,,191,100
84,840,1640,3.699972875194197e-29,0,,188,100
85,850,1650,4.108351675427442e-126,0,,188,100
86,860,1660,9.675252971281901e-28,0,,188,100
87,870,1670,1.3390826508920664e-121,0,,187,100
88,880,1680,1.8912698734705786e-30,0,,185,100
89,890,1690,3.048126529854707e-114,0,,187,100
90,900,1700,7.260494942730959e-15,0,,187,100
91,910,1710,8.246063103199153e-21,0,,187,100
92,920,1720,7.48341488652461e-171,0,,187,100
93,930,1730,5.080867180292201e-16,0,,188,100
94,940,1740,1.9478067261089686e-79,0,,190,100
95,950,1750,2.148619687477087e-12,0,,189,100
96,960,1760,2.9182332506729164e-134,0,,190,100
97,970,1770,4.070195579061992e-145,0,,192,100
98,980,1780,2.095551711169782e-25,0,,191,100
99,990,1790,8.937774520066923e-53,0,,190,100
