window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.4063957675209062e-82,0,,208,100
1,10,810,1.4950538181543556e-82,0,,203,100
2,20,820,2.367678108868876e-78,0,,202,100
3,30,830,8.522753702517052e-63,0,,201,100
4,40,840,2.67516713867322e-111,0,,201,100
5,50,850,3.364616300550327e-111,0,,198,100
6,60,860,1.2066698622493141e-121,0,,202,100
7,70,870,1.2123164383382393e-123,0,,203,100
8,80,880,2.0728992552014586e-106,0,,202,100
9,90,890,5.571047420103071e-123,0,,202,100
10,100,900,4.0207342745545444e-116,0,,202,100
11,110,910,2.3146917571497102e-112,0,,200,100
12,120,920,6.054474649414525e-192,0,,197,100
13,130,930,1.9635820072002593e-152,0,,199,100
14,140,940,1.9202863419067032e-121,0,,198,100
15,150,950,1.6732346324628116e-105,0,,197,100
16,160,960,2.376842903714992e-87,0,,196,100
17,170,970,5.999171882643909e-223,0,,195,100
18,180,980,2.9544531677625436e-228,0,,194,100
19,190,990,6.307917527673085e-144,0,,195,100
20,200,1000,5.576885748205784e-166,0,,193,100
21,210,1010,1.2090335380129132e-106,0,,192,100
22,220,1020,7.641555208751745e-124,0,,192,100
23,230,1030,5.852131657642797e-170,0,,191,100
24,240,1040,2.349905400640746e-131,0,,192,100
25,250,1050,2.05335099967263e-134,0,,191,100
26,260,1060,2.3919436106108426e-175,0,,192,100
27,270,1070,3.977324860837853e-208,0,,192,100
28,280,1080,3.366081650336356e-188,0,,193,100
29,290,1090,5.440199123924729e-205,0,,192,100
30,300,1100,4.315576240605959e-213,0,,196,100
31,310,1110,5.465527209162602e-161,0,,196,100
32,320,1120,7.334894516338843e-159,0,,196,100
33,330,1130,1.618051633614384e-170,0,,195,100
34,340,1140,5.479909724919206e-140,0,,194,100
35,350,1150,2.4356530555731593e-168,0,,196,100
36,360,1160,4.951767231605465e-106,0,,195,100
37,370,1170,1.9816347525950927e-75,0,,193,100
38,380,1180,6.214900631525579e-103,0,,193,100
39,390,1190,4.596006049750042e-86,0,,196,100
40,400,1200,1.7146097034984124e-118,0,,195,100
41,410,1210,1.6494092084215464e-105,0,,195,100
42,420,1220,2.7892457252638885e-118,0,,196,100
43,430,1230,1.5651507865278078e-126,0,,195,100
44,440,1240,3.7414252343992564e-157,0,,194,100
45,450,1250,2.9457388407769966e-144,0,,195,100
46,460,1260,6.128484523969987e-137,0,,196,100
47,470,1270,7.8124554786187325e-143,0,,195,100
48,480,1280,3.340070558490297e-142,0,,195,100
49,490,1290,8.078302886388168e-86,0,,193,100
50,500,1300,2.518294389192408e-86,0,,194,100
51,510,1310,2.3569105543819413e-100,0,,193,100
52,520,1320,1.4369202223044764e-201,0,,192,100
53,530,1330,1.0111790455707308e-199,0,,194,100
54,540,1340,2.0404358289860772e-182,0,,195,100
55,550,1350,7.42570798088771e-120,0,,194,100
56,560,1360,2.204088207053953e-131,0,,195,100
57,570,1370,7.675792720063535e-111,0,,197,100
58,580,1380,3.2765497475983374e-129,0,,199,100
59,590,1390,5.143585702023402e-111,0,,202,100
60,600,1400,4.854106194541376e-103,0,,202,100
61,610,1410,1.0455300909140226e-117,0,,203,100
62,620,1420,9.824416695911962e-115,0,,202,100
63,630,1430,2.8638571159152193e-119,0,,201,100
64,640,1440,3.898760966976608e-144,0,,198,100
65,650,1450,2.349103336084051e-135,0,,200,100
66,660,1460,6.124755348467359e-206,0,,201,100
67,670,1470,5.694813431987008e-178,0,,201,100
68,680,1480,3.980255670409182e-235,0,,201,100
69,690,1490,2.0648591493046007e-124,0,,198,100
70,700,1500,1.6222219395273382e-148,0,,197,100
71,710,1510,9.302975548869809e-162,0,,195,100
72,720,1520,1.6314326313227072e-156,0,,196,100
73,730,1530,8.413748515926763e-95,0,,195,100
74,740,1540,8.671439320923287e-112,0,,193,100
75,750,1550,1.3812472805048055e-103,0,,192,100
76,760,1560,3.3903288419182764e-110,0,,190,100
77,770,1570,3.370500744837126e-129,0,,189,100
78,780,1580,3.5516890922098474e-119,0,,190,100
79,790,1590,2.0839776083683763e-45,0,,188,100
80,800,1600,7.838148720772497e-47,0,,188,100
81,810,1610,1.2561988373787288e-50,0,,188,100
82,820,1620,2.826013651240808e-42,0,,188,100
83,830,1630,1.1627281257706403e-51,0,,186,100
84,840,1640,1.5888824809338676e-51,0,,188,100
85,850,1650,7.604750531086058e-63,0,,188,100
86,860,1660,5.114046562717818e-94,0,,186,100
87,870,1670,1.1877640991924875e-94,0,,188,100
88,880,1680,2.7239016885871007e-101,0,,188,100
89,890,1690,1.4913588970001022e-92,0,,189,100
90,900,1700,1.872492263085951e-67,0,,188,100
91,910,1710,9.728935699264908e-96,0,,188,100
92,920,1720,7.259655790549976e-69,0,,188,100
93,930,1730,1.2999091997899546e-82,0,,187,100
94,940,1740,5.594200606979752e-95,0,,186,100
95,950,1750,3.249760346419367e-104,0,,185,100
96,960,1760,8.01748813073221e-95,0,,187,100
97,970,1770,2.190186236697591e-90,0,,188,100
98,980,1780,1.4825272614366779e-103,0,,186,100
99,990,1790,1.4357606431141506e-91,0,,185,100
100,1000,1800,2.8700901576110187e-94,0,,183,100
101,1010,1810,4.028193436640205e-101,0,,184,100
102,1020,1820,2.699873222963215e-92,0,,185,100
103,1030,1830,2.3316918841707024e-135,0,,186,100
104,1040,1840,2.2635551788220264e-119,0,,187,100
105,1050,1850,1.3394976490308495e-159,0,,186,100
106,1060,1860,1.9779633193443515e-124,0,,186,100
107,1070,1870,1.965739571459086e-86,0,,184,100
108,1080,1880,1.1331658882447609e-86,0,,183,100
109,1090,1890,3.623076689703284e-94,0,,183,100
110,1100,1900,5.78268091861313e-92,0,,185,100
111,1110,1910,9.032184934341955e-79,0,,184,100
112,1120,1920,5.1381495312506054e-142,0,,180,100
113,1130,1930,1.947576477463609e-193,0,,180,100
114,1140,1940,2.4059543792811334e-181,0,,181,100
115,1150,1950,1.6607327335723087e-160,0,,181,100
116,1160,1960,1.1913186202475068e-155,0,,183,100
117,1170,1970,7.093585459877449e-111,0,,183,100
118,1180,1980,5.681896905116622e-137,0,,183,100
119,1190,1990,2.6395231080541213e-136,0,,183,100
120,1200,2000,4.715613497946244e-113,0,,182,100
121,1210,2010,1.2192388467897078e-89,0,,183,100
122,1220,2020,7.156153566284756e-96,0,,183,100
123,1230,2030,7.993295524494904e-91,0,,182,100
124,1240,2040,1.5292055066443696e-93,0,,181,100
125,1250,2050,5.168960785314157e-87,0,,180,100
126,1260,2060,1.759780812857429e-80,0,,180,100
127,1270,2070,5.004406755269961e-90,0,,179,100
128,1280,2080,2.7083120754699136e-127,0,,181,100
129,1290,2090,3.824280398639435e-119,0,,182,100
130,1300,2100,3.048182373210523e-122,0,,180,100
131,1310,2110,8.154547086748045e-126,0,,183,100
132,1320,2120,2.1639875318507367e-137,0,,184,100
133,1330,2130,2.3732852786400543e-128,0,,183,100
134,1340,2140,4.909998611347603e-196,0,,184,100
135,1350,2150,2.1724927181626794e-229,0,,183,100
136,1360,2160,2.664824765016342e-246,0,,183,100
137,1370,2170,2.7821696606710083e-186,0,,180,100
138,1380,2180,2.905294270746665e-232,0,,178,100
139,1390,2190,1.5491403153820736e-147,0,,179,100
140,1400,2200,2.0414940104265984e-181,0,,179,100
141,1410,2210,7.27047770957863e-165,0,,180,100
142,1420,2220,4.972824768073175e-157,0,,180,100
143,1430,2230,1.0530415458543107e-185,0,,181,100
144,1440,2240,7.965683531012815e-156,0,,182,100
145,1450,2250,8.054282558655714e-170,0,,179,100
146,1460,2260,9.516902259974212e-166,0,,177,100
147,1470,2270,2.492721187851369e-162,0,,177,100
148,1480,2280,3.661187097138309e-209,0,,177,100
149,1490,2290,7.209793506308606e-198,0,,177,100
150,1500,2300,2.4843781198151545e-143,0,,176,100
151,1510,2310,1.4056590046437343e-146,0,,176,100
152,1520,2320,3.319915362121544e-116,0,,176,100
153,1530,2330,2.4790029735394308e-123,0,,176,100
154,1540,2340,5.401952517702382e-118,0,,177,100
155,1550,2350,2.014691533083308e-170,0,,176,100
156,1560,2360,2.9468187267051635e-162,0,,175,100
157,1570,2370,1.0617300361058314e-141,0,,174,100
158,1580,2380,5.755749914072343e-161,0,,175,100
159,1590,2390,1.745914157257418e-175,0,,176,100
160,1600,2400,1.4988518501409445e-211,0,,177,100
161,1610,2410,7.220350168701014e-188,0,,177,100
162,1620,2420,2.8030663505506333e-165,0,,176,100
163,1630,2430,8.44527950400733e-166,0,,176,100
164,1640,2440,1.417526112609961e-196,0,,177,100
165,1650,2450,3.26413458648595e-207,0,,175,100
166,1660,2460,2.0222167999653705e-197,0,,176,100
167,1670,2470,1.5363796126198991e-176,0,,177,100
168,1680,2480,7.0053908255520304e-186,0,,177,100
169,1690,2490,1.2667007115943408e-158,0,,177,100
170,1700,2500,6.561570761654545e-128,0,,177,100
171,1710,2510,5.515629765266809e-94,0,,178,100
172,1720,2520,1.7869464408224282e-198,0,,176,100
173,1730,2530,1.9799821673212269e-168,0,,179,100
174,1740,2540,2.546393107903652e-149,0,,177,100
175,1750,2550,4.820403822904374e-141,0,,176,100
176,1760,2560,7.338232805038407e-128,0,,175,100
177,1770,2570,7.29941943481795e-211,0,,176,100
178,1780,2580,6.406930037304769e-200,0,,174,100
179,1790,2590,9.402345864043694e-220,0,,176,100
180,1800,2600,1.5188160275843065e-246,0,,177,100
181,1810,2610,6.530015978216811e-247,0,,177,100
182,1820,2620,1.626284966937104e-204,0,,178,100
183,1830,2630,1.6234743121624655e-145,0,,176,100
184,1840,2640,1.369003791218448e-146,0,,176,100
185,1850,2650,2.664524560084885e-154,0,,176,100
186,1860,2660,1.9532792585771341e-134,0,,175,100
187,1870,2670,1.3161912709529187e-115,0,,177,100
188,1880,2680,4.019051505571077e-125,0,,176,100
189,1890,2690,1.482543370029091e-140,0,,176,100
190,1900,2700,2.8682204809014986e-160,0,,174,100
191,1910,2710,9.028116231549667e-171,0,,176,100
192,1920,2720,8.85438694093645e-153,0,,175,100
193,1930,2730,7.147726156624348e-137,0,,175,100
194,1940,2740,5.595006331087111e-181,0,,177,100
195,1950,2750,1.8877142861738036e-179,0,,176,100
196,1960,2760,8.402862206666957e-154,0,,176,100
197,1970,2770,6.030587025788859e-214,0,,177,100
198,1980,2780,3.53777232180387e-170,0,,173,100
199,1990,2790,3.9518487667285095e-168,0,,171,100
200,2000,2800,8.773338363347165e-248,0,,171,100
201,2010,2810,6.179202619187964e-235,0,,171,100
202,2020,2820,1.5990191663540567e-143,0,,172,100
203,2030,2830,1.4921981718581433e-147,0,,174,100
204,2040,2840,5.352444886461852e-169,0,,176,100
205,2050,2850,4.670596479402713e-170,0,,174,100
206,2060,2860,3.8135420232961955e-131,0,,174,100
207,2070,2870,2.316315052118842e-181,0,,174,100
208,2080,2880,2.414273482099047e-262,0,,173,100
209,2090,2890,2.9070223550622674e-232,0,,172,100
210,2100,2900,3.108771472232444e-213,0,,172,100
211,2110,2910,1.6234408557996238e-204,0,,171,100
212,2120,2920,1.4859472693022796e-260,0,,171,100
