window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.398459552518912e-54,0,,208,100
1,10,810,1.4267514174806443e-80,0,,203,100
2,20,820,3.3075710188749655e-111,0,,202,100
3,30,830,9.428066920374361e-154,0,,201,100
4,40,840,1.2835099368600585e-118,0,,201,100
5,50,850,3.032467385825425e-143,0,,198,100
6,60,860,1.6734582960865347e-167,0,,202,100
7,70,870,2.5809446012318326e-164,0,,203,100
8,80,880,8.377498550335437e-136,0,,202,100
9,90,890,5.361382732824997e-162,0,,202,100
10,100,900,7.393411022760437e-220,0,,202,100
11,110,910,1.7387807945556584e-199,0,,200,100
12,120,920,1.9501470058133047e-152,0,,197,100
13,130,930,4.730568266091771e-106,0,,199,100
14,140,940,3.8203268048269624e-132,0,,198,100
15,150,950,8.708920615807132e-176,0,,197,100
16,160,960,2.34587477095276e-77,0,,196,100
17,170,970,4.031669741728463e-141,0,,195,100
18,180,980,1.0072660074043092e-166,0,,194,100
19,190,990,8.265171316398174e-195,0,,195,100
20,200,1000,2.6130132648349748e-166,0,,193,100
21,210,1010,7.715980328391893e-193,0,,192,100
22,220,1020,1.5987784716089935e-154,0,,192,100
23,230,1030,3.3113703836927084e-157,0,,191,100
24,240,1040,1.2491085874879607e-174,0,,192,100
25,250,1050,1.9294426981845622e-125,0,,191,100
26,260,1060,2.61465165281203e-218,0,,192,100
27,270,1070,9.947725722206247e-174,0,,192,100
28,280,1080,8.053412549216871e-152,0,,193,100
29,290,1090,1.5211855574665563e-158,0,,192,100
30,300,1100,4.300239383576174e-171,0,,196,100
31,310,1110,9.312812765919001e-218,0,,196,100
32,320,1120,3.913415069385359e-82,0,,196,100
33,330,1130,5.250424643732702e-118,0,,195,100
34,340,1140,5.1234607340992777e-98,0,,194,100
35,350,1150,2.1211322911012344e-98,0,,196,100
36,360,1160,2.6167505310255613e-105,0,,195,100
37,370,1170,8.88722395528993e-118,0,,193,100
38,380,1180,1.4888568949378503e-102,0,,193,100
39,390,1190,1.3868419803760475e-105,0,,196,100
40,400,1200,2.080956950540111e-124,0,,195,100
41,410,1210,1.4816318571990803e-116,0,,195,100
42,420,1220,4.954608690482076e-137,0,,196,100
43,430,1230,1.6089710117592075e-148,0,,195,100
44,440,1240,1.522907163098783e-164,0,,194,100
45,450,1250,4.036883653540722e-123,0,,195,100
46,460,1260,6.1292255141308875e-176,0,,196,100
47,470,1270,7.016417003507857e-118,0,,195,100
48,480,1280,3.352192870443567e-128,0,,195,100
49,490,1290,8.480480198176792e-134,0,,193,100
50,500,1300,5.564240658359963e-182,0,,194,100
51,510,1310,4.0937970886028084e-119,0,,193,100
52,520,1320,5.754382989416905e-70,0,,192,100
53,530,1330,6.856310889903573e-82,0,,194,100
54,540,1340,4.3050832260260986e-83,0,,195,100
55,550,1350,2.310121941593592e-100,0,,194,100
56,560,1360,8.690883688073933e-72,0,,195,100
57,570,1370,2.333899615860602e-77,0,,197,100
58,580,1380,7.575608779076584e-95,0,,199,100
59,590,1390,6.3851774155337245e-87,0,,202,100
60,600,1400,2.09314848565378e-94,0,,202,100
61,610,1410,5.771267840368504e-100,0,,203,100
62,620,1420,6.132001483684622e-85,0,,202,100
63,630,1430,6.70534912533574e-69,0,,201,100
64,640,1440,7.105298509220553e-186,0,,198,100
65,650,1450,5.451905235082549e-169,0,,200,100
66,660,1460,8.775388505505854e-192,0,,201,100
67,670,1470,9.823438655178614e-132,0,,201,100
68,680,1480,2.516052248208511e-99,0,,201,100
69,690,1490,4.123623503001274e-156,0,,198,100
70,700,1500,8.496221308982208e-155,0,,197,100
71,710,1510,8.057520766296023e-124,0,,195,100
72,720,1520,3.4546684786723456e-159,0,,196,100
73,730,1530,2.796624486905388e-94,0,,195,100
74,740,1540,1.2164211098367744e-86,0,,193,100
75,750,1550,1.533042815725337e-88,0,,192,100
76,760,1560,1.512692904607056e-87,0,,190,100
77,770,1570,2.1710288823327102e-151,0,,189,100
78,780,1580,1.3899757147647709e-104,0,,190,100
79,790,1590,2.0153271731967797e-69,0,,188,100
80,800,1600,6.459831181077256e-145,0,,188,100
81,810,1610,2.0598040752410932e-102,0,,188,100
82,820,1620,2.796793750145601e-107,0,,188,100
83,830,1630,3.4826647833116025e-85,0,,186,100
84,840,1640,1.9494287307173825e-82,0,,188,100
85,850,1650,2.941556417293034e-76,0,,188,100
86,860,1660,2.6228733770942804e-77,0,,186,100
87,870,1670,2.8744209944235145e-82,0,,188,100
88,880,1680,1.5373624025466393e-85,0,,188,100
89,890,1690,8.309434229083826e-88,0,,189,100
90,900,1700,2.8921755407421656e-63,0,,188,100
91,910,1710,1.0385126988471439e-89,0,,188,100
92,920,1720,5.3204809544682414e-76,0,,188,100
93,930,1730,2.732687202926017e-87,0,,187,100
94,940,1740,4.872069590703109e-98,0,,186,100
95,950,1750,2.2073892333460463e-83,0,,185,100
96,960,1760,9.374067370354435e-85,0,,187,100
97,970,1770,5.958836844534813e-126,0,,188,100
