window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.00020290395348465545,0,,164,100
1,10,810,0.0009016530771452589,0,,164,100
2,20,820,0.8204048225135455,1,,160,100
3,30,830,0.000863554537828387,0,,154,100
4,40,840,0.00040223675497445886,0,,155,100
5,50,850,0.015340583479339398,1,,158,100
6,60,860,0.4295609293401681,1,,157,100
7,70,870,0.6508294265470753,1,,159,100
8,80,880,0.6745097604393234,1,,158,100
9,90,890,0.8893595444658707,1,,157,100
10,100,900,0.2141009548913413,1,,155,100
11,110,910,0.023080532398514795,1,,156,100
12,120,920,2.892449315107318e-07,0,,156,100
13,130,930,4.755459539747105e-08,0,,155,100
14,140,940,2.8078122704484432e-05,0,,157,100
15,150,950,1.9418675184700246e-09,0,,158,100
16,160,960,2.2567865470032977e-06,0,,158,100
17,170,970,3.6361299422904647e-06,0,,159,100
18,180,980,0.0732295691742192,1,,161,100
19,190,990,0.14644297144361898,1,,161,100
20,200,1000,1.521590261461695e-06,0,,162,100
21,210,1010,0.11020519449712511,1,,161,100
22,220,1020,3.757446419138449e-05,0,,162,100
23,230,1030,0.01063457787389002,1,,161,100
24,240,1040,1.2144180868569295e-07,0,,160,100
25,250,1050,7.553608150291871e-10,0,,160,100
26,260,1060,0.00035780139526255173,0,,158,100
27,270,1070,0.008224635855344156,1,,158,100
28,280,1080,0.025131799163046083,1,,159,100
29,290,1090,1.776046622745879e-05,0,,160,100
30,300,1100,0.004376240272120682,1,,159,100
31,310,1110,0.007525738547189759,1,,160,100
32,320,1120,0.44263757952839244,1,,160,100
33,330,1130,0.20501822765042502,1,,160,100
34,340,1140,0.9564501748306163,1,,159,100
35,350,1150,0.007929436932246294,1,,159,100
36,360,1160,0.002279398692952045,1,,158,100
37,370,1170,0.09237101469995468,1,,159,100
38,380,1180,0.12248730022733545,1,,159,100
39,390,1190,0.26781780905457453,1,,159,100
40,400,1200,0.013684133029481644,1,,157,100
41,410,1210,0.09308534638866231,1,,157,100
42,420,1220,0.08945542348251229,1,,156,100
43,430,1230,0.7161820409924546,1,,157,100
44,440,1240,0.12302787409663989,1,,157,100
45,450,1250,0.16333558652922364,1,,159,100
46,460,1260,0.1176807605995275,1,,158,100
47,470,1270,0.11234113040366138,1,,158,100
48,480,1280,0.002546207910580856,1,,157,100
49,490,1290,0.000563249798697313,0,,156,100
50,500,1300,8.017960204363935e-05,0,,156,100
51,510,1310,0.18059765472101758,1,,153,100
52,520,1320,0.15923287445680667,1,,156,100
53,530,1330,0.16347951338652822,1,,155,100
54,540,1340,0.07870361409947216,1,,154,100
55,550,1350,0.08079540068080103,1,,152,100
56,560,1360,0.022652388210842818,1,,151,100
57,570,1370,0.0039348339719916465,1,,153,100
58,580,1380,0.0010470468830879463,1,,152,100
59,590,1390,1.4639253006801075e-08,0,,154,100
60,600,1400,0.03370907496430426,1,,153,100
61,610,1410,0.8280346474387346,1,,154,100
62,620,1420,0.03883614570077709,1,,153,100
63,630,1430,0.06681081416749844,1,,153,100
64,640,1440,0.8382096480693373,1,,153,100
65,650,1450,0.06062160528567996,1,,153,100
66,660,1460,2.3386707733540907e-05,0,,153,100
67,670,1470,0.8144962436067703,1,,153,100
68,680,1480,0.0018102217842425141,1,,154,100
69,690,1490,3.7660375268615646e-08,0,,154,100
70,700,1500,9.746676539585911e-11,0,,152,100
71,710,1510,0.0001368257678607765,0,,155,100
72,720,1520,0.8843019818044926,1,,155,100
73,730,1530,0.870610257579326,1,,155,100
74,740,1540,0.8966870331552315,1,,154,100
75,750,1550,0.9258977211630832,1,,156,100
76,760,1560,0.931695725755004,1,,156,100
77,770,1570,0.9262389372675226,1,,156,100
78,780,1580,0.9211580431675662,1,,156,100
79,790,1590,0.1412037429519554,1,,157,100
80,800,1600,0.7025827336119469,1,,155,100
81,810,1610,0.020097781410053576,1,,157,100
82,820,1620,1.3581085736184331e-08,0,,159,100
83,830,1630,2.7967473164500315e-06,0,,158,100
84,840,1640,3.4201437881270375e-24,0,,159,100
85,850,1650,2.5392361619220222e-15,0,,161,100
86,860,1660,0.003077607319558005,1,,160,100
87,870,1670,6.96983887240249e-19,0,,160,100
88,880,1680,0.016106174316176024,1,,162,100
89,890,1690,0.007801626101045767,1,,163,100
90,900,1700,0.0040123722097970705,1,,163,100
91,910,1710,3.0997783307434596e-08,0,,163,100
92,920,1720,1.1387727401012384e-05,0,,161,100
93,930,1730,0.0029748973409424524,1,,159,100
94,940,1740,7.071164314655955e-05,0,,160,100
95,950,1750,5.3725704114934155e-05,0,,160,100
96,960,1760,0.00027493069007902533,0,,159,100
97,970,1770,8.092438679397886e-12,0,,158,100
98,980,1780,1.3909209137852897e-20,0,,159,100
99,990,1790,1.3949769076752004e-26,0,,159,100
100,1000,1800,1.5873047525713542e-44,0,,160,100
101,1010,1810,6.753759900363873e-25,0,,161,100
102,1020,1820,1.0663052980548346e-16,0,,161,100
103,1030,1830,2.943542659446649e-11,0,,159,100
104,1040,1840,0.005675893884675696,1,,160,100
105,1050,1850,6.188229175262648e-15,0,,162,100
106,1060,1860,1.92729996110763e-19,0,,161,100
107,1070,1870,0.008226699957507513,1,,161,100
108,1080,1880,0.018976896867542697,1,,160,100
109,1090,1890,0.02933196995841271,1,,160,100
110,1100,1900,0.1954635423898817,1,,159,100
111,1110,1910,0.004550810384477306,1,,160,100
112,1120,1920,0.5790830853129679,1,,159,100
113,1130,1930,0.0032327780942006355,1,,159,100
114,1140,1940,0.0018051088060638527,1,,161,100
115,1150,1950,0.07060028088027749,1,,161,100
116,1160,1960,0.13084827678956382,1,,159,100
117,1170,1970,9.448620657669807e-18,0,,159,100
