window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.49524456538604916,1,,164,100
1,10,810,4.02668434995822e-09,0,,164,100
2,20,820,0.03470310471574858,1,,160,100
3,30,830,0.5913446978592685,1,,154,100
4,40,840,0.059441504398940144,1,,155,100
5,50,850,0.7958744530896281,1,,158,100
6,60,860,1.696933667242069e-22,0,,157,100
7,70,870,0.4737196678766188,1,,159,100
8,80,880,0.0005164452486428236,0,,158,100
9,90,890,0.08665337014477406,1,,157,100
10,100,900,0.0031517940535686845,1,,155,100
11,110,910,0.8260680690401113,1,,156,100
12,120,920,0.8140827454051311,1,,156,100
13,130,930,0.529217213834012,1,,155,100
14,140,940,0.7653345525167116,1,,157,100
15,150,950,0.8189768868747199,1,,158,100
16,160,960,0.8242781798224114,1,,158,100
17,170,970,0.9108277800302165,1,,159,100
18,180,980,0.6776022637784253,1,,161,100
19,190,990,0.8396334684758837,1,,161,100
20,200,1000,0.8184616369455365,1,,162,100
21,210,1010,0.8480663900560341,1,,161,100
22,220,1020,0.6157027257173123,1,,162,100
23,230,1030,1.8100239528432346e-05,0,,161,100
24,240,1040,0.15171510458771986,1,,160,100
25,250,1050,1.3889696684958934e-06,0,,160,100
26,260,1060,0.8591631636113573,1,,158,100
27,270,1070,0.001104187836291443,1,,158,100
28,280,1080,0.7155524588565804,1,,159,100
29,290,1090,0.014065420460494556,1,,160,100
30,300,1100,0.7933362846194344,1,,159,100
31,310,1110,0.003108570492949838,1,,160,100
32,320,1120,0.7023628881589628,1,,160,100
33,330,1130,2.9367581810093923e-05,0,,160,100
34,340,1140,0.5382564822443597,1,,159,100
35,350,1150,0.07578501387226756,1,,159,100
36,360,1160,0.18408235080895602,1,,158,100
37,370,1170,0.6055273494191703,1,,159,100
38,380,1180,0.0843935930555955,1,,159,100
39,390,1190,2.4805654572592984e-05,0,,159,100
40,400,1200,2.3827461403182666e-11,0,,157,100
41,410,1210,0.000313859238242949,0,,157,100
42,420,1220,0.6856625830991926,1,,156,100
43,430,1230,0.0061389494027740635,1,,157,100
44,440,1240,0.8347327860615238,1,,157,100
45,450,1250,0.39877992327965184,1,,159,100
46,460,1260,0.45275373449357365,1,,158,100
47,470,1270,0.0030361544602410316,1,,158,100
48,480,1280,3.4517907241789593e-07,0,,157,100
49,490,1290,0.08049144442854758,1,,156,100
50,500,1300,0.791210160271375,1,,156,100
51,510,1310,0.22110259076234584,1,,153,100
52,520,1320,0.023319943193391722,1,,156,100
53,530,1330,2.827943981265757e-05,0,,155,100
54,540,1340,0.021979812832285468,1,,154,100
55,550,1350,0.7231412988292002,1,,152,100
56,560,1360,0.6862402715829211,1,,151,100
57,570,1370,0.583863137066998,1,,153,100
58,580,1380,0.041063862911263384,1,,152,100
59,590,1390,0.02609464070003092,1,,154,100
60,600,1400,0.18461229599085893,1,,153,100
61,610,1410,0.7560802297560111,1,,154,100
62,620,1420,0.0035808126505112196,1,,153,100
