window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,8.410909811520533e-13,0,,164,100
1,10,810,0.0520652689406532,1,,164,100
2,20,820,3.517747494214551e-23,0,,160,100
3,30,830,9.028164199399793e-06,0,,154,100
4,40,840,5.3301152712494165e-06,0,,155,100
5,50,850,8.596043898926448e-08,0,,158,100
6,60,860,1.0353526648290107e-06,0,,157,100
7,70,870,3.649784937255032e-15,0,,159,100
8,80,880,0.47784665144144295,1,,158,100
9,90,890,0.03000092062662928,1,,157,100
10,100,900,0.6818250408407551,1,,155,100
11,110,910,0.7345727538621176,1,,156,100
12,120,920,0.8142578569641418,1,,156,100
13,130,930,0.03351751039445233,1,,155,100
14,140,940,0.5344124141474822,1,,157,100
15,150,950,0.6722786732559938,1,,158,100
16,160,960,0.7062882413536467,1,,158,100
17,170,970,0.8447963469677335,1,,159,100
18,180,980,0.7950272043139102,1,,161,100
19,190,990,0.9292460786925986,1,,161,100
20,200,1000,0.0037363802981645843,1,,162,100
21,210,1010,0.9759430432685164,1,,161,100
22,220,1020,0.7989648314321592,1,,162,100
23,230,1030,2.3397821807033306e-05,0,,161,100
24,240,1040,1.7916837794022971e-09,0,,160,100
25,250,1050,0.37628831887906333,1,,160,100
26,260,1060,0.5508501208281471,1,,158,100
27,270,1070,0.6044883891155491,1,,158,100
28,280,1080,0.001706754249766127,1,,159,100
29,290,1090,5.1144309192854694e-11,0,,160,100
30,300,1100,0.6915204828850885,1,,159,100
31,310,1110,0.6712510000203765,1,,160,100
32,320,1120,0.8090070441775654,1,,160,100
33,330,1130,4.837944295108385e-10,0,,160,100
34,340,1140,9.925196779757778e-09,0,,159,100
35,350,1150,0.0029531139796712775,1,,159,100
36,360,1160,0.003356866857628458,1,,158,100
37,370,1170,0.050565276755292876,1,,159,100
38,380,1180,0.007220803972974168,1,,159,100
39,390,1190,8.424845222192155e-11,0,,159,100
40,400,1200,0.0032125733944952085,1,,157,100
41,410,1210,0.7658177097683722,1,,157,100
42,420,1220,0.6012127039846981,1,,156,100
43,430,1230,0.7772682842851961,1,,157,100
44,440,1240,0.1222572168427618,1,,157,100
45,450,1250,0.1514749463290268,1,,159,100
46,460,1260,0.3960468651137674,1,,158,100
47,470,1270,0.00018631743949427965,0,,158,100
48,480,1280,0.8116882065613296,1,,157,100
49,490,1290,0.09717576391341538,1,,156,100
50,500,1300,0.6819367200722652,1,,156,100
51,510,1310,0.21445230971726584,1,,153,100
52,520,1320,0.005563449958173131,1,,156,100
53,530,1330,0.5261352500195063,1,,155,100
54,540,1340,0.008855472002696726,1,,154,100
55,550,1350,0.006182732677824835,1,,152,100
56,560,1360,0.7718250750582306,1,,151,100
57,570,1370,0.7614252382200398,1,,153,100
58,580,1380,0.0451172366493055,1,,152,100
59,590,1390,0.0036943506666780555,1,,154,100
60,600,1400,0.0031094519949570296,1,,153,100
61,610,1410,0.5093096336161032,1,,154,100
62,620,1420,0.12660969772921354,1,,153,100
63,630,1430,0.707758664033274,1,,153,100
64,640,1440,0.000537497998950912,0,,153,100
65,650,1450,2.405375085411024e-05,0,,153,100
66,660,1460,5.641535058639277e-05,0,,153,100
67,670,1470,1.3295838284897367e-09,0,,153,100
68,680,1480,9.755254432834558e-06,0,,154,100
69,690,1490,0.010598494115379976,1,,154,100
70,700,1500,0.000722264095098955,0,,152,100
71,710,1510,1.1178877246245377e-05,0,,155,100
72,720,1520,0.4479025776462652,1,,155,100
73,730,1530,0.6594289938562534,1,,155,100
74,740,1540,0.20934590597670788,1,,154,100
75,750,1550,0.20776074540803557,1,,156,100
76,760,1560,0.04272480605701223,1,,156,100
77,770,1570,0.000207235572983612,0,,156,100
78,780,1580,0.0038186467573736245,1,,156,100
79,790,1590,0.015159787060841291,1,,157,100
80,800,1600,0.0035923794742982462,1,,155,100
81,810,1610,0.016362455888186248,1,,157,100
82,820,1620,0.0004802154746339002,0,,159,100
83,830,1630,0.3109387533933145,1,,158,100
84,840,1640,3.0280171398608994e-06,0,,159,100
85,850,1650,5.564115548660926e-06,0,,161,100
86,860,1660,0.004419091256333517,1,,160,100
87,870,1670,0.047686977549211154,1,,160,100
88,880,1680,0.1519027739774392,1,,162,100
89,890,1690,0.20022572442894093,1,,163,100
90,900,1700,0.4415397581005497,1,,163,100
91,910,1710,0.00022675755785092803,0,,163,100
92,920,1720,7.683439921916361e-07,0,,161,100
93,930,1730,0.0033028715598466146,1,,159,100
94,940,1740,9.800226577647625e-28,0,,160,100
95,950,1750,6.951045186230957e-95,0,,160,100
96,960,1760,5.376952335459937e-111,0,,159,100
97,970,1770,0.16595457628001478,1,,158,100
98,980,1780,0.04013144042618862,1,,159,100
99,990,1790,0.008700423232578967,1,,159,100
100,1000,1800,3.7082761415455937e-06,0,,160,100
101,1010,1810,0.6836861931116578,1,,161,100
102,1020,1820,0.8523498159127789,1,,161,100
103,1030,1830,0.7642941568449725,1,,159,100
104,1040,1840,0.1972391906451935,1,,160,100
105,1050,1850,0.012219540951791263,1,,162,100
106,1060,1860,1.3454423338980885e-06,0,,161,100
107,1070,1870,0.013323833985540223,1,,161,100
108,1080,1880,0.2902642321750113,1,,160,100
109,1090,1890,0.004170941358363645,1,,160,100
110,1100,1900,0.00039716666284757626,0,,159,100
111,1110,1910,0.05360728471000222,1,,160,100
112,1120,1920,0.6058459552873173,1,,159,100
113,1130,1930,2.7556501703958473e-06,0,,159,100
114,1140,1940,0.1765008658862816,1,,161,100
115,1150,1950,0.3643771058363737,1,,161,100
116,1160,1960,0.8935280799323698,1,,159,100
117,1170,1970,0.9016884112174054,1,,159,100
118,1180,1980,0.8164854561201235,1,,158,100
119,1190,1990,0.16052763716746032,1,,161,100
120,1200,2000,1.436644666124083e-07,0,,162,100
121,1210,2010,0.5103077807849029,1,,161,100
122,1220,2020,0.031043984932813084,1,,163,100
123,1230,2030,0.5407493758558637,1,,162,100
124,1240,2040,0.03625359703705537,1,,163,100
125,1250,2050,1.9928675620260407e-05,0,,161,100
126,1260,2060,2.7500381507138832e-06,0,,163,100
127,1270,2070,1.6216067497166847e-07,0,,162,100
128,1280,2080,0.11756409356211653,1,,162,100
129,1290,2090,0.13033076675968183,1,,165,100
130,1300,2100,0.19258285463269584,1,,166,100
131,1310,2110,0.25060273293907265,1,,166,100
132,1320,2120,3.814467681779316e-12,0,,164,100
133,1330,2130,0.0023906270370366626,1,,165,100
134,1340,2140,0.0032122041505710983,1,,167,100
135,1350,2150,0.04385225114044233,1,,167,100
136,1360,2160,3.7541505056989983e-56,0,,168,100
137,1370,2170,8.448429139588006e-32,0,,169,100
138,1380,2180,0.08857634825549468,1,,168,100
139,1390,2190,0.09511526916747741,1,,167,100
140,1400,2200,0.00023660078314441564,0,,166,100
141,1410,2210,0.00021081557427020213,0,,168,100
142,1420,2220,4.136158306612168e-28,0,,168,100
143,1430,2230,0.0005174220095267397,0,,169,100
144,1440,2240,0.000722632480584156,0,,168,100
145,1450,2250,0.0002206036088988378,0,,167,100
146,1460,2260,8.120619714287426e-50,0,,168,100
147,1470,2270,7.763486369573566e-12,0,,168,100
148,1480,2280,2.37945301451407e-05,0,,166,100
149,1490,2290,0.00340354056223603,1,,166,100
150,1500,2300,6.595730931774495e-22,0,,164,100
151,1510,2310,6.252702511182128e-41,0,,163,100
152,1520,2320,7.567430252681899e-07,0,,163,100
153,1530,2330,1.775656221295034e-08,0,,164,100
154,1540,2340,6.956835944918516e-05,0,,163,100
155,1550,2350,1.5446133386962186e-12,0,,163,100
156,1560,2360,2.652562176418244e-37,0,,163,100
157,1570,2370,0.21375545787414704,1,,162,100
158,1580,2380,0.012637423091085977,1,,163,100
159,1590,2390,1.2942541002075677e-06,0,,164,100
160,1600,2400,0.00749243235291755,1,,165,100
161,1610,2410,2.5890306493770084e-39,0,,164,100
162,1620,2420,2.0813537107656217e-06,0,,163,100
163,1630,2430,5.6626107041022644e-08,0,,161,100
164,1640,2440,3.0462474525961207e-28,0,,161,100
165,1650,2450,2.599674921233784e-23,0,,162,100
166,1660,2460,4.4186456959551065e-12,0,,162,100
167,1670,2470,5.313090382980892e-09,0,,163,100
168,1680,2480,6.580377687626757e-32,0,,162,100
169,1690,2490,2.3310082993995492e-26,0,,162,100
170,1700,2500,5.776828191392229e-25,0,,161,100
171,1710,2510,4.419320628682124e-10,0,,161,100
172,1720,2520,4.5970713717778075e-11,0,,161,100
173,1730,2530,2.1709444591681293e-15,0,,162,100
174,1740,2540,1.5829726371080246e-29,0,,161,100
175,1750,2550,1.1113273604722058e-11,0,,160,100
176,1760,2560,2.2774273087219558e-09,0,,159,100
177,1770,2570,2.412225066584996e-16,0,,160,100
178,1780,2580,1.259675221206913e-06,0,,160,100
179,1790,2590,0.00010938636476440405,0,,158,100
180,1800,2600,3.1026691664677165e-06,0,,157,100
181,1810,2610,7.928897627616034e-10,0,,156,100
182,1820,2620,0.0006096887765198103,0,,159,100
183,1830,2630,0.11730461964882498,1,,159,100
184,1840,2640,0.029413206504945683,1,,160,100
185,1850,2650,0.012008538750190208,1,,160,100
186,1860,2660,3.0794390877332514e-21,0,,160,100
187,1870,2670,2.3611433343248429e-07,0,,160,100
188,1880,2680,3.544210132945578e-11,0,,164,100
189,1890,2690,7.029811217446335e-06,0,,163,100
190,1900,2700,1.8207935033627947e-23,0,,161,100
191,1910,2710,2.850722890711421e-17,0,,161,100
192,1920,2720,3.8962074060245645e-05,0,,160,100
193,1930,2730,2.518939339102871e-34,0,,161,100
194,1940,2740,0.0562255445874871,1,,161,100
195,1950,2750,1.89218075195018e-30,0,,159,100
196,1960,2760,1.1703076676584187e-49,0,,161,100
197,1970,2770,2.691855141109519e-38,0,,161,100
198,1980,2780,5.880500303233584e-30,0,,159,100
199,1990,2790,0.00033196316471243554,0,,158,100
200,2000,2800,1.682373588012257e-65,0,,158,100
201,2010,2810,3.6291040893818266e-34,0,,159,100
202,2020,2820,5.276944883439144e-44,0,,161,100
203,2030,2830,1.7694452795433876e-19,0,,161,100
204,2040,2840,2.5390188301766078e-57,0,,161,100
205,2050,2850,0.00032489579397099226,0,,160,100
206,2060,2860,1.506731752981534e-48,0,,159,100
207,2070,2870,1.727427439379734e-31,0,,160,100
208,2080,2880,2.2258528698279838e-41,0,,160,100
209,2090,2890,1.5101733724619023e-17,0,,159,100
210,2100,2900,2.660043708890912e-19,0,,159,100
211,2110,2910,2.854873884750372e-23,0,,157,100
212,2120,2920,2.130747967605775e-88,0,,156,100
213,2130,2930,1.5979935076478697e-126,0,,155,100
214,2140,2940,1.912826795392205e-83,0,,155,100
215,2150,2950,6.818414528409951e-95,0,,153,100
216,2160,2960,1.9018357275349655e-53,0,,154,100
217,2170,2970,1.9127035537958078e-13,0,,151,100
218,2180,2980,3.4282681284482813e-12,0,,153,100
219,2190,2990,5.675826298155338e-27,0,,152,100
220,2200,3000,4.598945865994189e-23,0,,154,100
221,2210,3010,3.2326286349213398e-50,0,,156,100
222,2220,3020,5.885477030805639e-22,0,,153,100
223,2230,3030,3.9105966810096066e-51,0,,154,100
224,2240,3040,1.4365889359903521e-54,0,,155,100
225,2250,3050,2.2475302078812693e-50,0,,156,100
226,2260,3060,1.3265933079037471e-48,0,,154,100
227,2270,3070,5.675354916000704e-91,0,,157,100
228,2280,3080,5.559667491956071e-31,0,,156,100
229,2290,3090,1.6756050679560535e-29,0,,158,100
230,2300,3100,1.2925973223985972e-39,0,,159,100
231,2310,3110,5.39596502594221e-62,0,,159,100
232,2320,3120,1.7734140698138756e-51,0,,158,100
233,2330,3130,9.66908276506692e-84,0,,159,100
234,2340,3140,1.4849297073043018e-16,0,,159,100
235,2350,3150,4.510210577950757e-50,0,,158,100
236,2360,3160,2.725714826384497e-35,0,,159,100
237,2370,3170,8.286874669685936e-61,0,,160,100
238,2380,3180,1.3706836327588094e-47,0,,158,100
239,2390,3190,3.503079439235259e-65,0,,159,100
240,2400,3200,2.6655760355129114e-41,0,,158,100
241,2410,3210,5.39865894080817e-35,0,,159,100
242,2420,3220,1.3189322408458107e-48,0,,160,100
243,2430,3230,8.297597987810487e-25,0,,159,100
244,2440,3240,6.16504955772579e-48,0,,158,100
245,2450,3250,1.423827771563059e-75,0,,157,100
246,2460,3260,1.4869232197806018e-131,0,,156,100
247,2470,3270,1.700466927452212e-59,0,,158,100
248,2480,3280,1.2864879752136472e-130,0,,156,100
249,2490,3290,6.642059686719907e-121,0,,157,100
250,2500,3300,5.1940105065507584e-92,0,,157,100
251,2510,3310,7.386706965245476e-29,0,,158,100
252,2520,3320,1.7627137492794108e-32,0,,158,100
253,2530,3330,7.43557586078084e-51,0,,159,100
254,2540,3340,2.033294487666408e-112,0,,158,100
255,2550,3350,9.403398647616946e-58,0,,160,100
256,2560,3360,3.075867021049275e-67,0,,160,100
257,2570,3370,4.3532713548348194e-30,0,,159,100
258,2580,3380,3.473521333053417e-11,0,,159,100
259,2590,3390,6.533437180307563e-12,0,,162,100
260,2600,3400,5.533262750345658e-35,0,,163,100
261,2610,3410,3.179094804276443e-15,0,,162,100
262,2620,3420,4.425426574588733e-41,0,,160,100
263,2630,3430,2.089463571790262e-25,0,,159,100
264,2640,3440,7.01404180328845e-66,0,,158,100
265,2650,3450,3.792359407333277e-19,0,,158,100
