window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9710083419138525,1,,153,100
1,10,810,4.3164733626338276e-12,0,,153,100
2,20,820,5.93568739701098e-19,0,,153,100
3,30,830,1.026618754311019e-09,0,,152,100
4,40,840,0.003009608737860073,1,,153,100
5,50,850,8.042784461669016e-62,0,,151,100
6,60,860,3.398334979256575e-06,0,,151,100
7,70,870,0.9993017578524892,1,,152,100
8,80,880,2.5699447044928602e-06,0,,151,100
9,90,890,1.4712948446374145e-14,0,,152,100
10,100,900,0.2923436127547906,1,,153,100
11,110,910,5.493043248076533e-19,0,,153,100
12,120,920,3.985137144090963e-23,0,,154,100
13,130,930,1.0802554246808898e-21,0,,154,100
14,140,940,4.437097324290893e-06,0,,155,100
15,150,950,1.7260426460204312e-16,0,,155,100
16,160,960,2.340149146263118e-24,0,,154,100
17,170,970,9.329517268829761e-21,0,,155,100
18,180,980,0.9645350757618631,1,,155,100
19,190,990,7.079066239939378e-08,0,,157,100
20,200,1000,8.625026016546526e-11,0,,157,100
21,210,1010,1.4867617678151917e-10,0,,157,100
22,220,1020,3.579886273641535e-19,0,,160,100
23,230,1030,1.757957591883857e-08,0,,157,100
24,240,1040,1.0167192709659344e-05,0,,153,100
25,250,1050,6.65005658711854e-17,0,,151,100
26,260,1060,2.460947207564962e-15,0,,148,100
27,270,1070,1.647034901335428e-05,0,,145,100
28,280,1080,4.674498601322883e-13,0,,145,100
29,290,1090,1.9221620561413317e-07,0,,144,100
30,300,1100,2.3684578936736004e-19,0,,140,100
31,310,1110,1.592231217277144e-20,0,,138,100
32,320,1120,0.9983842855570186,1,,135,100
33,330,1130,1.1779111213215744e-05,0,,133,100
34,340,1140,1.964206262487828e-09,0,,132,100
35,350,1150,7.73329954336584e-24,0,,130,100
36,360,1160,0.9987023665456457,1,,127,100
37,370,1170,1.1923871801082516e-22,0,,126,100
38,380,1180,3.960938129094943e-12,0,,125,100
39,390,1190,3.969664948954614e-21,0,,122,100
40,400,1200,2.1076633634849377e-06,0,,119,100
41,410,1210,2.2803475125528504e-11,0,,117,100
42,420,1220,8.927650769551215e-23,0,,116,100
43,430,1230,1.7395646078831694e-23,0,,115,100
44,440,1240,0.10864854896705356,1,,111,100
45,450,1250,2.731270948747017e-24,0,,109,100
46,460,1260,1.9261106418700152e-25,0,,108,100
47,470,1270,0.9687701666011868,1,,105,100
48,480,1280,1.193977073750083e-10,0,,105,100
49,490,1290,2.319525283196588e-18,0,,103,100
50,500,1300,8.568816785305812e-14,0,,101,100
