window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9972569777860699,1,,153,100
1,10,810,5.833438982663095e-10,0,,153,100
2,20,820,9.992306511096049e-12,0,,153,100
3,30,830,0.9987427717693139,1,,152,100
4,40,840,2.6239524600346017e-20,0,,153,100
5,50,850,1.5977793865567552e-17,0,,151,100
6,60,860,0.9995285636476847,1,,151,100
7,70,870,0.9991359994706341,1,,152,100
8,80,880,0.9990478973431157,1,,151,100
9,90,890,4.833174695847523e-11,0,,152,100
10,100,900,8.527143894066795e-10,0,,153,100
11,110,910,0.0010219470369181246,1,,153,100
12,120,920,7.414096391123238e-08,0,,154,100
13,130,930,0.000886597093347657,0,,154,100
14,140,940,4.405319529701834e-06,0,,155,100
15,150,950,0.9993632668135352,1,,155,100
16,160,960,1.0117325570990015e-05,0,,154,100
17,170,970,6.82326171951433e-12,0,,155,100
18,180,980,1.3437230297469375e-07,0,,155,100
19,190,990,7.080918599131805e-08,0,,157,100
20,200,1000,8.620956790394765e-11,0,,157,100
21,210,1010,0.9991889501124951,1,,157,100
22,220,1020,2.4067372356978696e-09,0,,160,100
23,230,1030,1.6173409224028555e-08,0,,157,100
24,240,1040,0.9936752578402,1,,153,100
25,250,1050,2.8735770193116286e-12,0,,151,100
26,260,1060,0.9888006821474977,1,,148,100
27,270,1070,0.9858236062799958,1,,145,100
28,280,1080,2.8048149515272583e-08,0,,145,100
29,290,1090,1.0038759280453534e-21,0,,144,100
30,300,1100,1.2238494744652347e-08,0,,140,100
31,310,1110,5.995296149200571e-07,0,,138,100
32,320,1120,0.72224859822836,1,,135,100
33,330,1130,0.7137308752833642,1,,133,100
34,340,1140,7.332498233932978e-12,0,,132,100
35,350,1150,2.1144776328491614e-10,0,,130,100
36,360,1160,0.3546426819464193,1,,127,100
37,370,1170,3.62930176420798e-07,0,,126,100
38,380,1180,2.410526571788905e-12,0,,125,100
39,390,1190,1.3949149592664427e-05,0,,122,100
40,400,1200,8.449238895446455e-07,0,,119,100
41,410,1210,5.0921894651856855e-09,0,,117,100
42,420,1220,4.3562525585055036e-10,0,,116,100
43,430,1230,3.49969397943149e-09,0,,115,100
44,440,1240,2.293340792525317e-20,0,,111,100
45,450,1250,1.1043935112356098e-08,0,,109,100
46,460,1260,1.0429474536920645e-11,0,,108,100
47,470,1270,0.5715320744716196,1,,105,100
48,480,1280,7.754545131257271e-11,0,,105,100
49,490,1290,1.7056155993344383e-10,0,,103,100
50,500,1300,5.837523629379323e-07,0,,101,100
