window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9996449799425224,1,,153,100
1,10,810,0.9958430848438127,1,,153,100
2,20,820,0.9994090837273565,1,,153,100
3,30,830,0.9826827831282565,1,,152,100
4,40,840,0.8127378141383977,1,,153,100
5,50,850,0.9956009464514457,1,,151,100
6,60,860,0.9978463463416236,1,,151,100
7,70,870,0.9922990945582284,1,,152,100
8,80,880,0.9941159099887829,1,,151,100
9,90,890,0.9901805643765041,1,,152,100
10,100,900,0.9992379628412597,1,,153,100
11,110,910,0.999777136197263,1,,153,100
12,120,920,0.9994139817767791,1,,154,100
13,130,930,0.9958951913154799,1,,154,100
14,140,940,3.922060937993947e-05,0,,155,100
15,150,950,0.9842338609703414,1,,155,100
16,160,960,0.9983024805879661,1,,154,100
17,170,970,0.9901520955089188,1,,155,100
18,180,980,0.9988922508859335,1,,155,100
19,190,990,0.9886585346629878,1,,157,100
20,200,1000,0.9980855971963823,1,,157,100
21,210,1010,0.9600062791917044,1,,157,100
22,220,1020,0.8532077546418512,1,,160,100
23,230,1030,0.9943818456501464,1,,157,100
24,240,1040,0.998052054776136,1,,153,100
25,250,1050,0.668693774386555,1,,151,100
26,260,1060,0.999763722801623,1,,148,100
27,270,1070,0.9988077038501992,1,,145,100
28,280,1080,0.9988612398853794,1,,145,100
29,290,1090,0.9653551412607011,1,,144,100
30,300,1100,0.9988073190114604,1,,140,100
31,310,1110,0.9988157744231886,1,,138,100
32,320,1120,0.9988680519442478,1,,135,100
33,330,1130,0.9892922972781801,1,,133,100
34,340,1140,0.9980722849063317,1,,132,100
35,350,1150,0.00017643900288812374,0,,130,100
36,360,1160,4.0406322295424465e-05,0,,127,100
37,370,1170,0.9989998010978647,1,,126,100
38,380,1180,0.999564223607698,1,,125,100
39,390,1190,0.9995553189043264,1,,122,100
40,400,1200,2.9066621438839104e-05,0,,119,100
41,410,1210,0.6467316310678732,1,,117,100
42,420,1220,0.997009960110957,1,,116,100
43,430,1230,0.9931503582874116,1,,115,100
44,440,1240,0.9993323113319775,1,,111,100
45,450,1250,0.9657167464817809,1,,109,100
46,460,1260,0.9715818350238087,1,,108,100
47,470,1270,3.210565736242772e-05,0,,105,100
48,480,1280,0.9293862153138297,1,,105,100
49,490,1290,0.8844142770174689,1,,103,100
50,500,1300,0.9050009276566519,1,,101,100
