window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,8.435940940468253e-06,0,,182,100
1,10,810,6.394081916408261e-80,0,,184,100
2,20,820,3.959560128685529e-13,0,,185,100
3,30,830,0.28873364546452945,1,,182,100
4,40,840,1.3094537193702853e-71,0,,180,100
5,50,850,7.083034215112715e-18,0,,178,100
6,60,860,4.920170003931478e-07,0,,177,100
7,70,870,3.82675836963172e-18,0,,174,100
8,80,880,3.0968784136977733e-78,0,,172,100
9,90,890,3.5869155093131245e-24,0,,171,100
10,100,900,1.0039612942723868e-28,0,,167,100
11,110,910,5.493352140069499e-56,0,,165,100
12,120,920,6.834566324368495e-31,0,,164,100
13,130,930,3.9372500536163536e-11,0,,162,100
14,140,940,1.3973221821443007e-34,0,,158,100
15,150,950,6.799177925404235e-38,0,,157,100
16,160,960,5.842685968157221e-14,0,,153,100
17,170,970,1.5058100174663784e-24,0,,151,100
18,180,980,1.0840989412994566e-24,0,,150,100
19,190,990,1.9471597612359703e-48,0,,146,100
20,200,1000,5.214908615351448e-31,0,,144,100
21,210,1010,1.714634862670146e-38,0,,141,100
22,220,1020,2.6177576247666077e-27,0,,140,100
23,230,1030,9.808049122117494e-16,0,,137,100
24,240,1040,1.305194468066165e-19,0,,136,100
25,250,1050,1.5229392875262299e-21,0,,135,100
26,260,1060,1.5267631335210122e-25,0,,132,100
27,270,1070,1.236741341688033e-15,0,,129,100
28,280,1080,6.850076745808163e-17,0,,129,100
29,290,1090,4.379413939980566e-66,0,,127,100
30,300,1100,1.519137923623683e-41,0,,124,100
31,310,1110,1.1160839547406337e-76,0,,122,100
32,320,1120,7.753732494406123e-48,0,,120,100
33,330,1130,2.7205646363369977e-57,0,,120,100
34,340,1140,3.910812990323798e-32,0,,116,100
35,350,1150,1.6790932272291975e-35,0,,116,100
36,360,1160,2.742943570529969e-26,0,,114,100
37,370,1170,7.211928662186893e-29,0,,109,100
38,380,1180,5.226118346615159e-35,0,,109,100
39,390,1190,1.4483257846334317e-60,0,,106,100
40,400,1200,1.3171240972944832e-26,0,,103,100
41,410,1210,1.5532963430799842e-32,0,,103,100
42,420,1220,3.7609226394954025e-16,0,,100,100
