window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.349806382700116e-05,0,,182,100
1,10,810,0.027917073188806055,1,,184,100
2,20,820,0.6974492098810267,1,,185,100
3,30,830,0.9750957480865594,1,,182,100
4,40,840,0.891883728909977,1,,180,100
5,50,850,0.04855895383900717,1,,178,100
6,60,860,0.02976253979442376,1,,177,100
7,70,870,0.9072983191703273,1,,174,100
8,80,880,0.0011801576742631215,1,,172,100
9,90,890,0.017117648307429227,1,,171,100
10,100,900,0.0007517164987299093,0,,167,100
11,110,910,0.07102139450779912,1,,165,100
12,120,920,0.0004803006454800606,0,,164,100
13,130,930,0.000694805563986128,0,,162,100
14,140,940,0.014424221324812104,1,,158,100
15,150,950,0.2784025287512055,1,,157,100
16,160,960,0.011432488046781536,1,,153,100
17,170,970,4.6205379143743447e-07,0,,151,100
18,180,980,1.057944389648257e-06,0,,150,100
19,190,990,0.01071907304297844,1,,146,100
20,200,1000,0.0008588701825097252,0,,144,100
21,210,1010,2.425153027296435e-06,0,,141,100
22,220,1020,9.88316174310777e-08,0,,140,100
23,230,1030,1.0067668725422548e-06,0,,137,100
24,240,1040,0.17918401066466214,1,,136,100
25,250,1050,4.221445725666356e-27,0,,135,100
26,260,1060,0.026838106567665155,1,,132,100
27,270,1070,8.92815377968394e-05,0,,129,100
28,280,1080,0.007228989586151932,1,,129,100
29,290,1090,0.004123360138367393,1,,127,100
30,300,1100,0.1358762198049879,1,,124,100
31,310,1110,0.024248572757240173,1,,122,100
32,320,1120,0.11131560044089618,1,,120,100
33,330,1130,0.04106021593153634,1,,120,100
34,340,1140,0.09051819770829933,1,,116,100
35,350,1150,0.0076403679867666175,1,,116,100
36,360,1160,0.40306127464241864,1,,114,100
37,370,1170,5.196167633600811e-09,0,,109,100
38,380,1180,2.9276810738002744e-06,0,,109,100
39,390,1190,0.0025329203889667357,1,,106,100
40,400,1200,0.013385812935400431,1,,103,100
41,410,1210,0.0956795933008164,1,,103,100
42,420,1220,0.9204144288260381,1,,100,100
