evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.6803979099067274,1,,218,100
1,25,132,932,0.9702637498217027,1,,217,100
2,75,378,1178,2.9104410174424574e-17,0,,213,100
3,87,443,1243,1.0557416310983057e-16,0,,212,100
4,94,480,1280,0.8950048632063923,1,,212,100
5,112,562,1362,0.019926959461524965,1,,211,100
6,160,830,1630,5.055177662179128e-06,0,,216,100
7,183,951,1751,0.0005085650116877715,0,,222,100
8,547,2849,3649,0.3622091856166852,1,,220,100
9,552,2881,3681,0.12112887898800292,1,,223,100
10,561,2923,3723,3.0983339723153376e-15,0,,220,100
11,578,3006,3806,0.1013908032431686,1,,221,100
12,586,3053,3853,9.877296258841444e-22,0,,222,100
13,594,3091,3891,3.532855053003262e-05,0,,224,100
14,635,3287,4087,7.226743914119367e-28,0,,221,100
15,643,3331,4131,9.81744838142013e-07,0,,223,100
16,719,3729,4529,0.7849295265671178,1,,222,100
17,1409,7115,7915,1.885920624239588e-32,0,,228,100
18,1415,7144,7944,1.4576004099372711e-09,0,,233,100
