evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,7.718183975039259e-07,0,,177,100
1,6,31,831,2.718076773273405e-41,0,,178,100
2,14,78,878,1.1474740117794705e-21,0,,179,100
3,19,112,912,1.709368968627162e-21,0,,181,100
4,24,145,945,8.979735783455083e-10,0,,184,100
5,29,170,970,2.416402487231211e-17,0,,183,100
6,35,200,1000,1.1606411950136838e-38,0,,180,100
7,45,255,1055,1.118834794351757e-22,0,,182,100
8,52,297,1097,6.419097174130498e-15,0,,181,100
9,57,321,1121,1.8569030812050837e-12,0,,179,100
10,62,348,1148,3.677579268854204e-09,0,,178,100
11,68,374,1174,1.1519393245332518e-09,0,,177,100
12,75,411,1211,4.729912044067465e-15,0,,174,100
13,81,443,1243,3.11024754574173e-20,0,,174,100
14,86,469,1269,3.149401193054726e-27,0,,174,100
15,91,498,1298,1.499164465240291e-17,0,,174,100
16,96,527,1327,1.6889985315425172e-17,0,,175,100
17,104,567,1367,5.766241564506079e-33,0,,172,100
18,109,590,1390,7.506465287303484e-28,0,,170,100
19,114,628,1428,1.2459329228553764e-17,0,,172,100
20,120,666,1466,2.0105136922440284e-26,0,,168,100
21,125,692,1492,1.9879349130636903e-25,0,,163,100
22,130,729,1529,3.029002575722165e-19,0,,153,100
23,135,754,1554,3.1646169016182895e-17,0,,148,100
24,143,795,1595,6.061425840246962e-23,0,,139,100
25,149,827,1627,3.991718092032697e-23,0,,132,100
26,156,861,1661,1.5417335456497918e-08,0,,124,100
27,162,887,1687,1.8131412164986027e-33,0,,117,100
28,167,914,1714,9.897089393137885e-16,0,,110,100
29,173,942,1742,3.347140184453997e-19,0,,105,100
30,178,973,1773,1.6298605370004622e-27,0,,100,100
