evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.8085500021627049,1,,153,100
1,6,39,839,7.110223631037709e-18,0,,151,100
2,11,71,871,3.0980094820175255e-18,0,,152,100
3,17,99,899,1.6190580243439416e-21,0,,152,100
4,22,148,948,1.9480132436030777e-09,0,,155,100
5,27,172,972,1.610140858523367e-08,0,,155,100
6,34,233,1033,0.01403402179697771,1,,156,100
7,39,262,1062,0.00018991317198964854,0,,147,100
8,44,307,1107,4.0050577310037046e-42,0,,139,100
9,49,335,1135,0.00010700856443209915,0,,132,100
10,55,365,1165,0.0078018510496187955,1,,126,100
11,61,397,1197,0.004566665542331358,1,,119,100
12,66,435,1235,0.3953096932561636,1,,111,100
13,71,466,1266,4.504431679320931e-05,0,,106,100
14,77,507,1307,0.0002526239949812229,0,,100,100
