evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,2.3602547532905054e-06,0,,150,100
1,7,44,844,3.2402570959184166e-11,0,,152,100
2,12,81,881,0.004846428045779158,1,,151,100
3,25,175,975,3.7823610449766854e-06,0,,153,100
4,32,226,1026,0.000126407000435104,0,,156,100
5,39,268,1068,4.8425235121793366e-14,0,,156,100
6,48,336,1136,1.6057128869818611e-13,0,,157,100
7,53,376,1176,1.8048117880847667e-24,0,,162,100
8,58,408,1208,2.0469558260573473e-15,0,,164,100
9,65,469,1269,1.1910575547715439e-12,0,,165,100
10,70,507,1307,4.78247407291108e-06,0,,165,100
11,83,590,1390,1.080186703302607e-13,0,,167,100
12,89,620,1420,2.1792786335122615e-07,0,,167,100
13,95,670,1470,0.0014607263776368468,1,,163,100
14,100,711,1511,1.7200751301006584e-08,0,,156,100
15,105,739,1539,9.734117200497388e-17,0,,151,100
16,111,782,1582,2.878939028889764e-17,0,,142,100
17,118,832,1632,9.938841912359622e-12,0,,132,100
18,126,878,1678,8.471710989524888e-14,0,,121,100
19,132,923,1723,4.219804890891368e-19,0,,116,100
20,137,953,1753,7.33158329907882e-16,0,,106,100
