evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,2.2219779296587603e-06,0,,165,100
1,54,345,1145,1.6781436751907496e-31,0,,166,100
2,116,722,1522,4.449417035070071e-17,0,,162,100
3,124,766,1566,0.16816317199949565,1,,163,100
4,150,910,1710,1.0169242812136363e-11,0,,162,100
5,162,976,1776,0.1253303161668523,1,,158,100
6,172,1025,1825,0.004006117921859501,1,,156,100
7,183,1106,1906,2.174462373269603e-09,0,,152,100
8,189,1142,1942,7.609115113325185e-17,0,,156,100
9,569,3409,4209,1.8287561960675844e-12,0,,174,100
10,1444,8434,9234,0.020945103655834223,1,,181,100
11,1462,8539,9339,5.39795139131637e-09,0,,173,100
12,1487,8678,9478,1.283722216121689e-06,0,,170,100
13,1502,8770,9570,0.002284995858682054,1,,172,100
14,1537,8999,9799,6.704369655385362e-23,0,,179,100
15,1545,9046,9846,0.00019892455746734907,0,,180,100
16,1572,9213,10013,0.002838482380090084,1,,182,100
17,1577,9243,10043,0.0010636170692259084,1,,184,100
18,1615,9489,10289,1.846592036718279e-32,0,,186,100
19,1636,9615,10415,4.650367440207718e-08,0,,177,100
20,1646,9679,10479,3.554957923442393e-05,0,,175,100
21,1672,9815,10615,2.6794974495654747e-25,0,,171,100
