evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,7,41,841,0.11376566164411973,1,,156,100
1,14,86,886,0.0007247934623508922,0,,156,100
2,21,123,923,0.5678146960718107,1,,156,100
3,29,170,970,0.8551068429663202,1,,159,100
4,37,225,1025,1.0184455918438232e-05,0,,161,100
5,44,263,1063,0.5743432020083743,1,,158,100
6,50,297,1097,0.35384538980892044,1,,160,100
7,56,328,1128,0.8787864092052509,1,,161,100
8,62,359,1159,0.07213116255168985,1,,158,100
9,70,401,1201,0.0037902860043308347,1,,159,100
10,79,459,1259,0.7553458137500404,1,,159,100
11,86,502,1302,0.8312586911709087,1,,154,100
12,95,552,1352,0.856462826512516,1,,152,100
13,100,580,1380,0.03738764797211231,1,,152,100
14,108,627,1427,0.7595269624668065,1,,154,100
15,115,674,1474,0.4691798020945915,1,,152,100
16,121,718,1518,0.003354136941396631,1,,156,100
17,134,807,1607,0.018302598527649594,1,,156,100
18,140,841,1641,5.23648481229373e-05,0,,160,100
19,174,1035,1835,0.6253697607458107,1,,160,100
20,209,1255,2055,0.0027922549225855827,1,,162,100
21,215,1297,2097,0.006071943094204806,1,,164,100
22,243,1473,2273,0.002697927443412882,1,,168,100
23,305,1844,2644,0.003494643361440194,1,,160,100
24,1223,7476,8276,3.398543366426361e-07,0,,132,100
