evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.997190224787667,1,,153,100
1,6,39,839,0.9908925566991593,1,,151,100
2,11,71,871,0.9600981020260496,1,,152,100
3,17,99,899,0.9939665856468981,1,,152,100
4,22,148,948,0.9956216805981838,1,,155,100
5,27,172,972,0.9572601087817283,1,,155,100
6,34,233,1033,0.9961424462756461,1,,156,100
7,39,262,1062,0.987002088506249,1,,147,100
8,44,307,1107,0.997341177071936,1,,139,100
9,49,335,1135,0.9883415074990851,1,,132,100
10,55,365,1165,0.8635543165973916,1,,126,100
11,61,397,1197,0.9984689267001794,1,,119,100
12,66,435,1235,0.9699688670377646,1,,111,100
13,71,466,1266,0.9721627287885257,1,,106,100
14,77,507,1307,0.9091827829545528,1,,100,100
