evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,7,41,841,0.009791383631312227,1,,156,100
1,14,86,886,0.6430061474562402,1,,156,100
2,21,123,923,4.921681434264461e-07,0,,156,100
3,29,170,970,0.05460277152980229,1,,159,100
4,37,225,1025,0.0006510633900336193,0,,161,100
5,44,263,1063,0.0009376385412917735,0,,158,100
6,50,297,1097,0.012676437199743347,1,,160,100
7,56,328,1128,0.0021295193313040322,1,,161,100
8,62,359,1159,0.0018884934327170005,1,,158,100
9,70,401,1201,0.1102121402868293,1,,159,100
10,79,459,1259,0.10321522492051276,1,,159,100
11,86,502,1302,0.10897610612810607,1,,154,100
12,95,552,1352,0.1254176763569617,1,,152,100
13,100,580,1380,0.001982817833895179,1,,152,100
14,108,627,1427,0.6670448902758905,1,,154,100
15,115,674,1474,4.221159145638485e-06,0,,152,100
16,121,718,1518,0.8743872095127317,1,,156,100
17,134,807,1607,0.11568793786065477,1,,156,100
18,140,841,1641,1.0472659247001942e-06,0,,160,100
19,174,1035,1835,0.0001584654682297012,0,,160,100
20,209,1255,2055,3.866078360522766e-10,0,,162,100
21,215,1297,2097,1.860732830728055e-05,0,,164,100
22,243,1473,2273,6.173212456751244e-23,0,,168,100
23,305,1844,2644,1.7663373322880077e-55,0,,160,100
24,1223,7476,8276,3.3386127492262074e-06,0,,132,100
