evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,3.77368676584583e-09,0,,218,100
1,25,132,932,0.019008453925633384,1,,217,100
2,75,378,1178,0.011766213360674198,1,,213,100
3,87,443,1243,5.096972239547667e-07,0,,212,100
4,94,480,1280,3.683959416373866e-05,0,,212,100
5,112,562,1362,1.231779532790527e-07,0,,211,100
6,160,830,1630,1.1665047188210191e-18,0,,216,100
7,183,951,1751,3.036723603545909e-30,0,,222,100
8,547,2849,3649,3.728459874107046e-14,0,,220,100
9,552,2881,3681,8.406482118383438e-07,0,,223,100
10,561,2923,3723,0.000510139297789493,0,,220,100
11,578,3006,3806,0.5524228885696053,1,,221,100
12,586,3053,3853,0.12372384750999553,1,,222,100
13,594,3091,3891,8.18573649120417e-08,0,,224,100
14,635,3287,4087,3.58865522783017e-14,0,,221,100
15,643,3331,4131,5.385872062234665e-10,0,,223,100
16,719,3729,4529,5.424363343481603e-18,0,,222,100
17,1409,7115,7915,1.2243229416279344e-10,0,,228,100
18,1415,7144,7944,3.743504601307615e-11,0,,233,100
