evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,3,13,813,0.9991100617100451,1,,178,100
1,8,53,853,0.2303887604022515,1,,180,100
2,17,105,905,0.0027848346465836654,1,,174,100
3,22,137,937,9.953278413544162e-14,0,,170,100
4,28,180,980,2.861277332501836e-19,0,,172,100
5,34,207,1007,1.4330889019469952e-05,0,,170,100
6,39,243,1043,2.535563425785259e-16,0,,171,100
7,45,281,1081,0.9980208912493228,1,,169,100
8,50,323,1123,0.9637490590784465,1,,173,100
9,57,359,1159,0.004309708765901758,1,,168,100
10,62,389,1189,1.9539482765500865e-05,0,,163,100
11,67,424,1224,1.2121249625703604e-06,0,,157,100
12,72,449,1249,0.05080045363810404,1,,151,100
13,78,486,1286,0.05519439859413942,1,,144,100
14,90,543,1343,0.9092052958479616,1,,132,100
15,96,585,1385,0.9936718278270317,1,,123,100
16,102,607,1407,0.9749624587510571,1,,116,100
17,113,677,1477,0.888327284668376,1,,101,100
