evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.008748739361279225,1,,150,100
1,7,44,844,4.13248380676876e-07,0,,152,100
2,12,81,881,5.85499307042249e-06,0,,151,100
3,25,175,975,0.286377536355542,1,,153,100
4,32,226,1026,0.8864499148424985,1,,156,100
5,39,268,1068,0.0004818493855530544,0,,156,100
6,48,336,1136,0.5288997699713259,1,,157,100
7,53,376,1176,0.6287826012364841,1,,162,100
8,58,408,1208,7.203278712902814e-12,0,,164,100
9,65,469,1269,0.009753659201210544,1,,165,100
10,70,507,1307,1.502407828347187e-11,0,,165,100
11,83,590,1390,0.0015179153857249664,1,,167,100
12,89,620,1420,0.011221065038487573,1,,167,100
13,95,670,1470,0.5453502727385726,1,,163,100
14,100,711,1511,0.998818160529964,1,,156,100
15,105,739,1539,0.9992462397214986,1,,151,100
16,111,782,1582,6.537367026085067e-13,0,,142,100
17,118,832,1632,0.005638389981400427,1,,132,100
18,126,878,1678,0.49871503364746006,1,,121,100
19,132,923,1723,0.9999455177637646,1,,116,100
20,137,953,1753,0.9996246392441127,1,,106,100
