evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,1.439358770329128e-13,0,,218,100
1,25,132,932,0.002645147145356483,1,,217,100
2,75,378,1178,0.020168395103855485,1,,213,100
3,87,443,1243,2.1822124956078883e-14,0,,212,100
4,94,480,1280,4.4729400178411895e-09,0,,212,100
5,112,562,1362,1.9552992896261028e-22,0,,211,100
6,160,830,1630,1.145496525686913e-07,0,,216,100
7,183,951,1751,5.041818660324582e-13,0,,222,100
8,547,2849,3649,1.1939089866032589e-06,0,,220,100
9,552,2881,3681,1.5205197995068283e-11,0,,223,100
10,561,2923,3723,0.0046871106003745335,1,,220,100
11,578,3006,3806,3.0026718420962887e-22,0,,221,100
12,586,3053,3853,0.0008177731326542031,0,,222,100
13,594,3091,3891,0.00011671159439633291,0,,224,100
14,635,3287,4087,2.4535368043625497e-14,0,,221,100
15,643,3331,4131,0.0024178418081014703,1,,223,100
16,719,3729,4529,2.5646650569567048e-26,0,,222,100
17,1409,7115,7915,5.96205418192552e-12,0,,228,100
18,1415,7144,7944,3.878205455390657e-21,0,,233,100
