evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,113,777,1577,0.7427875342575745,1,,165,100
1,121,835,1635,0.007124336743963128,1,,165,100
2,169,1204,2004,0.16657042921950949,1,,168,100
3,180,1289,2089,0.00010463381412154946,0,,170,100
4,193,1396,2196,0.018488825956148112,1,,178,100
5,200,1444,2244,0.13362345201812795,1,,175,100
6,258,1808,2608,8.44709719958731e-15,0,,164,100
7,282,1990,2790,0.5041706852605049,1,,162,100
8,293,2073,2873,1.9358955833307982e-36,0,,162,100
9,304,2130,2930,0.01571189651110799,1,,162,100
10,309,2164,2964,0.03274146486184151,1,,160,100
11,366,2553,3353,0.040938467701213725,1,,161,100
12,381,2663,3463,0.014081851339747006,1,,157,100
13,388,2715,3515,3.979034163020158e-07,0,,158,100
14,393,2753,3553,0.007609069118739161,1,,161,100
15,445,3120,3920,0.0011424722645566334,1,,169,100
16,457,3211,4011,7.64531816628012e-09,0,,169,100
17,474,3334,4134,0.7912744146370881,1,,177,100
18,481,3383,4183,0.12377752326753635,1,,171,100
19,523,3731,4531,0.004890898311688357,1,,171,100
20,528,3761,4561,0.02554651785812181,1,,167,100
21,547,3882,4682,0.0030480897998428377,1,,163,100
22,555,3974,4774,0.6204588987927674,1,,160,100
23,561,4009,4809,0.804280832179846,1,,165,100
24,581,4142,4942,0.13174741915587768,1,,160,100
25,597,4261,5061,0.8515662030692783,1,,165,100
26,602,4301,5101,4.9590623040597736e-05,0,,165,100
27,618,4421,5221,0.011065957821360753,1,,167,100
28,636,4546,5346,0.6029604154181097,1,,169,100
29,649,4659,5459,3.84604346721437e-06,0,,173,100
30,680,4868,5668,5.27625612955369e-10,0,,179,100
31,697,4977,5777,8.356315956589825e-05,0,,175,100
32,703,5016,5816,0.0028080469302885474,1,,172,100
33,719,5128,5928,3.656842506576098e-08,0,,170,100
34,724,5161,5961,0.00045152950389749295,0,,167,100
35,744,5291,6091,0.0008093054175673563,0,,163,100
36,759,5393,6193,9.320034478311719e-05,0,,162,100
37,792,5619,6419,0.16479759671146263,1,,156,100
38,798,5649,6449,2.2441566082837215e-13,0,,151,100
39,804,5703,6503,0.00020273314549875318,0,,151,100
40,811,5757,6557,0.033404873082237455,1,,153,100
41,816,5789,6589,1.2918380320138103e-05,0,,155,100
42,823,5850,6650,0.2264059629952039,1,,155,100
43,829,5891,6691,0.0008036986392166882,0,,154,100
44,847,5997,6797,0.0002185193068016198,0,,150,100
45,929,6598,7398,0.0010881202941444084,1,,149,100
46,948,6741,7541,0.0010596309054827949,1,,152,100
47,957,6814,7614,0.09193561011621834,1,,159,100
48,966,6883,7683,0.09972223468469386,1,,159,100
49,975,6945,7745,0.0011464875973025291,1,,161,100
50,980,6979,7779,0.014685323908833276,1,,158,100
51,993,7077,7877,0.037634033641571404,1,,165,100
52,1003,7155,7955,0.8792335114107671,1,,162,100
53,1014,7248,8048,0.3241344844578412,1,,164,100
54,1020,7277,8077,0.17804780474082413,1,,167,100
55,1026,7317,8117,0.003339945588285399,1,,166,100
56,1033,7363,8163,0.0011914204244374924,1,,166,100
57,1043,7455,8255,1.3294499171288205e-11,0,,168,100
58,1048,7481,8281,0.9247493966199251,1,,167,100
59,1054,7527,8327,0.8705469097595778,1,,168,100
60,1059,7575,8375,0.6243424914209476,1,,165,100
61,1064,7608,8408,0.7402132094916535,1,,162,100
62,1073,7671,8471,0.13252958282987237,1,,160,100
63,1090,7781,8581,0.137776412961016,1,,166,100
64,1104,7873,8673,0.940750684364872,1,,162,100
65,1110,7916,8716,0.07052257940340761,1,,162,100
66,1115,7950,8750,0.10620792830731886,1,,162,100
67,1125,8020,8820,0.00038902598226514263,0,,161,100
68,1140,8121,8921,0.010610945926546373,1,,159,100
69,1159,8288,9088,9.588360085403134e-05,0,,164,100
70,1164,8323,9123,0.021821608741382257,1,,163,100
71,1171,8386,9186,0.007181207810888173,1,,165,100
72,1176,8417,9217,0.8628703948749301,1,,167,100
73,1181,8456,9256,2.5341335869977028e-09,0,,166,100
74,1186,8491,9291,0.12033118176920654,1,,172,100
75,1191,8526,9326,0.2621083864077274,1,,167,100
76,1197,8559,9359,0.8854294183832895,1,,165,100
77,1202,8593,9393,0.09988297017664971,1,,165,100
78,1213,8686,9486,0.011611040060644852,1,,167,100
79,1218,8724,9524,0.08864412795043679,1,,168,100
80,1227,8775,9575,0.01121037969377617,1,,167,100
81,1234,8823,9623,4.524588184591878e-06,0,,165,100
82,1241,8885,9685,0.0003727167019709336,0,,166,100
83,1246,8924,9724,0.0668851039167393,1,,170,100
84,1257,8980,9780,0.6400668133171312,1,,168,100
85,1262,9004,9804,0.006258879126182529,1,,168,100
86,1276,9100,9900,5.677509300691144e-07,0,,163,100
87,1286,9171,9971,0.013947746398721985,1,,163,100
88,1315,9382,10182,0.00023734268297497674,0,,170,100
89,1335,9525,10325,0.0006967882388275463,0,,170,100
