evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,2,12,812,0.00010447005636699394,0,,179,100
1,33,195,995,0.2916509069194295,1,,181,100
2,48,297,1097,0.4643884029365367,1,,181,100
3,70,411,1211,0.000261441081834507,0,,181,100
4,75,435,1235,0.17358539288627373,1,,181,100
5,82,481,1281,7.958726128446336e-06,0,,177,100
6,91,530,1330,0.007692027758817425,1,,176,100
7,96,556,1356,0.2759960629259973,1,,175,100
8,101,576,1376,0.14223457026723332,1,,173,100
9,110,617,1417,0.8676876989972505,1,,171,100
10,119,660,1460,0.021471591726310506,1,,170,100
11,127,714,1514,0.7089933014962856,1,,168,100
12,139,797,1597,0.1777078057332293,1,,172,100
13,144,828,1628,0.2622251880484865,1,,172,100
14,149,856,1656,0.10531653686602209,1,,173,100
15,154,901,1701,0.00027039274651203854,0,,174,100
16,162,942,1742,0.0011925660511801456,1,,172,100
17,168,975,1775,0.7393837520746279,1,,168,100
18,174,1002,1802,0.021101314320824967,1,,167,100
19,179,1027,1827,0.9198969260499285,1,,164,100
20,185,1065,1865,0.9373465097854682,1,,166,100
21,191,1102,1902,0.0023078380487185943,1,,168,100
22,200,1147,1947,0.0006653371233339254,0,,166,100
23,220,1250,2050,0.03263546235922012,1,,159,100
24,227,1289,2089,0.0018905116464286683,1,,162,100
25,268,1513,2313,1.70517126914444e-11,0,,162,100
26,276,1567,2367,0.01982429744771395,1,,165,100
27,399,2279,3079,0.0014697173578686006,1,,109,100
28,406,2320,3120,0.028783473990884566,1,,101,100
