evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.0061225693492358855,1,,177,100
1,6,31,831,0.0003380533825116927,0,,178,100
2,14,78,878,0.9863040659846465,1,,179,100
3,19,112,912,0.001327434495661855,1,,181,100
4,24,145,945,0.16663408373256888,1,,184,100
5,29,170,970,0.00016805253545677912,0,,183,100
6,35,200,1000,0.25410932604632036,1,,180,100
7,45,255,1055,0.2525077174396735,1,,182,100
8,52,297,1097,0.042725725975819695,1,,181,100
9,57,321,1121,0.25052305023863886,1,,179,100
10,62,348,1148,0.13796968861815317,1,,178,100
11,68,374,1174,0.5284825823940734,1,,177,100
12,75,411,1211,0.6427166582848379,1,,174,100
13,81,443,1243,0.7900253958451487,1,,174,100
14,86,469,1269,0.837283023440498,1,,174,100
15,91,498,1298,0.4207481619761577,1,,174,100
16,96,527,1327,0.019299570153332824,1,,175,100
17,104,567,1367,0.009669183659339595,1,,172,100
18,109,590,1390,0.004037775851143626,1,,170,100
19,114,628,1428,0.10350280228973026,1,,172,100
20,120,666,1466,0.019110691658149666,1,,168,100
21,125,692,1492,0.09487753626230475,1,,163,100
22,130,729,1529,0.7497060797056294,1,,153,100
23,135,754,1554,0.11741592780369715,1,,148,100
24,143,795,1595,0.07867605307977134,1,,139,100
25,149,827,1627,0.015211178914401267,1,,132,100
26,156,861,1661,0.7346478978884193,1,,124,100
27,162,887,1687,0.5582950627111869,1,,117,100
28,167,914,1714,0.1575222391194765,1,,110,100
29,173,942,1742,0.8112080751270702,1,,105,100
30,178,973,1773,0.0004816319337249384,0,,100,100
