evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,113,777,1577,2.6704428079709238e-21,0,,165,100
1,121,835,1635,2.4382203777940824e-14,0,,165,100
2,169,1204,2004,1.029102206403573e-17,0,,168,100
3,180,1289,2089,1.434783601287841e-19,0,,170,100
4,193,1396,2196,4.999139190436994e-06,0,,178,100
5,200,1444,2244,3.508894990453858e-11,0,,175,100
6,258,1808,2608,3.385135419319733e-22,0,,164,100
7,282,1990,2790,9.240936162784253e-19,0,,162,100
8,293,2073,2873,7.847453371053534e-11,0,,162,100
9,304,2130,2930,5.348203505934507e-09,0,,162,100
10,309,2164,2964,2.062652683265307e-08,0,,160,100
11,366,2553,3353,2.0772002678179107e-31,0,,161,100
12,381,2663,3463,4.7079127437373095e-29,0,,157,100
13,388,2715,3515,6.837765792273532e-33,0,,158,100
14,393,2753,3553,1.0926691550922441e-27,0,,161,100
15,445,3120,3920,2.3827467247570987e-11,0,,169,100
16,457,3211,4011,1.872712637062085e-14,0,,169,100
17,474,3334,4134,3.3971751667926317e-13,0,,177,100
18,481,3383,4183,8.526672952394613e-13,0,,171,100
19,523,3731,4531,2.476863713500742e-23,0,,171,100
20,528,3761,4561,0.0005454340655479212,0,,167,100
21,547,3882,4682,2.920327686015804e-16,0,,163,100
22,555,3974,4774,5.1682510830767785e-21,0,,160,100
23,561,4009,4809,8.59502171917307e-25,0,,165,100
24,581,4142,4942,2.080569723994169e-22,0,,160,100
25,597,4261,5061,1.7745279405915937e-14,0,,165,100
26,602,4301,5101,1.077966826436392e-18,0,,165,100
27,618,4421,5221,7.478821172768458e-36,0,,167,100
28,636,4546,5346,2.5085020074743955e-35,0,,169,100
29,649,4659,5459,1.4096157403643844e-07,0,,173,100
30,680,4868,5668,5.749002832357278e-29,0,,179,100
31,697,4977,5777,1.4238215804188792e-12,0,,175,100
32,703,5016,5816,1.658330082086127e-10,0,,172,100
33,719,5128,5928,5.121720360291713e-17,0,,170,100
34,724,5161,5961,1.3338580576506628e-21,0,,167,100
35,744,5291,6091,2.5491195219145275e-44,0,,163,100
36,759,5393,6193,1.6484724566150935e-34,0,,162,100
37,792,5619,6419,1.2889877680918502e-17,0,,156,100
38,798,5649,6449,1.559336141911038e-14,0,,151,100
39,804,5703,6503,6.588840962624545e-24,0,,151,100
40,811,5757,6557,3.572138064505512e-09,0,,153,100
41,816,5789,6589,1.9698071598725458e-15,0,,155,100
42,823,5850,6650,5.699945951700512e-12,0,,155,100
43,829,5891,6691,4.938803155939543e-13,0,,154,100
44,847,5997,6797,2.1445448356807173e-27,0,,150,100
45,929,6598,7398,4.36665212266681e-45,0,,149,100
46,948,6741,7541,7.820683414526713e-15,0,,152,100
47,957,6814,7614,1.4081482109996672e-09,0,,159,100
48,966,6883,7683,1.1083950571150946e-06,0,,159,100
49,975,6945,7745,2.2045640416081622e-09,0,,161,100
50,980,6979,7779,2.0627312229101048e-11,0,,158,100
51,993,7077,7877,3.8734001722333287e-11,0,,165,100
52,1003,7155,7955,2.367755207832737e-11,0,,162,100
53,1014,7248,8048,3.484303703964855e-08,0,,164,100
54,1020,7277,8077,3.955672785284063e-09,0,,167,100
55,1026,7317,8117,5.609603981555408e-08,0,,166,100
56,1033,7363,8163,8.590579850372597e-13,0,,166,100
57,1043,7455,8255,8.86103532351688e-17,0,,168,100
58,1048,7481,8281,8.368103316883513e-20,0,,167,100
59,1054,7527,8327,7.20425400424371e-19,0,,168,100
60,1059,7575,8375,3.599560665775647e-28,0,,165,100
61,1064,7608,8408,3.49779847385644e-30,0,,162,100
62,1073,7671,8471,4.208731887473538e-28,0,,160,100
63,1090,7781,8581,5.1242870622430104e-06,0,,166,100
64,1104,7873,8673,6.7543960099312826e-06,0,,162,100
65,1110,7916,8716,3.6908981967636615e-06,0,,162,100
66,1115,7950,8750,0.000369046712325303,0,,162,100
67,1125,8020,8820,5.676160708931941e-14,0,,161,100
68,1140,8121,8921,4.927570456388794e-32,0,,159,100
69,1159,8288,9088,6.541416656265109e-05,0,,164,100
70,1164,8323,9123,4.635592948738657e-05,0,,163,100
71,1171,8386,9186,4.285727453246718e-06,0,,165,100
72,1176,8417,9217,3.843070789996089e-09,0,,167,100
73,1181,8456,9256,9.775411784482504e-05,0,,166,100
74,1186,8491,9291,0.004242486376527988,1,,172,100
75,1191,8526,9326,0.00015769834619762458,0,,167,100
76,1197,8559,9359,4.849792529319608e-05,0,,165,100
77,1202,8593,9393,4.029972513630282e-06,0,,165,100
78,1213,8686,9486,7.390897112340523e-08,0,,167,100
79,1218,8724,9524,9.751894195169013e-07,0,,168,100
80,1227,8775,9575,5.8182846380495827e-05,0,,167,100
81,1234,8823,9623,5.427256604090631e-07,0,,165,100
82,1241,8885,9685,6.470567214040473e-13,0,,166,100
83,1246,8924,9724,2.9348198192324208e-16,0,,170,100
84,1257,8980,9780,2.5001124735563964e-17,0,,168,100
85,1262,9004,9804,8.36005255711244e-26,0,,168,100
86,1276,9100,9900,1.0827421005146977e-13,0,,163,100
87,1286,9171,9971,4.1870739239398153e-13,0,,163,100
88,1315,9382,10182,8.715200513279123e-45,0,,170,100
89,1335,9525,10325,6.59105382104442e-24,0,,170,100
