evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,2,12,812,1.3691613009424166e-50,0,,179,100
1,33,195,995,1.791520017570683e-31,0,,181,100
2,48,297,1097,1.9395192852063993e-10,0,,181,100
3,70,411,1211,3.9648540649573905e-06,0,,181,100
4,75,435,1235,5.084479879354402e-11,0,,181,100
5,82,481,1281,4.237692312630757e-05,0,,177,100
6,91,530,1330,0.06394805605809906,1,,176,100
7,96,556,1356,0.017964288657984787,1,,175,100
8,101,576,1376,0.04056263449946363,1,,173,100
9,110,617,1417,0.11585129622042888,1,,171,100
10,119,660,1460,1.712920480047455e-19,0,,170,100
11,127,714,1514,0.0016325693837876143,1,,168,100
12,139,797,1597,3.49005890932608e-05,0,,172,100
13,144,828,1628,1.4658960423986592e-05,0,,172,100
14,149,856,1656,8.2862538541139e-05,0,,173,100
15,154,901,1701,2.494276542098893e-05,0,,174,100
16,162,942,1742,0.00020552119771217434,0,,172,100
17,168,975,1775,4.233019729451079e-09,0,,168,100
18,174,1002,1802,4.3235980971230797e-14,0,,167,100
19,179,1027,1827,1.7188307829079734e-07,0,,164,100
20,185,1065,1865,3.2041785869174065e-07,0,,166,100
21,191,1102,1902,2.6449408894191168e-09,0,,168,100
22,200,1147,1947,1.4298004867237542e-26,0,,166,100
23,220,1250,2050,3.4439395317937277e-25,0,,159,100
24,227,1289,2089,4.280171137134116e-29,0,,162,100
25,268,1513,2313,8.277337661987095e-07,0,,162,100
26,276,1567,2367,3.6994429954472286e-06,0,,165,100
27,399,2279,3079,0.0007385461299492537,0,,109,100
28,406,2320,3120,0.026514790660242586,1,,101,100
