evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,4.0629738316666705e-09,0,,177,100
1,6,31,831,1.8941744086155206e-07,0,,178,100
2,14,78,878,0.016394714465257757,1,,179,100
3,19,112,912,1.0327156634759985e-07,0,,181,100
4,24,145,945,0.002963672661663178,1,,184,100
5,29,170,970,1.2910448953346728e-08,0,,183,100
6,35,200,1000,2.2716871214159315e-07,0,,180,100
7,45,255,1055,1.193820410257238e-10,0,,182,100
8,52,297,1097,1.6888082446862364e-09,0,,181,100
9,57,321,1121,7.059202544183154e-08,0,,179,100
10,62,348,1148,1.9674546847156187e-08,0,,178,100
11,68,374,1174,1.2559553124600081e-08,0,,177,100
12,75,411,1211,6.59847835602775e-05,0,,174,100
13,81,443,1243,8.49265634752705e-05,0,,174,100
14,86,469,1269,0.00012767445312872254,0,,174,100
15,91,498,1298,5.356707502392994e-07,0,,174,100
16,96,527,1327,1.2644654128416385e-09,0,,175,100
17,104,567,1367,3.36539801700444e-09,0,,172,100
18,109,590,1390,1.4059771114038958e-09,0,,170,100
19,114,628,1428,1.7519018761920832e-05,0,,172,100
20,120,666,1466,4.381747599282354e-14,0,,168,100
21,125,692,1492,1.5002000408869532e-17,0,,163,100
22,130,729,1529,6.606059257138209e-17,0,,153,100
23,135,754,1554,3.932274517916889e-12,0,,148,100
24,143,795,1595,4.646637565936247e-22,0,,139,100
25,149,827,1627,1.385304170142126e-17,0,,132,100
26,156,861,1661,1.1245436201387716e-10,0,,124,100
27,162,887,1687,3.195212158947764e-12,0,,117,100
28,167,914,1714,9.386026304030845e-08,0,,110,100
29,173,942,1742,2.1927870577566137e-07,0,,105,100
30,178,973,1773,2.614021584973597e-08,0,,100,100
