evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.9948047957850508,1,,153,100
1,6,39,839,0.0014058017980690834,1,,151,100
2,11,71,871,0.01702034182254465,1,,152,100
3,17,99,899,0.3648911552073312,1,,152,100
4,22,148,948,0.1788853308817437,1,,155,100
5,27,172,972,0.768012421682993,1,,155,100
6,34,233,1033,0.9970531398375211,1,,156,100
7,39,262,1062,0.9984178227316001,1,,147,100
8,44,307,1107,0.9984662752885782,1,,139,100
9,49,335,1135,0.9986447002803075,1,,132,100
10,55,365,1165,0.9996648106261051,1,,126,100
11,61,397,1197,0.9993685938243653,1,,119,100
12,66,435,1235,0.9997431180107511,1,,111,100
13,71,466,1266,0.9964276947123472,1,,106,100
14,77,507,1307,0.9470217251475835,1,,100,100
