evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,113,777,1577,1.2860271670805745e-08,0,,165,100
1,121,835,1635,0.07364031057970441,1,,165,100
2,169,1204,2004,5.175412552223981e-28,0,,168,100
3,180,1289,2089,2.7757660414476546e-05,0,,170,100
4,193,1396,2196,0.08159422473276798,1,,178,100
5,200,1444,2244,0.6328097086432538,1,,175,100
6,258,1808,2608,0.009047997606920068,1,,164,100
7,282,1990,2790,3.1759280304929535e-27,0,,162,100
8,293,2073,2873,0.0002965454105736023,0,,162,100
9,304,2130,2930,0.0008157590827565233,0,,162,100
10,309,2164,2964,0.28967202649931884,1,,160,100
11,366,2553,3353,0.12349230954596419,1,,161,100
12,381,2663,3463,0.005685062738971153,1,,157,100
13,388,2715,3515,0.0014646923994574167,1,,158,100
14,393,2753,3553,5.1761917804623034e-05,0,,161,100
15,445,3120,3920,1.5497712555135126e-05,0,,169,100
16,457,3211,4011,0.00025242206720423217,0,,169,100
17,474,3334,4134,0.7597791547566513,1,,177,100
18,481,3383,4183,0.1471724718872785,1,,171,100
19,523,3731,4531,2.202131124449021e-10,0,,171,100
20,528,3761,4561,0.10878509197005,1,,167,100
21,547,3882,4682,0.00039397212315997113,0,,163,100
22,555,3974,4774,4.015676096992862e-06,0,,160,100
23,561,4009,4809,0.019392076493931584,1,,165,100
24,581,4142,4942,0.03643556026007726,1,,160,100
25,597,4261,5061,2.2842709427383506e-11,0,,165,100
26,602,4301,5101,3.3289437973960674e-08,0,,165,100
27,618,4421,5221,1.0456410798349169e-08,0,,167,100
28,636,4546,5346,0.10046627287307922,1,,169,100
29,649,4659,5459,3.170065228562645e-08,0,,173,100
30,680,4868,5668,0.0002704610068537569,0,,179,100
31,697,4977,5777,2.0975568915485176e-19,0,,175,100
32,703,5016,5816,2.2585508087094456e-05,0,,172,100
33,719,5128,5928,0.00048295583823490594,0,,170,100
34,724,5161,5961,6.040659808478132e-08,0,,167,100
35,744,5291,6091,0.0004976215343543874,0,,163,100
36,759,5393,6193,1.02734117758895e-06,0,,162,100
37,792,5619,6419,0.01659795941068606,1,,156,100
38,798,5649,6449,5.04143406593958e-11,0,,151,100
39,804,5703,6503,0.0016600126629203711,1,,151,100
40,811,5757,6557,0.0011522789906604916,1,,153,100
41,816,5789,6589,5.386639518469822e-10,0,,155,100
42,823,5850,6650,6.3034466711316735e-19,0,,155,100
43,829,5891,6691,2.180257387800914e-11,0,,154,100
44,847,5997,6797,0.004615253599136966,1,,150,100
45,929,6598,7398,3.5657812301874304e-07,0,,149,100
46,948,6741,7541,8.535386206448446e-23,0,,152,100
47,957,6814,7614,0.06410309810320396,1,,159,100
48,966,6883,7683,0.010486640322179308,1,,159,100
49,975,6945,7745,0.03814042150085572,1,,161,100
50,980,6979,7779,0.0033691714886346976,1,,158,100
51,993,7077,7877,0.01379604811147862,1,,165,100
52,1003,7155,7955,0.005971180955479171,1,,162,100
53,1014,7248,8048,0.16295995232190028,1,,164,100
54,1020,7277,8077,0.00041119307013378226,0,,167,100
55,1026,7317,8117,0.04695429368570008,1,,166,100
56,1033,7363,8163,0.0964261499237366,1,,166,100
57,1043,7455,8255,1.0482837313738365e-13,0,,168,100
58,1048,7481,8281,0.7925483180562068,1,,167,100
59,1054,7527,8327,0.0027204567199002007,1,,168,100
60,1059,7575,8375,0.023976555461224625,1,,165,100
61,1064,7608,8408,1.6849645269487987e-08,0,,162,100
62,1073,7671,8471,0.8545978856057096,1,,160,100
63,1090,7781,8581,0.11242094863138902,1,,166,100
64,1104,7873,8673,0.9963265089881105,1,,162,100
65,1110,7916,8716,0.06064476085804076,1,,162,100
66,1115,7950,8750,0.0973366244148207,1,,162,100
67,1125,8020,8820,0.00047472814651766324,0,,161,100
68,1140,8121,8921,0.23093594235101697,1,,159,100
69,1159,8288,9088,0.9157128534492018,1,,164,100
70,1164,8323,9123,0.03173748130726233,1,,163,100
71,1171,8386,9186,0.06569581768905146,1,,165,100
72,1176,8417,9217,0.9015579734815288,1,,167,100
73,1181,8456,9256,0.029149610637983544,1,,166,100
74,1186,8491,9291,0.10540090565267472,1,,172,100
75,1191,8526,9326,0.29002380468268585,1,,167,100
76,1197,8559,9359,0.9745898859248768,1,,165,100
77,1202,8593,9393,0.0009598605909710891,0,,165,100
78,1213,8686,9486,0.000365049025160844,0,,167,100
79,1218,8724,9524,0.07407459941259259,1,,168,100
80,1227,8775,9575,0.8182234187876394,1,,167,100
81,1234,8823,9623,8.545540042354843e-10,0,,165,100
82,1241,8885,9685,6.285196354695082e-06,0,,166,100
83,1246,8924,9724,0.013859600198390457,1,,170,100
84,1257,8980,9780,9.256798619987612e-17,0,,168,100
85,1262,9004,9804,1.3043299032481738e-06,0,,168,100
86,1276,9100,9900,0.0015413816236283225,1,,163,100
87,1286,9171,9971,5.070111463620288e-13,0,,163,100
88,1315,9382,10182,8.0810431157663e-22,0,,170,100
89,1335,9525,10325,0.03664194555778533,1,,170,100
