evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,2,12,812,0.0038264625922294244,1,,179,100
1,33,195,995,0.006400480447700341,1,,181,100
2,48,297,1097,0.42662717905188685,1,,181,100
3,70,411,1211,0.00031952564648092546,0,,181,100
4,75,435,1235,5.5492080279538894e-24,0,,181,100
5,82,481,1281,9.00625842239829e-06,0,,177,100
6,91,530,1330,0.1032159243106807,1,,176,100
7,96,556,1356,0.16222432880414717,1,,175,100
8,101,576,1376,0.009419527127554103,1,,173,100
9,110,617,1417,0.4071722063992228,1,,171,100
10,119,660,1460,0.029245080560981327,1,,170,100
11,127,714,1514,0.7211757848521996,1,,168,100
12,139,797,1597,0.15965211872359414,1,,172,100
13,144,828,1628,0.006225749264217738,1,,172,100
14,149,856,1656,0.10368319289885489,1,,173,100
15,154,901,1701,5.160295013905487e-09,0,,174,100
16,162,942,1742,0.0008961840627167068,0,,172,100
17,168,975,1775,0.3572755201708448,1,,168,100
18,174,1002,1802,0.02825812575004417,1,,167,100
19,179,1027,1827,0.9490514482397746,1,,164,100
20,185,1065,1865,0.9343779821255543,1,,166,100
21,191,1102,1902,0.0005663017257359242,0,,168,100
22,200,1147,1947,2.206132347291919e-23,0,,166,100
23,220,1250,2050,4.25064248587955e-05,0,,159,100
24,227,1289,2089,4.287336982860212e-09,0,,162,100
25,268,1513,2313,4.0377148486496173e-07,0,,162,100
26,276,1567,2367,0.0009539247776264218,0,,165,100
27,399,2279,3079,0.033699260870895476,1,,109,100
28,406,2320,3120,0.005323831205064426,1,,101,100
