evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,7,41,841,6.328982021918356e-12,0,,156,100
1,14,86,886,0.03520448706468494,1,,156,100
2,21,123,923,0.8082501551055651,1,,156,100
3,29,170,970,0.8581114367326276,1,,159,100
4,37,225,1025,0.0002085570559960989,0,,161,100
5,44,263,1063,0.6325458508886945,1,,158,100
6,50,297,1097,0.025103707304226446,1,,160,100
7,56,328,1128,0.8835010366230744,1,,161,100
8,62,359,1159,0.0025603672682226243,1,,158,100
9,70,401,1201,0.8002980047357487,1,,159,100
10,79,459,1259,0.41963125292076164,1,,159,100
11,86,502,1302,0.8922035511724923,1,,154,100
12,95,552,1352,0.01845756053434723,1,,152,100
13,100,580,1380,0.01731338317833874,1,,152,100
14,108,627,1427,0.24025673063141004,1,,154,100
15,115,674,1474,0.012917780903253986,1,,152,100
16,121,718,1518,0.22162554359279404,1,,156,100
17,134,807,1607,0.0012552218243839018,1,,156,100
18,140,841,1641,1.4032409241688268e-06,0,,160,100
19,174,1035,1835,0.6137639259640623,1,,160,100
20,209,1255,2055,2.3006719998407215e-05,0,,162,100
21,215,1297,2097,0.05473789868991707,1,,164,100
22,243,1473,2273,1.688800355011666e-13,0,,168,100
23,305,1844,2644,0.01583592640389876,1,,160,100
24,1223,7476,8276,1.0725202973335383e-10,0,,132,100
