evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,3,13,813,0.9113715164849724,1,,178,100
1,8,53,853,0.0914213155115536,1,,180,100
2,17,105,905,0.058953151561243054,1,,174,100
3,22,137,937,0.423304875204717,1,,170,100
4,28,180,980,1.4328650251852567e-05,0,,172,100
5,34,207,1007,0.0011986850975115363,1,,170,100
6,39,243,1043,9.465446774153068e-09,0,,171,100
7,45,281,1081,0.793356823337961,1,,169,100
8,50,323,1123,0.6785073260786941,1,,173,100
9,57,359,1159,0.9942031538847944,1,,168,100
10,62,389,1189,0.951490380384708,1,,163,100
11,67,424,1224,0.9663819874061513,1,,157,100
12,72,449,1249,0.036287796343938666,1,,151,100
13,78,486,1286,0.101899768600184,1,,144,100
14,90,543,1343,0.9794528944150225,1,,132,100
15,96,585,1385,0.9834950473318811,1,,123,100
16,102,607,1407,0.7387096937410342,1,,116,100
17,113,677,1477,0.9922911374344432,1,,101,100
