evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.9736,1,,153,100
1,6,39,839,0.0,0,,151,100
2,11,71,871,0.0004,0,,152,100
3,17,99,899,0.0004,0,,152,100
4,22,148,948,0.0022,1,,155,100
5,27,172,972,0.0004,0,,155,100
6,34,233,1033,0.0166,1,,156,100
7,39,262,1062,0.0004,0,,147,100
8,44,307,1107,0.0,0,,139,100
9,49,335,1135,0.0,0,,132,100
10,55,365,1165,0.0082,1,,126,100
11,61,397,1197,0.0044,1,,119,100
12,66,435,1235,0.6382,1,,111,100
13,71,466,1266,0.0,0,,106,100
14,77,507,1307,0.0,0,,100,100
