evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,7,41,841,0.0,0,,156,100
1,14,86,886,0.0,0,,156,100
2,21,123,923,0.0002,0,,156,100
3,29,170,970,0.0,0,,159,100
4,37,225,1025,0.0,0,,161,100
5,44,263,1063,0.0,0,,158,100
6,50,297,1097,0.0,0,,160,100
7,56,328,1128,0.0,0,,161,100
8,62,359,1159,0.0,0,,158,100
9,70,401,1201,0.0,0,,159,100
10,79,459,1259,0.0,0,,159,100
11,86,502,1302,0.0014,1,,154,100
12,95,552,1352,0.0,0,,152,100
13,100,580,1380,0.0,0,,152,100
14,108,627,1427,0.0,0,,154,100
15,115,674,1474,0.0,0,,152,100
16,121,718,1518,0.0,0,,156,100
17,134,807,1607,0.0,0,,156,100
18,140,841,1641,0.0,0,,160,100
19,174,1035,1835,0.0,0,,160,100
20,209,1255,2055,0.0,0,,162,100
21,215,1297,2097,0.0,0,,164,100
22,243,1473,2273,0.0,0,,168,100
23,305,1844,2644,0.0,0,,160,100
24,1223,7476,8276,0.0,0,,132,100
