evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,113,777,1577,0.0,0,,165,100
1,121,835,1635,0.0,0,,165,100
2,169,1204,2004,0.0,0,,168,100
3,180,1289,2089,0.0,0,,170,100
4,193,1396,2196,0.0554,1,,178,100
5,200,1444,2244,0.6632,1,,175,100
6,258,1808,2608,0.0,0,,164,100
7,282,1990,2790,0.0004,0,,162,100
8,293,2073,2873,0.0,0,,162,100
9,304,2130,2930,0.0062,1,,162,100
10,309,2164,2964,0.0,0,,160,100
11,366,2553,3353,0.0,0,,161,100
12,381,2663,3463,0.0,0,,157,100
13,388,2715,3515,0.0,0,,158,100
14,393,2753,3553,0.0,0,,161,100
15,445,3120,3920,0.0,0,,169,100
16,457,3211,4011,0.0,0,,169,100
17,474,3334,4134,0.5592,1,,177,100
18,481,3383,4183,0.1498,1,,171,100
19,523,3731,4531,0.0008,0,,171,100
20,528,3761,4561,0.0992,1,,167,100
21,547,3882,4682,0.0,0,,163,100
22,555,3974,4774,0.0,0,,160,100
23,561,4009,4809,0.0014,1,,165,100
24,581,4142,4942,0.0,0,,160,100
25,597,4261,5061,0.0,0,,165,100
26,602,4301,5101,0.0,0,,165,100
27,618,4421,5221,0.0,0,,167,100
28,636,4546,5346,0.004,1,,169,100
29,649,4659,5459,0.0,0,,173,100
30,680,4868,5668,0.0,0,,179,100
31,697,4977,5777,0.0184,1,,175,100
32,703,5016,5816,0.0,0,,172,100
33,719,5128,5928,0.0,0,,170,100
34,724,5161,5961,0.0,0,,167,100
35,744,5291,6091,0.0,0,,163,100
36,759,5393,6193,0.0002,0,,162,100
37,792,5619,6419,0.0,0,,156,100
38,798,5649,6449,0.0,0,,151,100
39,804,5703,6503,0.0,0,,151,100
40,811,5757,6557,0.0022,1,,153,100
41,816,5789,6589,0.0,0,,155,100
42,823,5850,6650,0.0,0,,155,100
43,829,5891,6691,0.0,0,,154,100
44,847,5997,6797,0.0012,1,,150,100
45,929,6598,7398,0.0,0,,149,100
46,948,6741,7541,0.0,0,,152,100
47,957,6814,7614,0.0014,1,,159,100
48,966,6883,7683,0.0,0,,159,100
49,975,6945,7745,0.0,0,,161,100
50,980,6979,7779,0.0,0,,158,100
51,993,7077,7877,0.0,0,,165,100
52,1003,7155,7955,0.0306,1,,162,100
53,1014,7248,8048,0.0004,0,,164,100
54,1020,7277,8077,0.0,0,,167,100
55,1026,7317,8117,0.1492,1,,166,100
56,1033,7363,8163,0.0,0,,166,100
57,1043,7455,8255,0.0,0,,168,100
58,1048,7481,8281,0.0,0,,167,100
59,1054,7527,8327,0.0024,1,,168,100
60,1059,7575,8375,0.0008,0,,165,100
61,1064,7608,8408,0.0,0,,162,100
62,1073,7671,8471,0.131,1,,160,100
63,1090,7781,8581,0.0002,0,,166,100
64,1104,7873,8673,0.9138,1,,162,100
65,1110,7916,8716,0.0692,1,,162,100
66,1115,7950,8750,0.0102,1,,162,100
67,1125,8020,8820,0.0,0,,161,100
68,1140,8121,8921,0.0,0,,159,100
69,1159,8288,9088,0.0004,0,,164,100
70,1164,8323,9123,0.0092,1,,163,100
71,1171,8386,9186,0.0008,0,,165,100
72,1176,8417,9217,0.0,0,,167,100
73,1181,8456,9256,0.0014,1,,166,100
74,1186,8491,9291,0.0744,1,,172,100
75,1191,8526,9326,0.0162,1,,167,100
76,1197,8559,9359,0.0378,1,,165,100
77,1202,8593,9393,0.331,1,,165,100
78,1213,8686,9486,0.001,1,,167,100
79,1218,8724,9524,0.0238,1,,168,100
80,1227,8775,9575,0.0032,1,,167,100
81,1234,8823,9623,0.0006,0,,165,100
82,1241,8885,9685,0.0084,1,,166,100
83,1246,8924,9724,0.0004,0,,170,100
84,1257,8980,9780,0.0276,1,,168,100
85,1262,9004,9804,0.0,0,,168,100
86,1276,9100,9900,0.0,0,,163,100
87,1286,9171,9971,0.0006,0,,163,100
88,1315,9382,10182,0.0,0,,170,100
89,1335,9525,10325,0.0,0,,170,100
