evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.0,0,,218,100
1,25,132,932,0.708,1,,217,100
2,75,378,1178,0.1702,1,,213,100
3,87,443,1243,0.0,0,,212,100
4,94,480,1280,0.9862,1,,212,100
5,112,562,1362,0.0008,0,,211,100
6,160,830,1630,0.0,0,,216,100
7,183,951,1751,0.035,1,,222,100
8,547,2849,3649,0.0,0,,220,100
9,552,2881,3681,0.0008,0,,223,100
10,561,2923,3723,0.0,0,,220,100
11,578,3006,3806,0.3856,1,,221,100
12,586,3053,3853,0.0,0,,222,100
13,594,3091,3891,0.0702,1,,224,100
14,635,3287,4087,0.6736,1,,221,100
15,643,3331,4131,0.0,0,,223,100
16,719,3729,4529,0.0,0,,222,100
17,1409,7115,7915,0.0,0,,228,100
18,1415,7144,7944,0.0,0,,233,100
