evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,2,12,812,0.0,0,,179,100
1,33,195,995,0.3012,1,,181,100
2,48,297,1097,0.4666,1,,181,100
3,70,411,1211,0.0002,0,,181,100
4,75,435,1235,0.1426,1,,181,100
5,82,481,1281,0.0002,0,,177,100
6,91,530,1330,0.0128,1,,176,100
7,96,556,1356,0.2782,1,,175,100
8,101,576,1376,0.1276,1,,173,100
9,110,617,1417,0.8556,1,,171,100
10,119,660,1460,0.0238,1,,170,100
11,127,714,1514,0.725,1,,168,100
12,139,797,1597,0.1942,1,,172,100
13,144,828,1628,0.2362,1,,172,100
14,149,856,1656,0.111,1,,173,100
15,154,901,1701,0.0002,0,,174,100
16,162,942,1742,0.001,1,,172,100
17,168,975,1775,0.7328,1,,168,100
18,174,1002,1802,0.0188,1,,167,100
19,179,1027,1827,0.9182,1,,164,100
20,185,1065,1865,0.9344,1,,166,100
21,191,1102,1902,0.003,1,,168,100
22,200,1147,1947,0.0006,0,,166,100
23,220,1250,2050,0.0332,1,,159,100
24,227,1289,2089,0.0012,1,,162,100
25,268,1513,2313,0.0,0,,162,100
26,276,1567,2367,0.0198,1,,165,100
27,399,2279,3079,0.0014,1,,109,100
28,406,2320,3120,0.0266,1,,101,100
