evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.4268568926008772,1,,150,100
1,7,44,844,1.1645427129937579e-05,0,,152,100
2,12,81,881,0.4011689974640326,1,,151,100
3,25,175,975,3.7163613656182117e-06,0,,153,100
4,32,226,1026,0.00012510000929413353,0,,156,100
5,39,268,1068,0.7181170401641744,1,,156,100
6,48,336,1136,6.505855970322961e-06,0,,157,100
7,53,376,1176,0.000121171088212822,0,,162,100
8,58,408,1208,0.08563314094867355,1,,164,100
9,65,469,1269,9.663006462325908e-05,0,,165,100
10,70,507,1307,0.0072728066220392315,1,,165,100
11,83,590,1390,2.1620119204999424e-05,0,,167,100
12,89,620,1420,0.00012392329868475785,0,,167,100
13,95,670,1470,0.01868527763071341,1,,163,100
14,100,711,1511,0.7844502635530112,1,,156,100
15,105,739,1539,0.13545089091979268,1,,151,100
16,111,782,1582,0.0006248027536594697,0,,142,100
17,118,832,1632,2.1707715843317952e-05,0,,132,100
18,126,878,1678,0.4842825729734779,1,,121,100
19,132,923,1723,0.5213286611612639,1,,116,100
20,137,953,1753,7.462317717051567e-05,0,,106,100
