evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,7,41,841,7.7268328611612e-07,0,,156,100
1,14,86,886,1.8269826388351186e-05,0,,156,100
2,21,123,923,0.0005786458729748795,0,,156,100
3,29,170,970,0.15777240947535426,1,,159,100
4,37,225,1025,0.0001600351841484663,0,,161,100
5,44,263,1063,0.0003550764514670703,0,,158,100
6,50,297,1097,8.664165894818064e-06,0,,160,100
7,56,328,1128,0.2974091037251821,1,,161,100
8,62,359,1159,0.003049698122559797,1,,158,100
9,70,401,1201,0.026099736030665933,1,,159,100
10,79,459,1259,0.20915288799320933,1,,159,100
11,86,502,1302,0.39685907889052924,1,,154,100
12,95,552,1352,0.00016688142805900671,0,,152,100
13,100,580,1380,3.065901528793898e-05,0,,152,100
14,108,627,1427,0.5056674281313753,1,,154,100
15,115,674,1474,0.00024972348065133404,0,,152,100
16,121,718,1518,0.0032045311883331777,1,,156,100
17,134,807,1607,0.00015328419834879323,0,,156,100
18,140,841,1641,0.0003030429388221837,0,,160,100
19,174,1035,1835,0.002522736253964821,1,,160,100
20,209,1255,2055,3.4321059977555527e-06,0,,162,100
21,215,1297,2097,0.0015565237266717121,1,,164,100
22,243,1473,2273,5.00553945521556e-05,0,,168,100
23,305,1844,2644,1.2200744264953117e-05,0,,160,100
24,1223,7476,8276,0.0002002186324583269,0,,132,100
