evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.48827156318594933,1,,218,100
1,25,132,932,0.6875711125970279,1,,217,100
2,75,378,1178,0.00028256102710842165,0,,213,100
3,87,443,1243,0.001971948381398305,1,,212,100
4,94,480,1280,0.7578837272688652,1,,212,100
5,112,562,1362,0.03147528459025041,1,,211,100
6,160,830,1630,2.476907812027019e-05,0,,216,100
7,183,951,1751,9.86367837417796e-05,0,,222,100
8,547,2849,3649,0.11399396747213734,1,,220,100
9,552,2881,3681,0.07924599364782206,1,,223,100
10,561,2923,3723,9.528076168096515e-05,0,,220,100
11,578,3006,3806,0.0356476935425403,1,,221,100
12,586,3053,3853,0.00010291177714371336,0,,222,100
13,594,3091,3891,0.0041254782605519335,1,,224,100
14,635,3287,4087,5.870341878780199e-06,0,,221,100
15,643,3331,4131,2.6505175053990832e-05,0,,223,100
16,719,3729,4529,0.279642959789595,1,,222,100
17,1409,7115,7915,2.5537261584741512e-12,0,,228,100
18,1415,7144,7944,1.955911080368498e-06,0,,233,100
