evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,113,777,1577,9.665203483993353e-12,0,,165,100
1,121,835,1635,5.361692161727468e-10,0,,165,100
2,169,1204,2004,2.0879501004735125e-14,0,,168,100
3,180,1289,2089,2.2765310925548882e-09,0,,170,100
4,193,1396,2196,2.9400628215580367e-10,0,,178,100
5,200,1444,2244,1.686879431424055e-11,0,,175,100
6,258,1808,2608,9.173146464570408e-14,0,,164,100
7,282,1990,2790,6.273049440335328e-20,0,,162,100
8,293,2073,2873,5.312908493504322e-15,0,,162,100
9,304,2130,2930,6.519955132295839e-13,0,,162,100
10,309,2164,2964,5.6800842368691954e-12,0,,160,100
11,366,2553,3353,1.419730145753046e-16,0,,161,100
12,381,2663,3463,8.995718082030956e-09,0,,157,100
13,388,2715,3515,6.092494888582831e-07,0,,158,100
14,393,2753,3553,5.1011809113149605e-05,0,,161,100
15,445,3120,3920,7.799966508369211e-09,0,,169,100
16,457,3211,4011,1.2202096674892135e-12,0,,169,100
17,474,3334,4134,9.625677680475504e-05,0,,177,100
18,481,3383,4183,8.916447626970063e-12,0,,171,100
19,523,3731,4531,1.7352409847895682e-10,0,,171,100
20,528,3761,4561,1.5596358702226035e-05,0,,167,100
21,547,3882,4682,1.2405792557738646e-10,0,,163,100
22,555,3974,4774,2.2217397797128956e-09,0,,160,100
23,561,4009,4809,1.118975639595903e-10,0,,165,100
24,581,4142,4942,2.7242244472814665e-15,0,,160,100
25,597,4261,5061,1.5061601929076084e-14,0,,165,100
26,602,4301,5101,3.1195840589440564e-10,0,,165,100
27,618,4421,5221,1.1531883505025177e-13,0,,167,100
28,636,4546,5346,9.143901000127294e-18,0,,169,100
29,649,4659,5459,1.5348527885218903e-10,0,,173,100
30,680,4868,5668,1.8609356563565182e-13,0,,179,100
31,697,4977,5777,7.55542307171528e-14,0,,175,100
32,703,5016,5816,4.3393532748457304e-05,0,,172,100
33,719,5128,5928,4.4848357643755605e-08,0,,170,100
34,724,5161,5961,7.377191495242068e-11,0,,167,100
35,744,5291,6091,3.066696931923093e-07,0,,163,100
36,759,5393,6193,1.4348403010734237e-18,0,,162,100
37,792,5619,6419,2.3017196025800996e-11,0,,156,100
38,798,5649,6449,7.504995855144141e-09,0,,151,100
39,804,5703,6503,1.8714557871195795e-12,0,,151,100
40,811,5757,6557,3.9313129353025664e-10,0,,153,100
41,816,5789,6589,2.4208357513702956e-10,0,,155,100
42,823,5850,6650,5.696534573017232e-15,0,,155,100
43,829,5891,6691,4.012472791345516e-12,0,,154,100
44,847,5997,6797,3.8890363140819446e-10,0,,150,100
45,929,6598,7398,1.0629971104857766e-09,0,,149,100
46,948,6741,7541,6.451213002294063e-17,0,,152,100
47,957,6814,7614,3.4232472215636005e-14,0,,159,100
48,966,6883,7683,1.2363152277382913e-12,0,,159,100
49,975,6945,7745,2.4302633903480427e-09,0,,161,100
50,980,6979,7779,1.8456519329502498e-14,0,,158,100
51,993,7077,7877,5.855342023886557e-08,0,,165,100
52,1003,7155,7955,3.735385220046263e-09,0,,162,100
53,1014,7248,8048,5.6773023818380075e-12,0,,164,100
54,1020,7277,8077,8.26152048266323e-08,0,,167,100
55,1026,7317,8117,1.7080085046511876e-15,0,,166,100
56,1033,7363,8163,6.575624369074747e-09,0,,166,100
57,1043,7455,8255,3.05139839529822e-08,0,,168,100
58,1048,7481,8281,2.6087600307266447e-07,0,,167,100
59,1054,7527,8327,9.269796562786356e-08,0,,168,100
60,1059,7575,8375,0.029523394941021394,1,,165,100
61,1064,7608,8408,3.2052304855145104e-06,0,,162,100
62,1073,7671,8471,2.2319780900206847e-14,0,,160,100
63,1090,7781,8581,1.3434804654764751e-15,0,,166,100
64,1104,7873,8673,0.00017837599899382493,0,,162,100
65,1110,7916,8716,2.644923998936494e-07,0,,162,100
66,1115,7950,8750,2.5312242515085656e-07,0,,162,100
67,1125,8020,8820,2.0979379542684828e-07,0,,161,100
68,1140,8121,8921,6.780719040037876e-06,0,,159,100
69,1159,8288,9088,1.6991979088066966e-11,0,,164,100
70,1164,8323,9123,1.1853301397567769e-07,0,,163,100
71,1171,8386,9186,1.0865377499279771e-09,0,,165,100
72,1176,8417,9217,4.3207482722137614e-10,0,,167,100
73,1181,8456,9256,4.198275582169482e-13,0,,166,100
74,1186,8491,9291,4.553695024841136e-07,0,,172,100
75,1191,8526,9326,5.742849074696197e-06,0,,167,100
76,1197,8559,9359,3.7834339176984273e-07,0,,165,100
77,1202,8593,9393,6.15677175430834e-15,0,,165,100
78,1213,8686,9486,1.925355837215488e-15,0,,167,100
79,1218,8724,9524,1.062031350165811e-12,0,,168,100
80,1227,8775,9575,3.449294147596864e-08,0,,167,100
81,1234,8823,9623,0.0009211846112572273,0,,165,100
82,1241,8885,9685,1.0102490982372953e-08,0,,166,100
83,1246,8924,9724,1.445483482277065e-09,0,,170,100
84,1257,8980,9780,1.6605386562316992e-12,0,,168,100
85,1262,9004,9804,1.1535139099956148e-09,0,,168,100
86,1276,9100,9900,2.0924443242855843e-07,0,,163,100
87,1286,9171,9971,1.6992067726429596e-10,0,,163,100
88,1315,9382,10182,1.7483514306911408e-11,0,,170,100
89,1335,9525,10325,5.329873789503936e-12,0,,170,100
