evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.44580863069787613,1,,218,100
1,25,132,932,0.0006188680299927867,0,,217,100
2,75,378,1178,2.769872758885759e-09,0,,213,100
3,87,443,1243,2.280034442102301e-06,0,,212,100
4,94,480,1280,0.11742817536202331,1,,212,100
5,112,562,1362,1.973762723724115e-05,0,,211,100
6,160,830,1630,1.7087245552064556e-09,0,,216,100
7,183,951,1751,6.026819487666666e-10,0,,222,100
8,547,2849,3649,1.911383781059314e-08,0,,220,100
9,552,2881,3681,4.599403144079527e-09,0,,223,100
10,561,2923,3723,4.9407557737821e-07,0,,220,100
11,578,3006,3806,1.898256907827725e-09,0,,221,100
12,586,3053,3853,4.2243497315809624e-10,0,,222,100
13,594,3091,3891,1.9114344002405112e-08,0,,224,100
14,635,3287,4087,1.4897319831686481e-12,0,,221,100
15,643,3331,4131,6.752867203322648e-09,0,,223,100
16,719,3729,4529,0.0022284335504366886,1,,222,100
17,1409,7115,7915,8.775446934469556e-12,0,,228,100
18,1415,7144,7944,2.6671949408660282e-12,0,,233,100
