evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,3.8805901407807645e-06,0,,165,100
1,54,345,1145,8.67993791779413e-05,0,,166,100
2,116,722,1522,6.603976461795666e-17,0,,162,100
3,124,766,1566,2.4137229164909203e-15,0,,163,100
4,150,910,1710,3.3269724762409277e-16,0,,162,100
5,162,976,1776,1.0927757428754198e-14,0,,158,100
6,172,1025,1825,2.9607005629848534e-19,0,,156,100
7,183,1106,1906,1.8052531779153898e-17,0,,152,100
8,189,1142,1942,3.6743353941893506e-16,0,,156,100
9,569,3409,4209,4.2716626316432714e-26,0,,174,100
10,1444,8434,9234,1.9704402674311353e-15,0,,181,100
11,1462,8539,9339,7.165232231809104e-16,0,,173,100
12,1487,8678,9478,2.9763585683146754e-18,0,,170,100
13,1502,8770,9570,2.4903296579107876e-11,0,,172,100
14,1537,8999,9799,1.6773265043106263e-10,0,,179,100
15,1545,9046,9846,1.4226229351875499e-12,0,,180,100
16,1572,9213,10013,7.27738724187643e-12,0,,182,100
17,1577,9243,10043,2.444447021920005e-18,0,,184,100
18,1615,9489,10289,6.054777670336936e-28,0,,186,100
19,1636,9615,10415,9.632761051421453e-24,0,,177,100
20,1646,9679,10479,1.2831912328966229e-17,0,,175,100
21,1672,9815,10615,4.230038637249272e-13,0,,171,100
